team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,32,32,0,100.0,2521,78.78125,1376,78.78125,43.0,35.78125,925,2111,43.8180956892468,215,601,35.77371048252912,456,602,75.74750830564784,48.91046897205116,53.05402629762446,0.2851729038370441,1248,39.0,491,15.34375,1.2153465346534653,297,9.28125,100,3.125,404,12.625,490,15.3125
Fgcu,1,0,0,0.0,65,65.0,0,65.0,0.0,65.0,25,65,38.46153846153847,11,35,31.428571428571427,4,6,66.66666666666666,46.92307692307692,48.04849201655825,0.09230769230769231,32,32.0,14,14.0,0.9333333333333333,6,6.0,1,1.0,15,15.0,21,21.0
Indiana,3,0,0,0.0,196,65.33333333333333,0,65.33333333333333,0.0,65.33333333333333,73,173,42.19653179190752,12,36,33.33333333333333,38,52,73.07692307692307,45.664739884393065,50.03063099857056,0.30057803468208094,115,38.333333333333336,43,14.333333333333334,0.8431372549019608,19,6.333333333333333,11,3.6666666666666665,51,17.0,42,14.0
Nebraska,1,0,0,0.0,65,65.0,0,65.0,0.0,65.0,24,63,38.095238095238095,9,24,37.5,8,11,72.72727272727273,45.23809523809524,47.906839622641506,0.1746031746031746,37,37.0,12,12.0,0.631578947368421,9,9.0,3,3.0,19,19.0,17,17.0
Michigan,2,0,0,0.0,140,70.0,0,70.0,0.0,70.0,51,105,48.57142857142857,15,34,44.11764705882353,23,36,63.888888888888886,55.714285714285715,57.927838464084736,0.34285714285714286,83,41.5,29,14.5,0.7073170731707317,11,5.5,5,2.5,41,20.5,33,16.5
Delaware,1,0,0,0.0,71,71.0,0,71.0,0.0,71.0,28,78,35.8974358974359,7,25,28.000000000000004,8,9,88.88888888888889,40.38461538461539,43.31381161542216,0.11538461538461539,36,36.0,11,11.0,1.1,6,6.0,2,2.0,10,10.0,15,15.0
Northwestern,1,0,0,0.0,59,59.0,0,59.0,0.0,59.0,23,62,37.096774193548384,5,20,25.0,8,11,72.72727272727273,41.12903225806452,44.13524835427887,0.1774193548387097,35,35.0,13,13.0,0.8125,5,5.0,3,3.0,16,16.0,14,14.0
James Madison,1,0,0,0.0,45,45.0,0,45.0,0.0,45.0,18,55,32.72727272727273,1,18,5.555555555555555,8,12,66.66666666666666,33.63636363636363,37.32581287325813,0.21818181818181817,32,32.0,8,8.0,0.36363636363636365,3,3.0,5,5.0,22,22.0,19,19.0
NC State,1,0,0,0.0,78,78.0,0,78.0,0.0,78.0,33,68,48.529411764705884,6,21,28.57142857142857,6,8,75.0,52.94117647058824,54.530201342281885,0.11764705882352941,47,47.0,15,15.0,0.8823529411764706,7,7.0,2,2.0,17,17.0,16,16.0
Stanford,2,0,0,0.0,158,79.0,0,79.0,0.0,79.0,57,117,48.717948717948715,16,46,34.78260869565217,28,40,70.0,55.55555555555556,58.6924219910847,0.3418803418803419,95,47.5,27,13.5,0.7941176470588235,7,3.5,14,7.0,34,17.0,42,21.0
