"source_id","file_id","team","player_name","player_number","stint_index","in_seconds","out_seconds","duration","pts_for","pts_against","plus_minus","starter"
"2021-22","12546","Maryland","Shyanne Sellers",0,1,0,44,44,0,0,0,1
"2021-22","12546","Maryland","Mimi Collins",2,1,0,1958,1958,73,52,21,1
"2021-22","12546","Maryland","Angel Reese",10,1,0,219,219,4,3,1,1
"2021-22","12546","Maryland","Ashley Owusu",15,1,0,879,879,34,17,17,1
"2021-22","12546","Maryland","Chloe Bibby",55,1,0,2400,2400,78,60,18,1
"2021-22","12546","NC State","Raina Perez",2,1,0,790,790,16,30,-14,1
"2021-22","12546","NC State","Kai Crutchfield",3,1,0,301,301,3,9,-6,1
"2021-22","12546","NC State","Jakia Brown-Turner",11,1,0,562,562,12,18,-6,1
"2021-22","12546","NC State","Kayla Jones",25,1,0,280,280,3,7,-4,1
"2021-22","12546","NC State","Elissa Cunane",33,1,0,522,522,9,18,-9,1
"2021-22","12546","Maryland","Taisiya Kozlova",14,1,44,433,389,13,9,4,0
"2021-22","12546","Maryland","Shyanne Sellers",0,2,219,1800,1581,63,43,20,0
"2021-22","12546","NC State","Madison Hayes",21,1,280,433,153,6,6,0,0
"2021-22","12546","NC State","Diamond Johnson",0,1,301,1200,899,24,40,-16,0
"2021-22","12546","Maryland","Angel Reese",10,2,433,1062,629,29,16,13,0
"2021-22","12546","NC State","Jada Boyd",5,1,433,600,167,3,9,-6,0
"2021-22","12546","NC State","Camille Hobby",41,1,522,790,268,7,12,-5,0
"2021-22","12546","NC State","Aziaha James",10,1,562,1062,500,13,24,-11,0
"2021-22","12546","NC State","Kayla Jones",25,2,600,1041,441,11,20,-9,0
"2021-22","12546","NC State","Jakia Brown-Turner",11,2,790,1800,1010,30,37,-7,0
"2021-22","12546","NC State","Jessica Timmons",23,1,790,929,139,3,6,-3,0
"2021-22","12546","Maryland","Taisiya Kozlova",14,2,879,1132,253,10,8,2,0
"2021-22","12546","NC State","Elissa Cunane",33,2,929,1186,257,8,11,-3,0
"2021-22","12546","NC State","Jessica Timmons",23,2,1041,1062,21,2,0,2,0
"2021-22","12546","Maryland","Ashley Owusu",15,2,1062,2145,1083,31,33,-2,0
"2021-22","12546","NC State","Raina Perez",2,2,1062,1800,738,21,25,-4,0
"2021-22","12546","NC State","Jada Boyd",5,2,1062,1200,138,2,7,-5,0
"2021-22","12546","Maryland","Angel Reese",10,3,1132,1343,211,11,6,5,0
"2021-22","12546","NC State","Camille Hobby",41,2,1186,1200,14,0,2,-2,0
"2021-22","12546","NC State","Kai Crutchfield",3,2,1200,1415,215,8,6,2,0
"2021-22","12546","NC State","Kayla Jones",25,3,1200,1585,385,15,10,5,0
"2021-22","12546","NC State","Elissa Cunane",33,3,1200,1800,600,19,18,1,0
"2021-22","12546","Maryland","Taisiya Kozlova",14,3,1343,1585,242,4,11,-7,0
"2021-22","12546","NC State","Diamond Johnson",0,2,1415,1958,543,17,18,-1,0
"2021-22","12546","Maryland","Angel Reese",10,4,1585,1692,107,4,2,2,0
"2021-22","12546","NC State","Jada Boyd",5,3,1585,1800,215,4,8,-4,0
"2021-22","12546","Maryland","Taisiya Kozlova",14,4,1692,1847,155,7,2,5,0
"2021-22","12546","Maryland","Angel Reese",10,5,1800,2307,507,10,14,-4,0
"2021-22","12546","NC State","Kai Crutchfield",3,3,1800,2145,345,12,6,6,0
"2021-22","12546","NC State","Aziaha James",10,2,1800,1958,158,6,6,0,0
"2021-22","12546","NC State","Madison Hayes",21,2,1800,2097,297,11,6,5,0
"2021-22","12546","NC State","Camille Hobby",41,3,1800,2057,257,10,6,4,0
"2021-22","12546","Maryland","Shyanne Sellers",0,3,1847,2400,553,8,14,-6,0
"2021-22","12546","Maryland","Taisiya Kozlova",14,5,1958,2108,150,0,5,-5,0
"2021-22","12546","NC State","Raina Perez",2,3,1958,2365,407,8,5,3,0
"2021-22","12546","NC State","Jakia Brown-Turner",11,3,1958,2326,368,8,5,3,0
"2021-22","12546","NC State","Elissa Cunane",33,4,2057,2326,269,4,5,-1,0
"2021-22","12546","NC State","Jada Boyd",5,4,2097,2186,89,1,0,1,0
"2021-22","12546","Maryland","Mimi Collins",2,2,2108,2186,78,0,1,-1,0
