scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Chloe Bibby,110,7,46,64,266,2.42
Angel Reese,93,8,1,92,187,2.01
Mimi Collins,66,6,12,54,144,2.18
Katie Benzan,66,8,62,4,194,2.94
Diamond Miller,45,7,18,27,108,2.4
Shyanne Sellers,42,7,27,15,111,2.64
Ashley Owusu,41,6,12,29,94,2.29
Faith Masonius,13,5,0,13,26,2.0
Taisiya Kozlova,9,5,7,2,25,2.78
Emma Chardon,5,3,0,5,10,2.0
