"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2021-22","Angel Reese",93,50,53.8,103,46,44.7,414,207,50.0
"2021-22","Ashley Owusu",50,21,42.0,88,34,38.6,328,139,42.4
"2021-22","Chloe Bibby",49,21,42.9,84,32,38.1,327,139,42.5
"2021-22","Diamond Miller",42,17,40.5,69,28,40.6,255,104,40.8
"2021-22","Faith Masonius",8,4,50.0,3,0,0.0,43,26,60.5
"2021-22","Katie Benzan",40,18,45.0,57,29,50.9,227,100,44.1
"2021-22","Mimi Collins",30,8,26.7,55,27,49.1,250,103,41.2
"2021-22","Shyanne Sellers",24,10,41.7,47,23,48.9,220,91,41.4
"2021-22","Taisiya Kozlova",0,0,"",4,1,25.0,34,10,29.4
"2021-22","TEAM",336,149,44.3,512,221,43.2,2111,925,43.8
