"source_id","file_id","team","lineup","num_players","start_seconds","end_seconds","duration","pts_for","pts_against","plus_minus"
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers",5,0,44,44,0,0,0
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Taisiya Kozlova",5,44,219,175,4,3,1
"2021-22","12546","NC State","Elissa Cunane|Jakia Brown-Turner|Kai Crutchfield|Kayla Jones|Raina Perez",5,0,280,280,3,7,-4
"2021-22","12546","NC State","Elissa Cunane|Jakia Brown-Turner|Kai Crutchfield|Madison Hayes|Raina Perez",5,280,301,21,0,2,-2
"2021-22","12546","Maryland","Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers|Taisiya Kozlova",5,219,433,214,9,6,3
"2021-22","12546","NC State","Diamond Johnson|Elissa Cunane|Jakia Brown-Turner|Madison Hayes|Raina Perez",5,301,433,132,6,4,2
"2021-22","12546","NC State","Diamond Johnson|Elissa Cunane|Jada Boyd|Jakia Brown-Turner|Raina Perez",5,433,522,89,0,5,-5
"2021-22","12546","NC State","Camille Hobby|Diamond Johnson|Jada Boyd|Jakia Brown-Turner|Raina Perez",5,522,562,40,3,0,3
"2021-22","12546","NC State","Aziaha James|Camille Hobby|Diamond Johnson|Jada Boyd|Raina Perez",5,562,600,38,0,4,-4
"2021-22","12546","NC State","Aziaha James|Camille Hobby|Diamond Johnson|Kayla Jones|Raina Perez",5,600,790,190,4,8,-4
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers",5,433,879,446,21,8,13
"2021-22","12546","NC State","Aziaha James|Diamond Johnson|Jakia Brown-Turner|Jessica Timmons|Kayla Jones",5,790,929,139,3,6,-3
"2021-22","12546","NC State","Aziaha James|Diamond Johnson|Elissa Cunane|Jakia Brown-Turner|Kayla Jones",5,929,1041,112,4,6,-2
"2021-22","12546","Maryland","Angel Reese|Chloe Bibby|Mimi Collins|Shyanne Sellers|Taisiya Kozlova",5,879,1062,183,8,8,0
"2021-22","12546","NC State","Aziaha James|Diamond Johnson|Elissa Cunane|Jakia Brown-Turner|Jessica Timmons",5,1041,1062,21,2,0,2
"2021-22","12546","Maryland","Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers|Taisiya Kozlova",5,1062,1132,70,2,0,2
"2021-22","12546","NC State","Diamond Johnson|Elissa Cunane|Jada Boyd|Jakia Brown-Turner|Raina Perez",5,1062,1186,124,2,5,-3
"2021-22","12546","NC State","Camille Hobby|Diamond Johnson|Jada Boyd|Jakia Brown-Turner|Raina Perez",5,1186,1200,14,0,2,-2
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers",5,1132,1343,211,11,6,5
"2021-22","12546","NC State","Elissa Cunane|Jakia Brown-Turner|Kai Crutchfield|Kayla Jones|Raina Perez",5,1200,1415,215,8,6,2
"2021-22","12546","Maryland","Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers|Taisiya Kozlova",5,1343,1585,242,4,11,-7
"2021-22","12546","NC State","Diamond Johnson|Elissa Cunane|Jakia Brown-Turner|Kayla Jones|Raina Perez",5,1415,1585,170,7,4,3
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers",5,1585,1692,107,4,2,2
"2021-22","12546","Maryland","Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers|Taisiya Kozlova",5,1692,1800,108,4,2,2
"2021-22","12546","NC State","Diamond Johnson|Elissa Cunane|Jada Boyd|Jakia Brown-Turner|Raina Perez",5,1585,1800,215,4,8,-4
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Taisiya Kozlova",5,1800,1847,47,3,0,3
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers",5,1847,1958,111,3,6,-3
"2021-22","12546","NC State","Aziaha James|Camille Hobby|Diamond Johnson|Kai Crutchfield|Madison Hayes",5,1800,1958,158,6,6,0
"2021-22","12546","NC State","Camille Hobby|Jakia Brown-Turner|Kai Crutchfield|Madison Hayes|Raina Perez",5,1958,2057,99,4,0,4
"2021-22","12546","NC State","Elissa Cunane|Jakia Brown-Turner|Kai Crutchfield|Madison Hayes|Raina Perez",5,2057,2097,40,1,0,1
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Shyanne Sellers|Taisiya Kozlova",5,1958,2108,150,0,5,-5
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Mimi Collins|Shyanne Sellers",5,2108,2145,37,0,1,-1
"2021-22","12546","NC State","Elissa Cunane|Jada Boyd|Jakia Brown-Turner|Kai Crutchfield|Raina Perez",5,2097,2145,48,1,0,1
"2021-22","12546","Maryland","Angel Reese|Chloe Bibby|Mimi Collins|Shyanne Sellers|Taisiya Kozlova",5,2145,2186,41,0,0,0
"2021-22","12546","NC State","Diamond Johnson|Elissa Cunane|Jada Boyd|Jakia Brown-Turner|Raina Perez",5,2145,2186,41,0,0,0
"2021-22","12546","Maryland","Angel Reese|Ashley Owusu|Chloe Bibby|Shyanne Sellers|Taisiya Kozlova",5,2186,2215,29,2,0,2
