"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2021,12970,"Maryland",89,"30-59","50.8%","7-16","43.8%","22-30","73.3%",40,12,8,2,10,14
2021,12970,"Fgcu",65,"25-65","38.5%","11-35","31.4%","4-6","66.7%",32,14,6,1,15,21
2021,12966,"Maryland",51,"22-70","31.4%","0-12","0.0%","7-9","77.8%",39,9,7,2,14,22
2021,12966,"Indiana",62,"22-55","40.0%","2-7","28.6%","16-20","80.0%",42,14,7,4,18,12
2021,12659,"Maryland",80,"27-69","39.1%","8-23","34.8%","18-23","78.3%",47,16,12,3,15,15
2021,12659,"Nebraska",65,"24-63","38.1%","9-24","37.5%","8-11","72.7%",37,12,9,3,19,17
2021,12663,"Michigan",71,"24-49","49.0%","5-14","35.7%","18-26","69.2%",45,16,6,2,22,19
2021,12663,"Maryland",59,"21-63","33.3%","5-21","23.8%","12-19","63.2%",27,12,7,4,13,24
2021,12706,"Maryland",102,"38-64","59.4%","10-20","50.0%","16-17","94.1%",40,19,7,3,11,10
2021,12706,"Delaware",71,"28-78","35.9%","7-25","28.0%","8-9","88.9%",36,11,6,2,10,15
2021,12655,"Maryland",87,"30-62","48.4%","18-31","58.1%","9-11","81.8%",38,24,7,3,13,16
2021,12655,"Northwestern",59,"23-62","37.1%","5-20","25.0%","8-11","72.7%",35,13,5,3,16,14
2021,12550,"James Madison",45,"18-55","32.7%","1-18","5.6%","8-12","66.7%",32,8,3,5,22,19
2021,12550,"Maryland",81,"27-66","40.9%","7-22","31.8%","20-25","80.0%",47,15,10,1,11,19
2021,12546,"NC State",78,"33-68","48.5%","6-21","28.6%","6-8","75.0%",47,15,7,2,17,16
2021,12546,"Maryland",60,"23-67","34.3%","5-24","20.8%","9-13","69.2%",34,13,8,2,14,15
2021,12547,"Maryland",68,"21-68","30.9%","5-16","31.3%","21-27","77.8%",35,11,9,0,9,18
2021,12547,"Stanford",86,"31-60","51.7%","10-25","40.0%","14-19","73.7%",45,12,4,4,16,20
2021,12551,"Maryland",98,"38-76","50.0%","7-18","38.9%","15-21","71.4%",51,20,16,3,9,14
2021,12551,"Mount St. Mary's",57,"19-56","33.9%","10-27","37.0%","9-12","75.0%",31,13,2,4,19,16
2021,12654,"Ohio St.",95,"33-60","55.0%","8-14","57.1%","21-29","72.4%",31,22,7,1,15,15
2021,12654,"Maryland",89,"33-70","47.1%","9-20","45.0%","14-14","100.0%",37,15,7,2,18,24
2021,12584,"Maryland",82,"27-59","45.8%","3-12","25.0%","25-34","73.5%",48,13,4,4,16,14
2021,12584,"Miami (FL)",74,"26-58","44.8%","9-19","47.4%","13-16","81.3%",22,15,9,1,12,24
2021,12707,"Stanford",72,"26-57","45.6%","6-21","28.6%","14-21","66.7%",50,15,3,10,18,22
2021,12707,"Maryland",66,"23-68","33.8%","3-19","15.8%","17-23","73.9%",32,8,12,3,7,23
2021,12662,"Maryland",77,"26-61","42.6%","6-17","35.3%","19-21","90.5%",44,15,6,6,17,10
2021,12662,"Ohio St.",72,"27-66","40.9%","11-25","44.0%","7-8","87.5%",30,15,9,6,11,14
2021,12658,"Michigan St.",62,"24-61","39.3%","8-24","33.3%","6-11","54.5%",40,20,6,5,14,18
2021,12658,"Maryland",67,"24-62","38.7%","4-15","26.7%","15-21","71.4%",42,13,7,4,10,15
2021,12653,"Maryland",49,"16-51","31.4%","5-20","25.0%","12-13","92.3%",23,13,10,4,17,13
2021,12653,"Michigan",69,"27-56","48.2%","10-20","50.0%","5-10","50.0%",38,13,5,3,19,14
2021,12664,"Maryland",67,"28-64","43.8%","7-15","46.7%","4-6","66.7%",39,16,8,5,13,14
2021,12664,"Indiana",64,"25-61","41.0%","7-18","38.9%","7-11","63.6%",36,15,5,6,14,12
2021,12648,"Maryland",86,"33-73","45.2%","4-15","26.7%","16-20","80.0%",42,19,10,3,13,10
