"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2021-22","Chloe Bibby",32,1055.3,229.7,2057,1756,11.4,464,394,12.2,-0.8,301
"2021-22","Katie Benzan",29,983.7,301.3,1956,1620,13.7,565,530,4.6,9.0,336
"2021-22","Shyanne Sellers",32,847.3,437.7,1614,1455,7.5,907,695,19.4,-11.9,159
"2021-22","Angel Reese",32,827.6,457.4,1661,1306,17.2,860,844,1.4,15.8,355
"2021-22","Mimi Collins",32,806.7,478.3,1586,1356,11.4,935,794,11.8,-0.4,230
"2021-22","Ashley Owusu",27,782.9,502.1,1599,1283,16.1,922,867,4.4,11.8,316
"2021-22","Diamond Miller",22,626.9,658.1,1208,1036,11.0,1313,1114,12.1,-1.1,172
"2021-22","Taisiya Kozlova",21,216.2,1068.8,444,387,10.5,2077,1763,11.8,-1.2,57
"2021-22","Faith Masonius",9,197.6,1087.4,397,318,16.0,2124,1832,10.7,5.2,79
"2021-22","Emma Chardon",17,80.9,1204.1,173,143,14.8,2348,2007,11.3,3.5,30
