assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Katie Benzan,Chloe Bibby,36,87,2.42,15,21,12,9,0
Katie Benzan,Mimi Collins,27,60,2.22,6,21,2,19,0
Ashley Owusu,Chloe Bibby,25,64,2.56,14,11,9,2,0
Ashley Owusu,Angel Reese,22,44,2.0,0,22,20,2,0
Shyanne Sellers,Angel Reese,19,38,2.0,0,19,13,6,0
Ashley Owusu,Katie Benzan,18,54,3.0,18,0,0,0,0
Diamond Miller,Chloe Bibby,18,46,2.56,10,8,4,4,0
Chloe Bibby,Angel Reese,15,31,2.07,1,14,13,1,0
Katie Benzan,Shyanne Sellers,15,38,2.53,8,7,2,5,0
Shyanne Sellers,Chloe Bibby,14,32,2.29,4,10,7,3,0
Shyanne Sellers,Ashley Owusu,13,29,2.23,3,10,5,5,0
Angel Reese,Katie Benzan,12,35,2.92,11,1,0,1,0
Diamond Miller,Angel Reese,12,24,2.0,0,12,9,3,0
Katie Benzan,Angel Reese,11,22,2.0,0,11,6,5,0
Shyanne Sellers,Diamond Miller,11,25,2.27,3,8,6,2,0
Angel Reese,Chloe Bibby,10,22,2.2,2,8,6,2,0
Shyanne Sellers,Mimi Collins,10,20,2.0,0,10,1,9,0
Shyanne Sellers,Katie Benzan,10,29,2.9,9,1,0,1,0
Chloe Bibby,Katie Benzan,10,29,2.9,9,1,0,1,0
Diamond Miller,Ashley Owusu,10,25,2.5,5,5,2,3,0
Ashley Owusu,Mimi Collins,9,22,2.44,4,5,2,3,0
Ashley Owusu,Diamond Miller,9,23,2.56,5,4,3,1,0
Katie Benzan,Diamond Miller,9,21,2.33,3,6,3,3,0
Ashley Owusu,Shyanne Sellers,8,23,2.88,7,1,1,0,0
Chloe Bibby,Mimi Collins,8,17,2.12,1,7,3,4,0
Mimi Collins,Angel Reese,8,16,2.0,0,8,5,3,0
Diamond Miller,Katie Benzan,8,24,3.0,8,0,0,0,0
Diamond Miller,Shyanne Sellers,8,22,2.75,6,2,2,0,0
Angel Reese,Ashley Owusu,7,15,2.14,1,6,3,3,0
Angel Reese,Mimi Collins,7,15,2.14,1,6,3,3,0
Chloe Bibby,Diamond Miller,7,17,2.43,3,4,4,0,0
Angel Reese,Diamond Miller,6,14,2.33,2,4,2,2,0
Ashley Owusu,Faith Masonius,5,10,2.0,0,5,4,1,0
Faith Masonius,Angel Reese,5,10,2.0,0,5,5,0,0
Mimi Collins,Katie Benzan,5,14,2.8,4,1,0,1,0
Diamond Miller,Mimi Collins,5,10,2.0,0,5,2,3,0
Mimi Collins,Ashley Owusu,4,8,2.0,0,4,1,3,0
Chloe Bibby,Shyanne Sellers,4,10,2.5,2,2,0,2,0
Mimi Collins,Chloe Bibby,4,9,2.25,1,3,3,0,0
Chloe Bibby,Ashley Owusu,4,10,2.5,2,2,1,1,0
Ashley Owusu,Taisiya Kozlova,3,9,3.0,3,0,0,0,0
Faith Masonius,Shyanne Sellers,3,8,2.67,2,1,1,0,0
Katie Benzan,Emma Chardon,3,6,2.0,0,3,2,1,0
Shyanne Sellers,Taisiya Kozlova,3,8,2.67,2,1,0,1,0
Faith Masonius,Chloe Bibby,3,6,2.0,0,3,2,1,0
Katie Benzan,Faith Masonius,3,6,2.0,0,3,1,2,0
Angel Reese,Shyanne Sellers,3,7,2.33,1,2,2,0,0
Katie Benzan,Ashley Owusu,3,7,2.33,1,2,0,2,0
Angel Reese,Faith Masonius,2,4,2.0,0,2,1,1,0
Shyanne Sellers,Faith Masonius,2,4,2.0,0,2,1,1,0
Faith Masonius,Katie Benzan,2,6,3.0,2,0,0,0,0
Mimi Collins,Diamond Miller,2,5,2.5,1,1,0,1,0
Mimi Collins,Shyanne Sellers,1,3,3.0,1,0,0,0,0
Chloe Bibby,Faith Masonius,1,2,2.0,0,1,0,1,0
Katie Benzan,Taisiya Kozlova,1,3,3.0,1,0,0,0,0
Emma Chardon,Angel Reese,1,2,2.0,0,1,1,0,0
Shyanne Sellers,Emma Chardon,1,2,2.0,0,1,0,1,0
Taisiya Kozlova,Katie Benzan,1,3,3.0,1,0,0,0,0
Taisiya Kozlova,Diamond Miller,1,3,3.0,1,0,0,0,0
Angel Reese,Taisiya Kozlova,1,3,3.0,1,0,0,0,0
Diamond Miller,Taisiya Kozlova,1,2,2.0,0,1,1,0,0
Taisiya Kozlova,Emma Chardon,1,2,2.0,0,1,1,0,0
