assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Katie Benzan,108,9,34,74,250,2.31
Ashley Owusu,99,8,51,48,249,2.52
Shyanne Sellers,83,9,21,62,187,2.25
Diamond Miller,62,7,29,33,153,2.47
Chloe Bibby,49,7,18,31,116,2.37
Angel Reese,48,8,19,29,115,2.4
Mimi Collins,24,6,7,17,55,2.29
Faith Masonius,13,4,4,9,30,2.31
Taisiya Kozlova,3,3,2,1,8,2.67
Emma Chardon,1,1,0,1,2,2.0
