"source_id","file_id","team","opponent","points","start_seconds","end_seconds","duration","period_start","period_end","score_before","score_after"
"2021-22","12546","Maryland","NC State",9,101,292,191,1,1,"3-0","3-9"
"2021-22","12546","Maryland","NC State",7,411,475,64,1,1,"9-11","9-18"
"2021-22","12546","Maryland","NC State",7,570,613,43,1,2,"12-18","12-25"
"2021-22","12546","Maryland","NC State",6,799,890,91,2,2,"17-30","17-36"
"2021-22","12546","Maryland","NC State",7,1177,1233,56,2,3,"27-44","27-51"
"2021-22","12546","NC State","Maryland",7,1371,1486,115,3,3,"31-55","38-55"
"2021-22","12546","Maryland","NC State",7,1750,1831,81,3,4,"46-63","46-70"
"2021-22","12546","NC State","Maryland",6,1884,1935,51,4,4,"46-70","52-70"
"2021-22","12546","NC State","Maryland",6,2011,2118,107,4,4,"52-73","58-73"
"2021-22","12547","Stanford","Maryland",7,471,566,95,1,1,"13-12","13-19"
"2021-22","12547","Stanford","Maryland",12,707,886,179,2,2,"17-22","17-34"
"2021-22","12547","Maryland","Stanford",7,901,992,91,2,2,"17-34","24-34"
"2021-22","12547","Stanford","Maryland",12,1006,1192,186,2,2,"24-34","24-46"
"2021-22","12547","Stanford","Maryland",6,1323,1407,84,3,3,"31-50","31-56"
"2021-22","12547","Stanford","Maryland",11,1437,1524,87,3,3,"33-56","33-67"
"2021-22","12547","Maryland","Stanford",7,1557,1623,66,3,3,"33-67","40-67"
"2021-22","12547","Maryland","Stanford",6,1778,1944,166,3,4,"47-75","53-75"
"2021-22","12547","Stanford","Maryland",6,2051,2131,80,4,4,"55-77","55-83"
"2021-22","12547","Maryland","Stanford",9,2303,2397,94,4,4,"59-86","68-86"
"2021-22","12548","Longwood","Maryland",6,211,240,29,1,1,"11-4","11-10"
"2021-22","12548","Maryland","Longwood",8,1048,1152,104,2,2,"39-31","47-31"
"2021-22","12548","Maryland","Longwood",6,1216,1250,34,3,3,"47-34","53-34"
"2021-22","12548","Maryland","Longwood",7,1309,1420,111,3,3,"53-36","60-36"
"2021-22","12548","Longwood","Maryland",6,1820,1859,39,4,4,"76-47","76-53"
"2021-22","12548","Maryland","Longwood",11,2138,2283,145,4,4,"83-64","94-64"
"2021-22","12549","Maryland","Villanova",10,747,976,229,2,2,"26-23","36-23"
"2021-22","12549","Villanova","Maryland",6,978,1033,55,2,2,"36-23","36-29"
"2021-22","12549","Maryland","Villanova",7,1100,1177,77,2,2,"38-31","45-31"
"2021-22","12549","Maryland","Villanova",20,1264,1582,318,3,3,"49-37","69-37"
"2021-22","12549","Villanova","Maryland",6,2003,2085,82,4,4,"79-49","79-55"
"2021-22","12549","Villanova","Maryland",7,2296,2353,57,4,4,"88-60","88-67"
"2021-22","12550","Maryland","James Madison",10,338,433,95,1,1,"6-12","6-22"
"2021-22","12550","Maryland","James Madison",8,529,695,166,1,2,"10-25","10-33"
"2021-22","12550","Maryland","James Madison",7,1157,1258,101,2,3,"23-44","23-51"
"2021-22","12550","Maryland","James Madison",12,1553,1759,206,3,3,"34-56","34-68"
"2021-22","12550","Maryland","James Madison",6,2021,2129,108,4,4,"38-71","38-77"
"2021-22","12551","Maryland","Mount St. Mary's",16,53,456,403,1,1,"0-0","16-0"
