"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2017-18","Kristen Confroy",34,1064.2,295.8,2113,1701,15.5,595,480,15.6,-0.1,412
"2017-18","Kaila Charles",34,1036.2,323.8,2061,1654,15.7,647,527,14.8,0.9,407
"2017-18","Channise Lewis",34,905.4,454.6,1855,1416,19.4,853,765,7.7,11.7,439
"2017-18","Stephanie Jones",34,821.4,538.6,1656,1325,16.1,1052,856,14.6,1.6,331
"2017-18","Ieshia Small",34,782.0,578.0,1522,1266,13.1,1186,915,18.8,-5.7,256
"2017-18","Brianna Fraser",33,676.1,683.9,1343,1099,14.4,1365,1082,16.6,-2.1,244
"2017-18","Eleanna Christinaki",23,599.8,760.2,1082,1008,4.9,1626,1173,23.8,-18.9,74
"2017-18","Blair Watson",17,444.1,915.9,1032,670,32.6,1676,1511,7.2,25.4,362
"2017-18","Sarah Myers",32,372.1,987.9,716,663,5.7,1992,1518,19.2,-13.5,53
"2017-18","Aja Ellison",27,159.2,1200.8,290,263,6.8,2418,1918,16.7,-9.9,27
