"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points","offensive_rebounds","defensive_rebounds","personal_fouls","technical_fouls","efficiency","usage_pct","points_per_minute","fgm","fga","tpm","tpa","ftm","fta","starter"
2017,9713,"Maryland","K. CHARLES",5,"G",26,"5-15",33.3,"1-2",50.0,"2-2",100.0,8,1,3,0,2,13,5,3,3,0,11.0,25.16,0.5,5,15,1,2,2,2,1
2017,9713,"Maryland","K. CONFROY",12,"G",25,"5-9",55.6,"2-6",33.3,"2-2",100.0,3,2,2,0,0,14,1,2,1,0,13.0,16.47,0.56,5,9,2,6,2,2,1
2017,9713,"Maryland","S. MYERS",21,"G",19,"0-2",0.0,"0-1",0.0,"4-4",100.0,6,2,2,1,0,4,0,6,0,0,9.0,10.5,0.211,0,2,0,1,4,4,1
2017,9713,"Maryland","B. WATSON",22,"G",24,"6-13",46.2,"4-8",50.0,"0-0",0.0,5,1,1,2,1,16,1,4,3,0,17.0,20.21,0.667,6,13,4,8,0,0,1
2017,9713,"Maryland","S. JONES",24,"F",26,"3-9",33.3,"0-1",0.0,"5-6",83.3,18,4,4,6,3,11,10,8,2,0,31.0,20.84,0.423,3,9,0,1,5,6,1
2017,9713,"Maryland","A. ELLISON",0,"",8,"0-2",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,-2.0,0.0,0.0,0,2,0,0,0,0,0
2017,9713,"Maryland","I. SMALL",1,"",20,"3-10",30.0,"0-4",0.0,"3-5",60.0,4,5,2,3,0,9,3,1,1,0,10.0,24.6,0.45,3,10,0,4,3,5,0
2017,9713,"Maryland","C. LEWIS",3,"",25,"3-10",30.0,"2-5",40.0,"2-4",50.0,2,4,4,2,0,10,0,2,1,0,5.0,21.84,0.4,3,10,2,5,2,4,0
2017,9713,"Maryland","B. FRASER",34,"",27,"6-13",46.2,"0-0",0.0,"2-3",66.7,10,3,3,0,2,14,5,5,5,0,18.0,22.23,0.519,6,13,0,0,2,3,0
2017,9713,"Albany","M. TRPCIC",0,"G",23,"2-5",40.0,"1-2",50.0,"0-0",0.0,3,3,3,0,0,5,0,3,3,1,5.0,14.25,0.217,2,5,1,2,0,0,1
2017,9713,"Albany","B. AIYALOGBE",13,"G",17,"2-7",28.6,"0-1",0.0,"0-0",0.0,1,1,2,0,0,4,0,1,3,0,-1.0,21.69,0.235,2,7,0,1,0,0,1
2017,9713,"Albany","J. FEQUIERE",15,"F",30,"8-15",53.3,"5-7",71.4,"0-0",0.0,5,0,7,1,0,21,2,3,3,0,13.0,30.04,0.7,8,15,5,7,0,0,1
2017,9713,"Albany","H. FORSTER",22,"F",18,"0-3",0.0,"0-0",0.0,"0-0",0.0,3,2,3,2,1,0,2,1,1,0,2.0,13.66,0.0,0,3,0,0,0,0,1
2017,9713,"Albany","T. CARTER",33,"C",24,"3-6",50.0,"0-0",0.0,"0-0",0.0,4,1,2,0,3,6,1,3,3,0,9.0,13.66,0.25,3,6,0,0,0,0,1
2017,9713,"Albany","K. FRAMES",2,"",17,"3-7",42.9,"0-2",0.0,"0-0",0.0,4,0,2,3,0,6,0,4,1,0,7.0,21.69,0.353,3,7,0,2,0,0,0
2017,9713,"Albany","P. CONROY",10,"",2,"0-3",0.0,"0-3",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,-3.0,0.0,0.0,0,3,0,3,0,0,0
2017,9713,"Albany","K. ASLAN",20,"",1,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2017,9713,"Albany","A. SCHECTER",24,"",21,"2-7",28.6,"0-0",0.0,"1-2",50.0,6,0,2,0,0,5,1,5,1,0,3.0,19.27,0.238,2,7,0,0,1,2,0
2017,9713,"Albany","E. LIST",32,"",18,"1-5",20.0,"0-0",0.0,"2-2",100.0,1,1,2,3,0,4,0,1,2,0,3.0,17.93,0.222,1,5,0,0,2,2,0
2017,9713,"Albany","C. MAYO",34,"",14,"1-4",25.0,"0-2",0.0,"1-2",50.0,5,0,0,0,0,3,2,3,1,0,4.0,14.28,0.214,1,4,0,2,1,2,0
2017,9713,"Albany","C. CANADA",44,"",15,"2-5",40.0,"0-0",0.0,"0-0",0.0,4,0,3,1,0,4,2,2,4,0,3.0,21.85,0.267,2,5,0,0,0,0,0
2017,9714,"Maryland","C. LEWIS",3,"G",18,"3-5",60.0,"1-2",50.0,"0-0",0.0,1,2,2,0,0,7,1,0,3,0,6.0,17.73,0.389,3,5,1,2,0,0,1
2017,9714,"Maryland","K. CHARLES",5,"G",23,"8-16",50.0,"1-2",50.0,"14-15",93.3,10,0,1,0,0,31,5,5,3,0,31.0,46.77,1.348,8,16,1,2,14,15,1
2017,9714,"Maryland","K. CONFROY",12,"G",29,"1-4",25.0,"1-2",50.0,"4-4",100.0,2,2,1,0,0,7,1,1,3,0,7.0,10.62,0.241,1,4,1,2,4,4,1
2017,9714,"Maryland","B. WATSON",22,"G",33,"5-12",41.7,"4-10",40.0,"0-0",0.0,4,2,1,0,1,14,1,3,4,0,13.0,17.96,0.424,5,12,4,10,0,0,1
2017,9714,"Maryland","S. JONES",24,"F",23,"3-4",75.0,"0-0",0.0,"2-2",100.0,3,1,2,1,0,8,0,3,5,0,10.0,13.63,0.348,3,4,0,0,2,2,1
2017,9714,"Maryland","I. SMALL",1,"",24,"4-9",44.4,"0-1",0.0,"0-0",0.0,8,2,2,0,0,8,1,7,5,0,11.0,20.89,0.333,4,9,0,1,0,0,0
2017,9714,"Maryland","S. MYERS",21,"",23,"1-4",25.0,"0-1",0.0,"2-2",100.0,0,6,0,1,0,4,0,0,1,0,8.0,9.67,0.174,1,4,0,1,2,2,0
2017,9714,"Maryland","B. FRASER",34,"",27,"2-9",22.2,"0-0",0.0,"3-6",50.0,5,0,3,0,4,7,2,3,5,0,3.0,24.71,0.259,2,9,0,0,3,6,0
2017,9714,"South Carolina","D. CLINEY",4,"G",32,"2-8",25.0,"1-5",20.0,"1-4",25.0,3,4,2,1,0,6,1,2,3,0,3.0,15.72,0.188,2,8,1,5,1,4,1
2017,9714,"South Carolina","L. SPANN",11,"G",32,"5-9",55.6,"3-7",42.9,"2-2",100.0,5,2,0,1,1,15,0,5,3,0,20.0,13.21,0.469,5,9,3,7,2,2,1
2017,9714,"South Carolina","A. WILSON",22,"F",36,"10-19",52.6,"0-0",0.0,"12-18",66.7,12,3,5,0,4,32,8,4,2,0,31.0,37.92,0.889,10,19,0,0,12,18,1
2017,9714,"South Carolina","A. JENNINGS",35,"F",27,"5-8",62.5,"0-1",0.0,"2-2",100.0,13,0,0,2,1,12,4,9,1,0,25.0,14.07,0.444,5,8,0,1,2,2,1
2017,9714,"South Carolina","T. HARRIS",52,"G",37,"5-14",35.7,"3-6",50.0,"7-7",100.0,3,9,3,3,0,20,0,3,2,0,23.0,23.21,0.541,5,14,3,6,7,7,1
2017,9714,"South Carolina","V. PATRICK",0,"",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2017,9714,"South Carolina","B. JACKSON",10,"",16,"2-5",40.0,"1-3",33.3,"0-0",0.0,0,0,1,1,0,5,0,0,1,0,2.0,16.04,0.313,2,5,1,3,0,0,0
2017,9714,"South Carolina","M. HERBERT HARRIGAN",21,"",13,"2-3",66.7,"0-0",0.0,"0-0",0.0,3,0,0,0,1,4,2,1,5,1,7.0,9.87,0.308,2,3,0,0,0,0,0
2017,9714,"South Carolina","L. GRISSETT",24,"",5,"0-1",0.0,"0-0",0.0,"0-0",0.0,0,1,1,0,0,0,0,0,2,0,-1.0,0.0,0.0,0,1,0,0,0,0,0
2017,9715,"Maryland","C. LEWIS",3,"G",13,"0-2",0.0,"0-0",0.0,"0-0",0.0,1,5,2,0,0,0,0,1,1,0,2.0,14.81,0.0,0,2,0,0,0,0,1
2017,9715,"Maryland","K. CHARLES",5,"G",19,"7-12",58.3,"0-1",0.0,"3-3",100.0,3,0,3,2,3,17,0,3,5,0,17.0,41.34,0.895,7,12,0,1,3,3,1
2017,9715,"Maryland","K. CONFROY",12,"G",26,"3-7",42.9,"2-4",50.0,"0-0",0.0,6,4,3,5,0,8,3,3,3,0,16.0,18.51,0.308,3,7,2,4,0,0,1
2017,9715,"Maryland","B. WATSON",22,"G",27,"5-11",45.5,"3-6",50.0,"0-0",0.0,4,4,1,2,1,13,1,3,2,0,17.0,21.39,0.481,5,11,3,6,0,0,1
2017,9715,"Maryland","S. JONES",24,"F",29,"8-10",80.0,"0-0",0.0,"5-6",83.3,9,0,0,2,2,21,3,6,2,0,31.0,20.98,0.724,8,10,0,0,5,6,1
2017,9715,"Maryland","I. SMALL",1,"",30,"5-7",71.4,"0-0",0.0,"8-10",80.0,4,6,2,1,1,18,1,3,3,0,24.0,21.5,0.6,5,7,0,0,8,10,0
2017,9715,"Maryland","S. MYERS",21,"",31,"1-2",50.0,"0-0",0.0,"1-2",50.0,5,3,0,0,0,3,0,5,2,0,9.0,4.47,0.097,1,2,0,0,1,2,0
2017,9715,"Maryland","B. FRASER",34,"",25,"5-9",55.6,"0-0",0.0,"2-2",100.0,6,1,2,1,1,12,2,4,0,0,15.0,22.87,0.48,5,9,0,0,2,2,0
2017,9715,"Niagara","J. SHERBURNE",10,"G",30,"2-8",25.0,"1-3",33.3,"5-6",83.3,2,3,3,0,0,10,0,2,2,0,5.0,20.17,0.333,2,8,1,3,5,6,1
2017,9715,"Niagara","K. BRYANT",11,"G",19,"3-4",75.0,"0-0",0.0,"1-2",50.0,3,3,6,1,0,7,1,2,4,0,6.0,25.41,0.368,3,4,0,0,1,2,1
