"source_id","file_id","period","time_remaining","team","play_type","play_action","narrative","player_name","player_number","home_team_score","visiting_team_score"
2017,9746,1,590,"Maryland","3PTR","MISS","10 Eleanna Christinaki 3PTR MISS","Eleanna Christinaki",10.0,"",""
2017,9746,1,590,"Maryland","OFF","REBOUND","12 Kristen Confroy OFF. REBOUND (1 Reb, 1 Off)","Kristen Confroy",12.0,"",""
2017,9746,1,578,"NC State","FOUL","FOUL","11 Kiara Leslie FOUL (1 PF)","Kiara Leslie",11.0,"",""
2017,9746,1,578,"Maryland","FT","MISS","03 Channise Lewis FT MISS","Channise Lewis",3.0,"",""
2017,9746,1,578,"Maryland","DEADB","REBOUND","Maryland REBOUND","","","",""
2017,9746,1,578,"Maryland","FT","GOOD","03 Channise Lewis FT GOOD (1 Pt)","Channise Lewis",3.0,0.0,1.0
2017,9746,1,563,"NC State","JUMPER","MISS","05 Chelsea Nelson JUMPER MISS","Chelsea Nelson",5.0,"",""
2017,9746,1,563,"Maryland","DEF","REBOUND","12 Kristen Confroy DEF. REBOUND (2 Reb, 1 Def)","Kristen Confroy",12.0,"",""
2017,9746,1,558,"Maryland","JUMPER","MISS","05 Kaila Charles JUMPER MISS","Kaila Charles",5.0,"",""
2017,9746,1,558,"NC State","DEF","REBOUND","11 Kiara Leslie DEF. REBOUND (1 Reb, 1 Def)","Kiara Leslie",11.0,"",""
2017,9746,1,539,"NC State","LAYUP","GOOD","32 Akela Maize LAYUP GOOD (2 Pt); 01 Aislinn Konig Assist (1 Asst)","Akela Maize",32.0,2.0,1.0
2017,9746,1,513,"Maryland","TURNOVER","TURNOVER","05 Kaila Charles TURNOVER (1 TO)","Kaila Charles",5.0,"",""
2017,9746,1,503,"NC State","TURNOVER","TURNOVER","02 Kaila Ealey TURNOVER (1 TO)","Kaila Ealey",2.0,"",""
2017,9746,1,502,"Maryland","STEAL","STEAL","24 Stephanie Jones STEAL (1 Stl)","Stephanie Jones",24.0,"",""
2017,9746,1,493,"Maryland","LAYUP","GOOD","24 Stephanie Jones LAYUP GOOD (2 Pt); 12 Kristen Confroy Assist (1 Asst)","Stephanie Jones",24.0,2.0,3.0
2017,9746,1,475,"NC State","LAYUP","MISS","11 Kiara Leslie LAYUP MISS; 24 Stephanie Jones BLOCK (1 Blk)","Kiara Leslie",11.0,"",""
2017,9746,1,475,"NC State","OFF","REBOUND","NC State REBOUND","","","",""
2017,9746,1,468,"Maryland","FOUL","FOUL","12 Kristen Confroy FOUL (1 PF)","Kristen Confroy",12.0,"",""
2017,9746,1,468,"NC State","FT","GOOD","32 Akela Maize FT GOOD (3 Pt)","Akela Maize",32.0,3.0,3.0
2017,9746,1,468,"NC State","FT","GOOD","32 Akela Maize FT GOOD (4 Pt)","Akela Maize",32.0,4.0,3.0
2017,9746,1,457,"Maryland","JUMPER","MISS","03 Channise Lewis JUMPER MISS","Channise Lewis",3.0,"",""
2017,9746,1,457,"NC State","DEF","REBOUND","32 Akela Maize DEF. REBOUND (1 Reb, 1 Def)","Akela Maize",32.0,"",""
2017,9746,1,440,"Maryland","FOUL","FOUL","03 Channise Lewis FOUL (1 PF)","Channise Lewis",3.0,"",""
2017,9746,1,440,"Maryland","SUBS","SUBS","21 Sarah Myers IN; 03 Channise Lewis OUT","Sarah Myers",21.0,"",""
2017,9746,1,433,"NC State","JUMPER","MISS","02 Kaila Ealey JUMPER MISS","Kaila Ealey",2.0,"",""
2017,9746,1,433,"Maryland","DEF","REBOUND","12 Kristen Confroy DEF. REBOUND (3 Reb, 2 Def)","Kristen Confroy",12.0,"",""
2017,9746,1,424,"Maryland","JUMPER","MISS","10 Eleanna Christinaki JUMPER MISS","Eleanna Christinaki",10.0,"",""
2017,9746,1,424,"NC State","DEF","REBOUND","05 Chelsea Nelson DEF. REBOUND (1 Reb, 1 Def)","Chelsea Nelson",5.0,"",""
2017,9746,1,417,"NC State","LAYUP","GOOD","02 Kaila Ealey LAYUP GOOD (2 Pt)","Kaila Ealey",2.0,6.0,3.0
2017,9746,1,398,"Maryland","JUMPER","MISS","05 Kaila Charles JUMPER MISS","Kaila Charles",5.0,"",""
2017,9746,1,398,"NC State","DEF","REBOUND","05 Chelsea Nelson DEF. REBOUND (2 Reb, 2 Def)","Chelsea Nelson",5.0,"",""
2017,9746,1,398,"Maryland","SUBS","SUBS","01 Ieshia Small IN; 10 Eleanna Christinaki OUT","Ieshia Small",1.0,"",""
2017,9746,1,382,"NC State","3PTR","GOOD","02 Kaila Ealey 3PTR GOOD (5 Pt)","Kaila Ealey",2.0,9.0,3.0
2017,9746,1,361,"Maryland","JUMPER","MISS","01 Ieshia Small JUMPER MISS","Ieshia Small",1.0,"",""
2017,9746,1,361,"Maryland","OFF","REBOUND","05 Kaila Charles OFF. REBOUND (1 Reb, 1 Off)","Kaila Charles",5.0,"",""
2017,9746,1,345,"NC State","FOUL","FOUL","32 Akela Maize FOUL (1 PF)","Akela Maize",32.0,"",""
2017,9746,1,345,"Maryland","FT","MISS","01 Ieshia Small FT MISS","Ieshia Small",1.0,"",""
2017,9746,1,345,"Maryland","DEADB","REBOUND","Maryland REBOUND","","","",""
2017,9746,1,345,"Maryland","FT","GOOD","01 Ieshia Small FT GOOD (1 Pt)","Ieshia Small",1.0,9.0,4.0
2017,9746,1,328,"NC State","LAYUP","MISS","32 Akela Maize LAYUP MISS","Akela Maize",32.0,"",""
2017,9746,1,328,"NC State","OFF","REBOUND","32 Akela Maize OFF. REBOUND (2 Reb, 1 Off)","Akela Maize",32.0,"",""
2017,9746,1,318,"NC State","3PTR","GOOD","11 Kiara Leslie 3PTR GOOD (3 Pt); 01 Aislinn Konig Assist (2 Asst)","Kiara Leslie",11.0,12.0,4.0
2017,9746,1,300,"Maryland","JUMPER","GOOD","05 Kaila Charles JUMPER GOOD (2 Pt)","Kaila Charles",5.0,12.0,6.0
2017,9746,1,295,"NC State","MEDIA","TIMEOUT","Media Timeout","","","",""
2017,9746,1,295,"Maryland","SUBS","SUBS","34 Brianna Fraser IN; 03 Channise Lewis IN; 21 Sarah Myers OUT; 24 Stephanie Jones OUT","Brianna Fraser",34.0,"",""
2017,9746,1,278,"NC State","TURNOVER","TURNOVER","11 Kiara Leslie TURNOVER (1 TO)","Kiara Leslie",11.0,"",""
2017,9746,1,265,"Maryland","JUMPER","MISS","05 Kaila Charles JUMPER MISS","Kaila Charles",5.0,"",""
2017,9746,1,265,"NC State","DEF","REBOUND","11 Kiara Leslie DEF. REBOUND (2 Reb, 2 Def)","Kiara Leslie",11.0,"",""
2017,9746,1,259,"NC State","TURNOVER","TURNOVER","11 Kiara Leslie TURNOVER (2 TO)","Kiara Leslie",11.0,"",""
2017,9746,1,257,"Maryland","STEAL","STEAL","01 Ieshia Small STEAL (1 Stl)","Ieshia Small",1.0,"",""
2017,9746,1,240,"Maryland","JUMPER","MISS","05 Kaila Charles JUMPER MISS","Kaila Charles",5.0,"",""
2017,9746,1,240,"NC State","DEF","REBOUND","05 Chelsea Nelson DEF. REBOUND (3 Reb, 3 Def)","Chelsea Nelson",5.0,"",""
2017,9746,1,231,"NC State","TURNOVER","TURNOVER","05 Chelsea Nelson TURNOVER (1 TO)","Chelsea Nelson",5.0,"",""
2017,9746,1,231,"Maryland","SUBS","SUBS","10 Eleanna Christinaki IN; 03 Channise Lewis OUT","Eleanna Christinaki",10.0,"",""
2017,9746,1,218,"NC State","FOUL","FOUL","01 Aislinn Konig FOUL (1 PF)","Aislinn Konig",1.0,"",""
2017,9746,1,208,"Maryland","TURNOVER","TURNOVER","10 Eleanna Christinaki TURNOVER (1 TO)","Eleanna Christinaki",10.0,"",""
2017,9746,1,208,"Maryland","SUBS","SUBS","24 Stephanie Jones IN; 34 Brianna Fraser OUT","Stephanie Jones",24.0,"",""
2017,9746,1,200,"Maryland","FOUL","FOUL","05 Kaila Charles FOUL (1 PF)","Kaila Charles",5.0,"",""
2017,9746,1,200,"Maryland","SUBS","SUBS","34 Brianna Fraser IN; 05 Kaila Charles OUT","Brianna Fraser",34.0,"",""
