"source_id","file_id","team","period","points","fgm","fga","tpm","tpa","ftm","fta","offensive_rebounds","defensive_rebounds","rebounds","assists","turnovers","steals","blocks","personal_fouls","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench"
"2017-18","9713","Maryland",1,14,6,19,0,4,2,2,8,7,15,4,10,4,1,3,10,6,4,6,4
"2017-18","9713","Maryland",2,30,12,26,3,9,3,5,11,9,20,8,3,5,3,4,14,13,8,7,16
"2017-18","9713","Maryland",3,30,9,22,5,10,7,11,6,7,13,8,3,4,3,5,4,12,0,10,7
"2017-18","9713","Maryland",4,17,4,16,1,4,8,8,4,8,12,2,5,1,1,4,4,0,2,2,6
"2017-18","9713","Albany",1,14,6,13,2,4,0,0,0,5,5,1,9,4,2,5,8,4,4,0,2
"2017-18","9713","Albany",2,4,2,15,0,3,0,0,4,5,9,1,8,0,2,6,4,0,0,0,2
"2017-18","9713","Albany",3,19,6,15,3,5,4,6,4,10,14,3,8,2,0,6,2,7,3,4,8
"2017-18","9713","Albany",4,21,10,24,1,5,0,0,6,8,14,3,3,4,0,5,12,4,2,8,10
"2017-18","9714","Maryland",1,13,5,11,1,3,2,4,1,3,4,3,5,0,2,5,6,2,0,2,6
"2017-18","9714","Maryland",2,23,6,14,2,4,9,10,3,5,8,5,3,1,0,6,6,7,0,5,7
"2017-18","9714","Maryland",3,18,7,17,2,5,2,2,1,4,5,3,1,1,2,4,10,0,5,0,4
"2017-18","9714","Maryland",4,32,9,21,2,6,12,13,7,12,19,4,3,0,1,14,6,0,0,6,2
"2017-18","9714","South Carolina",1,29,12,19,3,6,2,4,5,6,11,7,2,1,0,2,12,7,4,8,4
"2017-18","9714","South Carolina",2,22,6,16,2,8,8,8,5,5,10,4,4,3,3,7,8,4,2,6,3
"2017-18","9714","South Carolina",3,22,9,17,2,4,2,2,3,9,12,6,4,1,2,2,12,0,6,4,2
"2017-18","9714","South Carolina",4,21,4,15,1,4,12,19,2,6,8,2,2,3,2,8,6,5,4,1,0
"2017-18","9715","Maryland",1,25,9,14,3,4,4,4,1,8,9,6,2,4,3,5,12,4,4,0,6
"2017-18","9715","Maryland",2,17,8,16,1,2,0,0,3,8,11,4,5,3,0,4,10,4,2,6,4
"2017-18","9715","Maryland",3,23,10,12,0,2,3,5,1,8,9,7,5,3,4,6,12,4,0,0,10
"2017-18","9715","Maryland",4,27,7,18,1,3,12,14,7,6,13,6,1,3,1,3,12,11,0,13,13
"2017-18","9715","Niagara",1,17,6,19,1,4,4,5,6,4,10,5,5,1,0,3,10,4,0,0,3
"2017-18","9715","Niagara",2,19,7,16,3,3,2,5,2,5,7,6,3,3,0,2,8,5,2,1,2
"2017-18","9715","Niagara",3,12,4,16,2,6,2,2,4,2,6,2,4,1,0,4,4,5,0,0,0
"2017-18","9715","Niagara",4,17,6,13,3,5,2,2,1,6,7,3,8,0,0,9,2,2,0,0,6
"2017-18","9716","UConn",1,32,14,23,4,7,0,0,7,7,14,10,5,5,3,3,18,13,8,9,0
"2017-18","9716","UConn",2,14,6,22,0,6,2,4,5,9,14,2,4,4,0,1,12,9,0,4,2
"2017-18","9716","UConn",3,29,9,19,3,9,8,10,6,12,18,5,6,0,0,5,12,5,2,8,0
"2017-18","9716","UConn",4,22,9,14,2,4,2,3,2,9,11,3,10,1,1,6,10,0,4,5,18
"2017-18","9716","Maryland",1,11,4,14,0,2,3,3,3,2,5,1,8,3,2,3,6,7,2,0,4
"2017-18","9716","Maryland",2,10,5,16,0,2,0,0,2,11,13,1,7,3,3,4,6,2,0,0,4
"2017-18","9716","Maryland",3,20,7,22,2,9,4,5,4,6,10,2,4,3,0,7,8,4,0,4,14
"2017-18","9716","Maryland",4,31,12,20,3,6,4,10,3,4,7,5,1,7,1,3,16,16,6,6,10
"2017-18","9717","Maryland",1,33,12,21,1,2,8,10,7,10,17,6,3,7,2,1,18,17,4,7,6
"2017-18","9717","Maryland",2,23,8,18,3,6,4,7,5,7,12,6,4,1,2,8,8,3,2,4,12
"2017-18","9717","Maryland",3,35,13,23,5,9,4,6,6,9,15,9,2,3,2,2,14,13,8,8,4
"2017-18","9717","Maryland",4,20,8,13,2,3,2,6,2,7,9,6,4,4,0,6,12,7,0,2,13
