team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,34,34,0,100.0,2708,79.6470588235294,1938,79.6470588235294,57.0,22.647058823529406,1011,2219,45.5610635421361,214,552,38.768115942028984,472,671,70.34277198211625,50.38305543037404,53.85325187730686,0.302388463271744,1435,42.205882352941174,569,16.735294117647058,1.182952182952183,326,9.588235294117647,139,4.088235294117647,481,14.147058823529411,536,15.764705882352942
NC State,1,0,0,0.0,74,74.0,0,74.0,0.0,74.0,25,56,44.642857142857146,7,14,50.0,17,27,62.96296296296296,50.89285714285714,54.507955215085445,0.48214285714285715,39,39.0,12,12.0,0.8571428571428571,7,7.0,2,2.0,14,14.0,16,16.0
Penn State,1,0,0,0.0,65,65.0,0,65.0,0.0,65.0,25,63,39.682539682539684,6,14,42.857142857142854,9,14,64.28571428571429,44.44444444444444,46.99248120300752,0.2222222222222222,38,38.0,13,13.0,0.8125,5,5.0,4,4.0,16,16.0,19,19.0
Indiana,2,0,0,0.0,124,62.0,0,62.0,0.0,62.0,46,110,41.81818181818181,15,39,38.46153846153847,17,25,68.0,48.63636363636364,51.2396694214876,0.22727272727272727,61,30.5,26,13.0,0.8666666666666667,5,2.5,5,2.5,30,15.0,34,17.0
Michigan State,2,0,0,0.0,150,75.0,0,75.0,0.0,75.0,55,132,41.66666666666667,16,42,38.095238095238095,24,30,80.0,47.72727272727273,51.65289256198348,0.22727272727272727,78,39.0,33,16.5,0.9428571428571428,18,9.0,8,4.0,35,17.5,34,17.0
Illinois,1,0,0,0.0,65,65.0,0,65.0,0.0,65.0,25,71,35.2112676056338,7,20,35.0,8,9,88.88888888888889,40.140845070422536,43.35645677694771,0.1267605633802817,34,34.0,12,12.0,0.75,4,4.0,6,6.0,16,16.0,23,23.0
Akron,1,0,0,0.0,54,54.0,0,54.0,0.0,54.0,21,69,30.434782608695656,5,23,21.73913043478261,7,10,70.0,34.05797101449276,36.78474114441417,0.14492753623188406,33,33.0,11,11.0,0.9166666666666666,8,8.0,2,2.0,12,12.0,16,16.0
Rutgers,2,0,0,0.0,114,57.0,0,57.0,0.0,57.0,44,123,35.77235772357724,8,32,25.0,18,23,78.26086956521739,39.02439024390244,42.81850961538461,0.18699186991869918,62,31.0,22,11.0,0.6666666666666666,18,9.0,10,5.0,33,16.5,39,19.5
Howard,1,0,0,0.0,49,49.0,0,49.0,0.0,49.0,16,55,29.09090909090909,4,17,23.52941176470588,13,25,52.0,32.72727272727273,37.121212121212125,0.45454545454545453,32,32.0,8,8.0,0.32,8,8.0,6,6.0,25,25.0,20,20.0
Michigan,1,0,0,0.0,71,71.0,0,71.0,0.0,71.0,25,52,48.07692307692308,6,10,60.0,15,18,83.33333333333334,53.84615384615385,59.2456608811749,0.34615384615384615,32,32.0,16,16.0,0.9411764705882353,5,5.0,2,2.0,17,17.0,14,14.0
