scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Kaila Charles,117,8,6,111,240,2.05
Stephanie Jones,94,8,0,94,188,2.0
Kristen Confroy,80,8,70,10,230,2.88
Blair Watson,71,8,59,12,201,2.83
Brianna Fraser,68,8,0,68,136,2.0
Eleanna Christinaki,61,8,29,32,151,2.48
Ieshia Small,35,10,1,34,71,2.03
Channise Lewis,33,8,26,7,92,2.79
Sarah Myers,9,6,3,6,21,2.33
Aja Ellison,2,1,0,2,4,2.0
