assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Channise Lewis,160,8,61,99,381,2.38
Kristen Confroy,94,8,24,70,212,2.26
Kaila Charles,72,8,25,47,169,2.35
Ieshia Small,69,9,26,43,164,2.38
Blair Watson,46,8,12,34,104,2.26
Sarah Myers,34,7,13,21,81,2.38
Stephanie Jones,32,7,14,18,78,2.44
Eleanna Christinaki,32,8,11,21,75,2.34
Brianna Fraser,28,7,7,21,63,2.25
Aja Ellison,2,2,1,1,5,2.5
Destiny PERKINS,1,1,0,1,2,2.0
