"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2017-18","Blair Watson",34,18,52.9,48,21,43.8,187,83,44.4
"2017-18","Brianna Fraser",48,28,58.3,38,17,44.7,235,119,50.6
"2017-18","Channise Lewis",17,8,47.1,36,12,33.3,168,63,37.5
"2017-18","Eleanna Christinaki",29,13,44.8,92,30,32.6,265,97,36.6
"2017-18","Ieshia Small",35,14,40.0,76,32,42.1,292,119,40.8
"2017-18","Kaila Charles",111,66,59.5,111,55,49.5,489,246,50.3
"2017-18","Kristen Confroy",40,15,37.5,64,25,39.1,257,112,43.6
"2017-18","Sarah Myers",1,0,0.0,14,5,35.7,62,19,30.6
"2017-18","Stephanie Jones",60,38,63.3,27,16,59.3,250,147,58.8
"2017-18","TEAM",375,200,53.3,506,213,42.1,2219,1011,45.6
