"source_id","file_id","team","opponent","is_home","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench","largest_lead","largest_lead_time","time_with_lead_sec","pct_lead","ties","lead_changes","possessions","avg_scoring_possession","largest_deficit"
"2023-24","16457","Maryland","Harvard",1,52,19,20,18,34,27,"0:58 (4th)",2325,96.8,1,0,0,"-",0
"2023-24","16457","Harvard","Maryland",0,38,16,6,19,20,0,"-",0,0.0,1,0,0,"-",27
"2023-24","16458","South Carolina","Maryland",1,56,23,26,28,55,39,"0:34 (4th)",1715,71.4,7,12,0,"-",4
"2023-24","16458","Maryland","South Carolina",0,30,4,2,8,20,4,"5:25 (2nd)",358,14.9,7,12,0,"-",39
"2023-24","16459","UConn","Maryland",1,46,29,10,11,29,35,"0:48 (4th)",2109,87.8,3,2,0,"-",5
"2023-24","16459","Maryland","UConn",0,18,9,7,13,8,5,"5:51 (2nd)",231,9.6,3,2,0,"-",35
"2023-24","16460","Maryland","Syracuse",1,42,23,13,23,37,8,"2:13 (4th)",1260,52.5,12,21,0,"-",7
"2023-24","16460","Syracuse","Maryland",0,36,14,5,21,10,7,"2:22 (3rd)",900,37.5,12,21,0,"-",8
"2023-24","16461","Washington St.","Maryland",1,46,9,18,2,24,22,"4:42 (4th)",1368,57.0,2,5,0,"-",13
"2023-24","16461","Maryland","Washington St.",0,22,15,9,14,15,13,"9:45 (2nd)",969,40.4,2,5,0,"-",22
"2023-24","16462","Maryland","Green Bay",1,24,9,9,6,30,9,"0:16 (4th)",601,25.0,0,1,0,"-",8
"2023-24","16462","Green Bay","Maryland",0,32,8,5,11,20,8,"5:01 (2nd)",1776,74.0,0,1,0,"-",9
"2023-24","16463","Maryland","Massachusetts",1,46,42,28,9,39,31,"5:49 (4th)",2359,98.3,1,0,0,"-",0
"2023-24","16463","Massachusetts","Maryland",0,24,16,7,11,21,0,"-",0,0.0,1,0,0,"-",31
"2023-24","16464","Maryland","Niagara",1,64,36,34,9,39,70,"0:52 (4th)",2355,98.1,0,0,0,"-",0
"2023-24","16464","Niagara","Maryland",0,22,7,0,12,26,0,"-",0,0.0,0,0,0,"-",70
"2023-24","16465","Maryland","George Mason",1,42,20,15,15,24,13,"4:29 (4th)",944,39.3,4,4,0,"-",11
"2023-24","16465","George Mason","Maryland",0,28,13,13,11,36,11,"0:58 (2nd)",1264,52.6,4,4,0,"-",13
"2023-24","16466","Maryland","Towson",1,50,14,34,12,37,48,"0:31 (4th)",2367,98.6,0,0,0,"-",0
