"source_id","player_out_number","player_out_name","player_in_number","player_in_name","times_occurred","games","avg_period","avg_clock_seconds"
"2023-24","20","Hawa Doumbouya","11","Jakia Brown-Turner",1,1,3.0,600.0
"2023-24","33","Summer Bostock","11","Jakia Brown-Turner",1,1,3.0,292.0
"2023-24","33","Summer Bostock","13","Faith Masonius",1,1,4.0,600.0
"2023-24","11","Jakia Brown-Turner","21","Emma Chardon",1,1,4.0,480.0
"2023-24","20","Hawa Doumbouya","15","Zen Nuako",1,1,4.0,139.0
"2023-24","24","Bri McDaniel","33","Summer Bostock",1,1,2.0,125.0
"2023-24","33","Summer Bostock","14","Allie Kubek",1,1,3.0,600.0
"2023-24","33","Summer Bostock","30","Mary Sareen",1,1,4.0,69.0
"2023-24","13","Faith Masonius","02","Riley Nelson",1,1,3.0,113.0
"2023-24","30","Mary Sareen","34","Emily Fisher",1,1,4.0,190.0
"2023-24","02","Riley Nelson","33","Summer Bostock",1,1,3.0,50.0
"2023-24","13","Faith Masonius","15","Zen Nuako",1,1,4.0,109.0
"2023-24","13","Faith Masonius","03","Lavender Briggs",1,1,3.0,600.0
"2023-24","13","Faith Masonius","30","Mary Sareen",1,1,4.0,109.0
"2023-24","05","Brinae Alexander","15","Zen Nuako",1,1,4.0,30.0
"2023-24","14","Allie Kubek","30","Mary Sareen",1,1,4.0,14.0
