"source_id","file_id","period","clock_seconds","num_players","players_out","players_in","score_diff"
"2023-24","16457",2,287,5,"Shyanne Sellers, Lavender Briggs, Brinae Alexander, Bri McDaniel, Allie Kubek","Riley Nelson, Jakia Brown-Turner, Allie Kubek, Emma Chardon, Emily Fisher",0
"2023-24","16463",1,306,5,"Shyanne Sellers, Lavender Briggs, Brinae Alexander, Jakia Brown-Turner, Allie Kubek","Riley Nelson, Faith Masonius, Emma Chardon, Bri McDaniel, Emily Fisher",0
"2023-24","16463",3,292,5,"Brinae Alexander, Jakia Brown-Turner, Allie Kubek, Bri McDaniel, Summer Bostock","Riley Nelson, Faith Masonius, Summer Bostock, Emily Fisher, Jakia Brown-Turner",0
"2023-24","16463",4,600,5,"Riley Nelson, Hawa Doumbouya, Bri McDaniel, Summer Bostock, Emily Fisher","Shyanne Sellers, Brinae Alexander, Jakia Brown-Turner, Faith Masonius, Allie Kubek",0
"2023-24","16464",3,600,5,"Riley Nelson, Hawa Doumbouya, Emma Chardon, Summer Bostock, Emily Fisher","Shyanne Sellers, Brinae Alexander, Jakia Brown-Turner, Allie Kubek, Bri McDaniel",0
"2023-24","16457",3,259,4,"Riley Nelson, Allie Kubek, Emma Chardon, Bri McDaniel","Shyanne Sellers, Lavender Briggs, Brinae Alexander, Faith Masonius",0
"2023-24","16463",1,182,4,"Faith Masonius, Emma Chardon, Bri McDaniel, Emily Fisher","Shyanne Sellers, Brinae Alexander, Jakia Brown-Turner, Allie Kubek",0
"2023-24","16463",3,600,4,"Riley Nelson, Lavender Briggs, Hawa Doumbouya, Emily Fisher","Shyanne Sellers, Brinae Alexander, Jakia Brown-Turner, Allie Kubek",0
"2023-24","16464",2,305,4,"Shyanne Sellers, Brinae Alexander, Jakia Brown-Turner, Allie Kubek","Faith Masonius, Emma Chardon, Bri McDaniel, Emily Fisher",0
"2023-24","16464",4,430,4,"Brinae Alexander, Jakia Brown-Turner, Bri McDaniel, Emily Fisher","Shyanne Sellers, Riley Nelson, Faith Masonius, Summer Bostock",0
"2023-24","16457",2,600,3,"Riley Nelson, Lavender Briggs, Faith Masonius","Shyanne Sellers, Brinae Alexander, Bri McDaniel",0
"2023-24","16457",3,600,3,"Allie Kubek, Emma Chardon, Emily Fisher","Lavender Briggs, Brinae Alexander, Faith Masonius",0
"2023-24","16457",4,600,3,"Riley Nelson, Lavender Briggs, Jakia Brown-Turner","Shyanne Sellers, Emma Chardon, Bri McDaniel",0
"2023-24","16457",4,385,3,"Allie Kubek, Emma Chardon, Bri McDaniel","Lavender Briggs, Brinae Alexander, Emily Fisher",0
"2023-24","16460",2,379,3,"Jakia Brown-Turner, Allie Kubek, Bri McDaniel","Riley Nelson, Lavender Briggs, Faith Masonius",0
"2023-24","16460",3,600,3,"Riley Nelson, Allie Kubek, Emma Chardon","Lavender Briggs, Brinae Alexander, Jakia Brown-Turner",0
"2023-24","16461",3,275,3,"Brinae Alexander, Allie Kubek, Bri McDaniel","Riley Nelson, Jakia Brown-Turner, Faith Masonius",0
"2023-24","16462",2,404,3,"Lavender Briggs, Jakia Brown-Turner, Faith Masonius","Shyanne Sellers, Brinae Alexander, Allie Kubek",0
"2023-24","16464",2,600,3,"Riley Nelson, Faith Masonius, Emily Fisher","Shyanne Sellers, Brinae Alexander, Jakia Brown-Turner",0
"2023-24","16464",4,190,3,"Shyanne Sellers, Faith Masonius, Allie Kubek","Hawa Doumbouya, Bri McDaniel, Emily Fisher",0
"2023-24","16466",3,600,3,"Riley Nelson, Hawa Doumbouya, Emily Fisher","Brinae Alexander, Faith Masonius, Allie Kubek",0
"2023-24","16466",4,600,3,"Shyanne Sellers, Jakia Brown-Turner, Hawa Doumbouya","Faith Masonius, Allie Kubek, Bri McDaniel",0
"2023-24","16538",3,600,3,"Riley Nelson, Faith Masonius, Emily Fisher","Brinae Alexander, Jakia Brown-Turner, Bri McDaniel",0
"2023-24","16539",3,600,3,"Riley Nelson, Lavender Briggs, Faith Masonius","Shyanne Sellers, Jakia Brown-Turner, Allie Kubek",0
"2023-24","16539",4,600,3,"Shyanne Sellers, Riley Nelson, Faith Masonius","Brinae Alexander, Jakia Brown-Turner, Bri McDaniel",0
"2023-24","16540",3,93,3,"Shyanne Sellers, Riley Nelson, Brinae Alexander","Allie Kubek, Bri McDaniel, Emily Fisher",0
"2023-24","16546",2,600,3,"Shyanne Sellers, Brinae Alexander, Allie Kubek","Jakia Brown-Turner, Faith Masonius, Bri McDaniel",0
"2023-24","16549",3,311,3,"Lavender Briggs, Faith Masonius, Bri McDaniel","Brinae Alexander, Allie Kubek, Emily Fisher",0
"2023-24","16552",1,355,3,"Shyanne Sellers, Brinae Alexander, Faith Masonius","Allie Kubek, Bri McDaniel, Emily Fisher",0
"2023-24","16554",4,79,3,"Brinae Alexander, Jakia Brown-Turner, Allie Kubek","Hawa Doumbouya, Mary Sareen, Summer Bostock",0
"2023-24","17526",4,227,3,"Shyanne Sellers, Jakia Brown-Turner, Allie Kubek","Hawa Doumbouya, Bri McDaniel, Summer Bostock",0
"2023-24","16457",1,283,2,"Lavender Briggs, Brinae Alexander","Jakia Brown-Turner, Faith Masonius",0
"2023-24","16457",2,132,2,"Riley Nelson, Faith Masonius","Shyanne Sellers, Allie Kubek",0
"2023-24","16457",3,394,2,"Jakia Brown-Turner, Faith Masonius","Allie Kubek, Bri McDaniel",0
"2023-24","16457",3,346,2,"Shyanne Sellers, Brinae Alexander","Riley Nelson, Emma Chardon",0
"2023-24","16458",2,600,2,"Brinae Alexander, Hawa Doumbouya","Faith Masonius, Allie Kubek",0
"2023-24","16458",4,600,2,"Emma Chardon, Bri McDaniel","Shyanne Sellers, Jakia Brown-Turner",0
"2023-24","16458",4,479,2,"Jakia Brown-Turner, Allie Kubek","Faith Masonius, Bri McDaniel",0
"2023-24","16459",1,378,2,"Brinae Alexander, Faith Masonius","Allie Kubek, Bri McDaniel",0
