"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points"
2023,16466,"Towson","P. ANUMGBA",24,"G",28,"5-13",38.5,"2-6",33.3,"3-3",100.0,1,0,1,1,0,15
2023,16466,"Towson","Q. FULMORE",34,"F",21,"4-7",57.1,"0-0",0.0,"1-1",100.0,0,0,2,0,0,9
2023,16466,"Towson","S. TURNER",1,"G",6,"0-2",0.0,"0-1",0.0,"0-0",0.0,2,0,1,0,0,0
2023,16466,"Towson","I. JOHNSTON",2,"G",18,"0-3",0.0,"0-2",0.0,"3-3",100.0,0,0,0,0,0,3
2023,16466,"Towson","A. STATON",3,"F",11,"2-7",28.6,"0-1",0.0,"0-0",0.0,4,1,1,0,0,4
2023,16466,"Towson","C. HADLEY",10,"F",3,"0-2",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2023,16466,"Towson","A. DIAKITE",14,"G",14,"0-4",0.0,"0-2",0.0,"0-0",0.0,0,0,1,0,0,0
2023,16466,"Towson","M. WILSON",20,"G",11,"2-6",33.3,"2-5",40.0,"0-0",0.0,0,1,1,0,0,6
2023,16466,"Towson","G. SCOTT",21,"F",9,"0-2",0.0,"0-2",0.0,"0-0",0.0,0,0,1,0,0,0
2023,16466,"Towson","A. JENKINS",22,"F",15,"1-2",50.0,"0-1",0.0,"2-2",100.0,2,1,1,0,0,4
2023,16467,"Maryland","S. SELLERS",0,"G",34,"9-19",47.4,"3-6",50.0,"8-9",88.9,8,6,1,1,2,29
2023,16467,"Maryland","B. ALEXANDER",5,"F",21,"1-7",14.3,"1-3",33.3,"0-0",0.0,3,1,1,0,0,3
2023,16467,"Maryland","F. MASONIUS",13,"F",29,"4-8",50.0,"0-0",0.0,"0-0",0.0,4,2,3,2,0,8
2023,16467,"Maryland","A. KUBEK",14,"F",23,"2-9",22.2,"0-2",0.0,"4-5",80.0,5,0,2,0,1,8
2023,16467,"Maryland","B. MCDANIEL",24,"G",31,"6-11",54.5,"1-2",50.0,"2-2",100.0,9,3,3,3,1,15
2023,16467,"Maryland","R. NELSON",2,"G",16,"1-3",33.3,"0-0",0.0,"1-2",50.0,4,0,3,0,0,3
