assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Brinae Alexander,Faith Masonius,1,2,2.0,0,1,1,0,0
Summer Bostock,Hawa Doumbouya,1,2,2.0,0,1,1,0,0
Mary Sareen,Riley Nelson,1,2,2.0,0,1,1,0,0
Bri McDaniel,Emily Fisher,1,2,2.0,0,1,1,0,0
Hawa Doumbouya,Summer Bostock,1,2,2.0,0,1,1,0,0
Emma Chardon,Shyanne Sellers,1,2,2.0,0,1,0,1,0
Emily Fisher,Hawa Doumbouya,1,2,2.0,0,1,1,0,0
Hawa Doumbouya,Lavender Briggs,1,2,2.0,0,1,1,0,0
Faith Masonius,Summer Bostock,1,2,2.0,0,1,1,0,0
Bri McDaniel,Hawa Doumbouya,1,2,2.0,0,1,0,1,0
Riley Nelson,Allie Kubek,1,2,2.0,0,1,1,0,0
