assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Shyanne Sellers,Brinae Alexander,36,102,2.83,30,6,1,5,0
Shyanne Sellers,Jakia Brown-Turner,34,76,2.24,8,26,19,7,0
Shyanne Sellers,Allie Kubek,31,67,2.16,5,26,24,2,0
Shyanne Sellers,Bri McDaniel,27,62,2.3,8,19,13,6,0
Shyanne Sellers,Faith Masonius,22,46,2.09,2,20,14,6,0
Faith Masonius,Shyanne Sellers,17,38,2.24,4,13,2,11,0
Faith Masonius,Jakia Brown-Turner,17,37,2.18,3,14,10,4,0
Bri McDaniel,Jakia Brown-Turner,16,36,2.25,4,12,11,1,0
Shyanne Sellers,Lavender Briggs,15,36,2.4,6,9,5,4,0
Bri McDaniel,Brinae Alexander,15,40,2.67,10,5,3,2,0
Bri McDaniel,Allie Kubek,14,32,2.29,4,10,9,1,0
Bri McDaniel,Lavender Briggs,14,31,2.21,3,11,4,7,0
Jakia Brown-Turner,Brinae Alexander,14,41,2.93,13,1,1,0,0
Bri McDaniel,Faith Masonius,14,28,2.0,0,14,10,4,0
Brinae Alexander,Jakia Brown-Turner,14,33,2.36,5,9,7,2,0
Bri McDaniel,Shyanne Sellers,13,29,2.23,3,10,6,4,0
Faith Masonius,Brinae Alexander,13,37,2.85,11,2,1,1,0
Faith Masonius,Allie Kubek,12,27,2.25,3,9,7,2,0
Jakia Brown-Turner,Bri McDaniel,11,27,2.45,5,6,4,2,0
Brinae Alexander,Allie Kubek,11,23,2.09,1,10,9,1,0
Faith Masonius,Lavender Briggs,9,19,2.11,1,8,3,5,0
Jakia Brown-Turner,Allie Kubek,9,24,2.67,6,3,3,0,0
Jakia Brown-Turner,Shyanne Sellers,8,17,2.12,1,7,5,2,0
Faith Masonius,Bri McDaniel,7,17,2.43,3,4,1,3,0
Shyanne Sellers,Riley Nelson,7,15,2.14,1,6,4,2,0
Lavender Briggs,Jakia Brown-Turner,6,15,2.5,3,3,2,1,0
Jakia Brown-Turner,Faith Masonius,6,12,2.0,0,6,4,2,0
Lavender Briggs,Brinae Alexander,5,15,3.0,5,0,0,0,0
Lavender Briggs,Shyanne Sellers,5,14,2.8,4,1,1,0,0
Faith Masonius,Riley Nelson,5,10,2.0,0,5,3,2,0
Allie Kubek,Jakia Brown-Turner,5,11,2.2,1,4,3,1,0
Allie Kubek,Shyanne Sellers,5,12,2.4,2,3,1,2,0
Brinae Alexander,Bri McDaniel,5,13,2.6,3,2,2,0,0
Jakia Brown-Turner,Lavender Briggs,4,11,2.75,3,1,1,0,0
Emily Fisher,Shyanne Sellers,4,10,2.5,2,2,2,0,0
Emily Fisher,Brinae Alexander,4,10,2.5,2,2,1,1,0
Lavender Briggs,Bri McDaniel,4,12,3.0,4,0,0,0,0
Allie Kubek,Lavender Briggs,3,6,2.0,0,3,2,1,0
Allie Kubek,Bri McDaniel,3,7,2.33,1,2,2,0,0
Allie Kubek,Brinae Alexander,3,9,3.0,3,0,0,0,0
Shyanne Sellers,Emily Fisher,3,6,2.0,0,3,3,0,0
Emily Fisher,Allie Kubek,3,6,2.0,0,3,3,0,0
Hawa Doumbouya,Jakia Brown-Turner,3,6,2.0,0,3,1,2,0
Bri McDaniel,Riley Nelson,3,6,2.0,0,3,1,2,0
Lavender Briggs,Emily Fisher,2,4,2.0,0,2,1,1,0
Riley Nelson,Lavender Briggs,2,4,2.0,0,2,1,1,0
Riley Nelson,Bri McDaniel,2,4,2.0,0,2,1,1,0
Riley Nelson,Emily Fisher,2,4,2.0,0,2,2,0,0
Jakia Brown-Turner,Emily Fisher,2,4,2.0,0,2,2,0,0
Lavender Briggs,Riley Nelson,2,5,2.5,1,1,0,1,0
Jakia Brown-Turner,Riley Nelson,2,4,2.0,0,2,1,1,0
Brinae Alexander,Lavender Briggs,2,5,2.5,1,1,1,0,0
Riley Nelson,Hawa Doumbouya,2,4,2.0,0,2,1,1,0
Allie Kubek,Emily Fisher,2,4,2.0,0,2,1,1,0
Emily Fisher,Bri McDaniel,2,5,2.5,1,1,0,1,0
Summer Bostock,Riley Nelson,2,5,2.5,1,1,1,0,0
Brinae Alexander,Shyanne Sellers,2,5,2.5,1,1,0,1,0
Riley Nelson,Faith Masonius,2,4,2.0,0,2,0,2,0
Lavender Briggs,Faith Masonius,2,4,2.0,0,2,1,1,0
Faith Masonius,Emily Fisher,2,4,2.0,0,2,2,0,0
Emily Fisher,Lavender Briggs,1,2,2.0,0,1,1,0,0
Emma Chardon,Faith Masonius,1,2,2.0,0,1,1,0,0
Faith Masonius,Emma Chardon,1,2,2.0,0,1,1,0,0
Shyanne Sellers,Emma Chardon,1,2,2.0,0,1,1,0,0
Bri McDaniel,Emma Chardon,1,2,2.0,0,1,1,0,0
Lavender Briggs,Allie Kubek,1,2,2.0,0,1,1,0,0
Riley Nelson,Brinae Alexander,1,3,3.0,1,0,0,0,0
Hawa Doumbouya,Emily Fisher,1,2,2.0,0,1,1,0,0
Emily Fisher,Riley Nelson,1,2,2.0,0,1,0,1,0
Mary Sareen,Faith Masonius,1,2,2.0,0,1,0,1,0
Bri McDaniel,Summer Bostock,1,2,2.0,0,1,1,0,0
Riley Nelson,Shyanne Sellers,1,3,3.0,1,0,0,0,0
