"source_id","period","time_bucket","total_subs","games","avg_subs_per_game","most_common_out","times_out","most_common_in","times_in"
"2023-24",1,"0-2min",15,12,1.25,"Shyanne Sellers",5,"Bri McDaniel",3
"2023-24",1,"1-3min",26,21,1.24,"Shyanne Sellers",6,"Brinae Alexander",5
"2023-24",1,"2-4min",24,19,1.26,"Bri McDaniel",5,"Bri McDaniel",5
"2023-24",1,"3-5min",36,21,1.71,"Bri McDaniel",7,"Jakia Brown-Turner",9
"2023-24",1,"4-6min",22,15,1.47,"Brinae Alexander",5,"Brinae Alexander",5
"2023-24",1,"5-7min",36,18,2.0,"Jakia Brown-Turner",7,"Emily Fisher",8
"2023-24",1,"6-8min",36,22,1.64,"Brinae Alexander",9,"Faith Masonius",7
"2023-24",1,"7-9min",14,11,1.27,"Brinae Alexander",5,"Faith Masonius",4
"2023-24",1,"8-10min",4,3,1.33,"Jakia Brown-Turner",2,"Allie Kubek",2
"2023-24",2,"0-2min",17,11,1.55,"Allie Kubek",4,"Faith Masonius",3
"2023-24",2,"1-3min",15,10,1.5,"Allie Kubek",3,"Riley Nelson",4
"2023-24",2,"10-12min",46,27,1.7,"Emily Fisher",9,"Bri McDaniel",13
"2023-24",2,"2-4min",23,15,1.53,"Faith Masonius",5,"Faith Masonius",6
"2023-24",2,"3-5min",30,20,1.5,"Bri McDaniel",5,"Allie Kubek",6
"2023-24",2,"4-6min",32,18,1.78,"Allie Kubek",7,"Jakia Brown-Turner",7
"2023-24",2,"5-7min",25,17,1.47,"Faith Masonius",6,"Emily Fisher",5
"2023-24",2,"6-8min",24,16,1.5,"Allie Kubek",4,"Allie Kubek",5
"2023-24",2,"7-9min",26,19,1.37,"Allie Kubek",6,"Faith Masonius",7
"2023-24",2,"8-10min",16,15,1.07,"Bri McDaniel",4,"Lavender Briggs",5
"2023-24",2,"9-11min",4,4,1.0,"Brinae Alexander",2,"Faith Masonius",2
"2023-24",3,"0-2min",13,12,1.08,"Brinae Alexander",3,"Faith Masonius",3
"2023-24",3,"1-3min",27,21,1.29,"Shyanne Sellers",7,"Riley Nelson",5
"2023-24",3,"10-12min",58,29,2.0,"Emily Fisher",15,"Brinae Alexander",14
"2023-24",3,"2-4min",27,21,1.29,"Jakia Brown-Turner",6,"Bri McDaniel",6
"2023-24",3,"3-5min",19,13,1.46,"Bri McDaniel",4,"Bri McDaniel",3
"2023-24",3,"4-6min",34,19,1.79,"Bri McDaniel",6,"Brinae Alexander",6
"2023-24",3,"5-7min",32,19,1.68,"Brinae Alexander",9,"Emily Fisher",8
"2023-24",3,"6-8min",17,14,1.21,"Jakia Brown-Turner",5,"Bri McDaniel",5
"2023-24",3,"7-9min",18,16,1.12,"Bri McDaniel",5,"Allie Kubek",5
"2023-24",3,"8-10min",8,8,1.0,"Jakia Brown-Turner",2,"Lavender Briggs",4
"2023-24",3,"9-11min",2,2,1.0,"Brinae Alexander",1,"Riley Nelson",1
"2023-24",4,"0-2min",29,13,2.23,"Brinae Alexander",6,"Emily Fisher",6
"2023-24",4,"1-3min",26,16,1.62,"Emily Fisher",5,"Mary Sareen",5
"2023-24",4,"10-12min",41,27,1.52,"Emily Fisher",11,"Shyanne Sellers",8
"2023-24",4,"2-4min",18,16,1.12,"Brinae Alexander",4,"Bri McDaniel",3
"2023-24",4,"3-5min",22,14,1.57,"Allie Kubek",5,"Bri McDaniel",4
"2023-24",4,"4-6min",20,15,1.33,"Allie Kubek",4,"Faith Masonius",5
"2023-24",4,"5-7min",15,12,1.25,"Bri McDaniel",5,"Allie Kubek",4
"2023-24",4,"6-8min",22,16,1.38,"Faith Masonius",7,"Emily Fisher",4
"2023-24",4,"7-9min",27,18,1.5,"Brinae Alexander",6,"Faith Masonius",8
"2023-24",4,"8-10min",12,10,1.2,"Faith Masonius",4,"Allie Kubek",4
"2023-24",4,"9-11min",4,4,1.0,"Riley Nelson",1,"Emily Fisher",2
"2023-24",5,"3-5min",1,1,1.0,"Shyanne Sellers",1,"Emily Fisher",1
"2023-24",5,"5-7min",1,1,1.0,"Emily Fisher",1,"Shyanne Sellers",1
