"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2023-24","Shyanne Sellers",32,1031.6,293.4,2001,1842,6.2,570,576,-0.8,7.0,159
"2023-24","Jakia Brown-Turner",32,984.0,341.0,1907,1772,5.5,664,646,2.1,3.4,135
"2023-24","Brinae Alexander",33,853.5,471.5,1652,1548,4.9,919,870,4.2,0.7,104
"2023-24","Bri McDaniel",33,853.1,471.9,1679,1530,7.0,892,888,0.3,6.6,149
"2023-24","Faith Masonius",33,795.5,529.5,1572,1432,7.0,999,986,1.0,6.1,140
"2023-24","Allie Kubek",33,728.4,596.6,1344,1358,-0.8,1227,1060,11.2,-12.0,-14
"2023-24","Lavender Briggs",21,572.6,752.4,1101,1130,-2.0,1470,1288,9.7,-11.7,-29
"2023-24","Emily Fisher",33,417.3,907.7,792,790,0.2,1779,1628,6.7,-6.5,2
"2023-24","Riley Nelson",16,225.2,1099.8,465,408,10.1,2106,2010,3.5,6.6,57
"2023-24","Emma Chardon",8,54.1,1270.9,106,118,-8.9,2465,2300,5.2,-14.1,-12
"2023-24","Summer Bostock",10,46.5,1278.5,98,75,19.8,2473,2343,4.1,15.7,23
"2023-24","Hawa Doumbouya",13,45.7,1279.3,101,71,26.3,2470,2347,3.8,22.4,30
"2023-24","Mary Sareen",7,12.6,1312.4,25,19,19.0,2546,2399,4.5,14.5,6
"2023-24","Zen Nuako",7,10.1,1314.9,22,11,43.6,2549,2407,4.3,39.3,11
