"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2023,16460,"Maryland",83,"29-71","40.8%","3-14","21.4%","22-26","84.6%",41,15,11,0,13,18
2023,16460,"Syracuse",81,"29-66","43.9%","8-28","28.6%","15-19","78.9%",39,13,7,5,18,22
2023,16548,"Maryland",85,"31-67","46.3%","8-25","32.0%","15-20","75.0%",32,18,8,2,10,14
2023,16548,"Iowa",93,"36-78","46.2%","12-33","36.4%","9-10","90.0%",48,25,4,2,14,15
2023,16544,"Maryland",90,"35-66","53.0%","8-13","61.5%","12-13","92.3%",34,23,4,1,13,15
2023,16544,"Illinois",82,"30-61","49.2%","6-17","35.3%","16-16","100.0%",27,16,7,2,14,15
2023,16552,"Maryland",81,"30-66","45.5%","7-21","33.3%","14-21","66.7%",44,18,3,3,13,19
2023,16552,"Rutgers",62,"23-64","35.9%","2-17","11.8%","14-18","77.8%",38,14,5,3,15,21
2023,16553,"Ohio St.",79,"28-56","50.0%","9-26","34.6%","14-16","87.5%",32,16,10,3,9,14
2023,16553,"Maryland",66,"24-58","41.4%","6-13","46.2%","12-16","75.0%",34,14,4,0,15,18
2023,16457,"Maryland",98,"37-67","55.2%","9-19","47.4%","15-20","75.0%",47,23,10,4,18,16
2023,16457,"Harvard",75,"30-87","34.5%","8-36","22.2%","7-7","100.0%",40,12,10,3,14,19
2023,16545,"Michigan",79,"28-65","43.1%","10-22","45.5%","13-19","68.4%",36,16,5,0,21,21
2023,16545,"Maryland",77,"29-56","51.8%","7-16","43.8%","12-17","70.6%",29,16,10,4,21,25
2023,16549,"Rutgers",59,"22-53","41.5%","5-15","33.3%","10-18","55.6%",37,14,9,5,22,23
2023,16549,"Maryland",67,"22-68","32.4%","4-13","30.8%","19-28","67.9%",48,13,12,1,16,19
2023,16461,"Washington St.",87,"36-59","61.0%","9-19","47.4%","6-8","75.0%",38,29,7,8,17,17
2023,16461,"Maryland",67,"23-76","30.3%","5-16","31.3%","16-22","72.7%",41,12,8,2,11,12
2023,16539,"Nebraska",87,"27-69","39.1%","10-32","31.3%","23-26","88.5%",48,22,7,3,16,17
2023,16539,"Maryland",81,"32-64","50.0%","7-23","30.4%","10-16","62.5%",30,18,6,6,14,26
2023,16542,"Michigan St.",74,"24-57","42.1%","7-26","26.9%","19-24","79.2%",32,17,1,3,11,21
2023,16542,"Maryland",69,"22-55","40.0%","3-13","23.1%","22-23","95.7%",32,8,7,3,15,23
2023,16554,"Maryland",79,"25-56","44.6%","7-15","46.7%","22-27","81.5%",33,17,9,2,15,14
2023,16554,"Wisconsin",63,"24-56","42.9%","5-20","25.0%","10-11","90.9%",32,14,8,3,20,22
2023,16466,"Maryland",99,"38-66","57.6%","6-16","37.5%","17-20","85.0%",53,24,6,6,14,12
2023,16466,"Towson",51,"17-66","25.8%","5-25","20.0%","12-13","92.3%",26,8,4,0,14,20
2023,16467,"Maryland",78,"27-67","40.3%","5-14","35.7%","19-24","79.2%",44,14,8,5,13,18
2023,16467,"James Madison",55,"20-74","27.0%","8-31","25.8%","7-12","58.3%",50,13,8,3,21,21
2023,16555,"Indiana",71,"23-52","44.2%","8-24","33.3%","17-20","85.0%",39,14,6,5,14,18
2023,16555,"Maryland",54,"19-67","28.4%","3-16","18.8%","13-19","68.4%",42,10,5,1,13,18
2023,16543,"Maryland",76,"28-67","41.8%","4-15","26.7%","16-19","84.2%",39,15,9,0,15,23
2023,16543,"Ohio St.",84,"30-65","46.2%","4-26","15.4%","20-30","66.7%",42,17,5,5,16,18
2023,16538,"Maryland",71,"26-66","39.4%","3-11","27.3%","16-23","69.6%",44,18,10,3,11,10
2023,16538,"Northwestern",58,"23-64","35.9%","5-18","27.8%","7-7","100.0%",35,15,4,4,19,22
2023,16556,"Maryland",75,"27-64","42.2%","6-12","50.0%","15-24","62.5%",43,14,6,5,15,15
2023,16556,"Illinois",65,"27-67","40.3%","3-15","20.0%","8-10","80.0%",38,14,4,2,16,22
2023,16540,"Minnesota",64,"24-65","36.9%","7-28","25.0%","9-11","81.8%",46,16,8,3,20,13
2023,16540,"Maryland",72,"28-62","45.2%","8-18","44.4%","8-10","80.0%",30,22,9,1,11,11
2023,16464,"Maryland",114,"45-67","67.2%","10-17","58.8%","14-18","77.8%",45,30,16,4,17,8
2023,16464,"Niagara",44,"19-70","27.1%","4-24","16.7%","2-6","33.3%",30,8,10,0,27,18
