"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2023-24","Allie Kubek",45,23,51.1,32,13,40.6,205,109,53.2
"2023-24","Bri McDaniel",52,23,44.2,97,32,33.0,334,140,41.9
"2023-24","Brinae Alexander",37,18,48.6,65,29,44.6,268,105,39.2
"2023-24","Emily Fisher",1,0,0.0,4,4,100.0,67,28,41.8
"2023-24","Faith Masonius",28,15,53.6,29,17,58.6,184,91,49.5
"2023-24","Jakia Brown-Turner",61,32,52.5,103,43,41.7,379,167,44.1
"2023-24","Lavender Briggs",24,10,41.7,49,25,51.0,189,77,40.7
"2023-24","Riley Nelson",11,6,54.5,15,4,26.7,70,31,44.3
"2023-24","Shyanne Sellers",54,20,37.0,94,41,43.6,369,160,43.4
"2023-24","TEAM",318,152,47.8,489,208,42.5,2108,929,44.1
