"source_id","period","total_subs","games","avg_subs_per_game","most_common_out","times_out","most_common_in","times_in"
"2023-24",2,47,27,1.74,"Emily Fisher",9,"Bri McDaniel",13
"2023-24",3,59,29,2.03,"Emily Fisher",15,"Brinae Alexander",14
"2023-24",4,42,27,1.56,"Emily Fisher",11,"Shyanne Sellers",8
