"source_id","file_id","team","opponent","points","start_seconds","end_seconds","duration","period_start","period_end","score_before","score_after"
"2023-24","16457","Maryland","Harvard",8,235,288,53,1,1,"5-4","13-4"
"2023-24","16457","Maryland","Harvard",7,357,415,58,1,1,"15-8","22-8"
"2023-24","16457","Maryland","Harvard",9,479,598,119,1,1,"22-11","31-11"
"2023-24","16457","Maryland","Harvard",6,1342,1426,84,3,3,"57-39","63-39"
"2023-24","16457","Harvard","Maryland",7,1446,1493,47,3,3,"63-39","63-46"
"2023-24","16457","Maryland","Harvard",8,1539,1700,161,3,3,"65-48","73-48"
"2023-24","16457","Harvard","Maryland",6,1716,1828,112,3,4,"73-48","73-54"
"2023-24","16457","Harvard","Maryland",7,1983,2031,48,4,4,"82-60","82-67"
"2023-24","16457","Maryland","Harvard",7,2048,2192,144,4,4,"82-67","89-67"
"2023-24","16457","Maryland","Harvard",7,2244,2309,65,4,4,"89-69","96-69"
"2023-24","16458","South Carolina","Maryland",6,1043,1056,13,2,2,"31-32","37-32"
"2023-24","16458","South Carolina","Maryland",9,1142,1198,56,2,2,"39-36","48-36"
"2023-24","16458","South Carolina","Maryland",9,1342,1474,132,3,3,"54-44","63-44"
"2023-24","16458","South Carolina","Maryland",12,1869,2004,135,4,4,"79-63","91-63"
"2023-24","16458","South Carolina","Maryland",6,2154,2183,29,4,4,"98-69","104-69"
"2023-24","16458","South Carolina","Maryland",6,2259,2302,43,4,4,"105-73","111-73"
"2023-24","16459","UConn","Maryland",7,15,120,105,1,1,"0-0","7-0"
"2023-24","16459","Maryland","UConn",6,597,610,13,1,2,"14-8","14-14"
"2023-24","16459","UConn","Maryland",12,926,1037,111,2,2,"22-25","34-25"
"2023-24","16459","UConn","Maryland",8,1097,1197,100,2,2,"34-27","42-27"
"2023-24","16459","UConn","Maryland",8,1363,1441,78,3,3,"44-31","52-31"
"2023-24","16459","UConn","Maryland",10,2213,2352,139,4,4,"70-45","80-45"
"2023-24","16460","Maryland","Syracuse",6,274,361,87,1,1,"7-11","13-11"
"2023-24","16460","Maryland","Syracuse",7,550,636,86,1,2,"19-18","26-18"
"2023-24","16460","Syracuse","Maryland",9,697,935,238,2,2,"26-18","26-27"
"2023-24","16460","Syracuse","Maryland",7,1070,1156,86,2,2,"30-29","30-36"
"2023-24","16460","Syracuse","Maryland",8,1578,1658,80,3,3,"53-52","53-60"
"2023-24","16460","Maryland","Syracuse",8,1685,1745,60,3,3,"53-60","61-60"
"2023-24","16460","Maryland","Syracuse",8,1895,2025,130,4,4,"63-64","71-64"
"2023-24","16461","Maryland","Washington St.",6,23,116,93,1,1,"0-0","0-6"
"2023-24","16461","Maryland","Washington St.",6,187,208,21,1,1,"4-6","4-12"
"2023-24","16461","Maryland","Washington St.",7,234,301,67,1,1,"6-12","6-19"
"2023-24","16461","Washington St.","Maryland",14,687,955,268,2,2,"20-33","34-33"
"2023-24","16461","Washington St.","Maryland",9,1397,1522,125,3,3,"45-43","54-43"
"2023-24","16461","Washington St.","Maryland",8,1649,1731,82,3,3,"59-49","67-49"
"2023-24","16461","Washington St.","Maryland",7,1832,1939,107,4,4,"67-54","74-54"
"2023-24","16462","Green Bay","Maryland",6,758,842,84,2,2,"17-19","17-25"
"2023-24","16462","Maryland","Green Bay",6,1021,1155,134,2,2,"23-30","29-30"
"2023-24","16462","Maryland","Green Bay",8,1710,1832,122,3,4,"41-44","49-44"
"2023-24","16463","Maryland","Massachusetts",6,524,596,72,1,1,"17-12","23-12"
"2023-24","16463","Maryland","Massachusetts",9,688,754,66,2,2,"23-15","32-15"
"2023-24","16463","Maryland","Massachusetts",6,801,828,27,2,2,"32-17","38-17"
