assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Shyanne Sellers,176,9,18,158,1405,7.98
Bri McDaniel,93,11,6,87,761,8.18
Faith Masonius,84,10,6,78,637,7.58
Jakia Brown-Turner,56,8,7,49,423,7.55
Brinae Alexander,35,6,3,32,271,7.74
Lavender Briggs,27,8,7,20,154,5.7
Allie Kubek,21,6,1,20,164,7.81
Emily Fisher,16,7,0,16,111,6.94
Riley Nelson,13,8,1,12,77,5.92
Hawa Doumbouya,6,4,0,6,29,4.83
Summer Bostock,3,2,0,3,19,6.33
Emma Chardon,2,2,0,2,19,9.5
Mary Sareen,2,2,0,2,23,11.5
