team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,37,34,3,91.8918918918919,2908,78.5945945945946,2260,78.5945945945946,61.08108108108108,17.513513513513516,1079,2292,47.07678883071553,195,566,34.45229681978799,555,732,75.81967213114754,51.330715532286206,55.62186314114334,0.3193717277486911,1561,42.189189189189186,609,16.45945945945946,1.0797872340425532,306,8.27027027027027,122,3.2972972972972974,564,15.243243243243244,554,14.972972972972974
Washington State,1,1,0,100.0,70,70.0,64,70.0,64.0,6.0,23,49,46.93877551020408,4,14,28.57142857142857,20,28,71.42857142857143,51.02040816326531,57.077625570776256,0.5714285714285714,27,27.0,11,11.0,0.6470588235294118,11,11.0,3,3.0,17,17.0,22,22.0
Notre Dame,1,1,0,100.0,92,92.0,72,92.0,72.0,20.0,29,50,57.99999999999999,6,16,37.5,28,34,82.35294117647058,64.0,70.81280788177338,0.68,34,34.0,19,19.0,1.1176470588235294,9,9.0,3,3.0,17,17.0,17,17.0
UConn,1,1,0,100.0,81,81.0,58,81.0,58.0,23.0,29,54,53.70370370370371,8,22,36.36363636363637,15,18,83.33333333333334,61.111111111111114,65.40697674418604,0.3333333333333333,35,35.0,17,17.0,1.8888888888888888,5,5.0,7,7.0,9,9.0,13,13.0
Michigan State,3,0,3,0.0,185,61.666666666666664,230,61.666666666666664,76.66666666666667,-15.000000000000007,63,181,34.806629834254146,16,70,22.857142857142858,43,64,67.1875,39.226519337016576,44.22451711608338,0.35359116022099446,104,34.666666666666664,35,11.666666666666666,0.7954545454545454,15,5.0,6,2.0,44,14.666666666666666,54,18.0
Illinois,1,0,1,0.0,54,54.0,74,54.0,74.0,-20.0,22,57,38.59649122807017,6,24,25.0,4,7,57.14285714285714,43.859649122807014,44.940079893475364,0.12280701754385964,28,28.0,12,12.0,0.4444444444444444,13,13.0,9,9.0,27,27.0,20,20.0
Princeton,1,0,1,0.0,70,70.0,85,70.0,85.0,-15.0,29,63,46.03174603174603,4,17,23.52941176470588,8,10,80.0,49.2063492063492,51.92878338278931,0.15873015873015872,29,29.0,11,11.0,1.2222222222222223,9,9.0,2,2.0,9,9.0,13,13.0
Nebraska,2,0,2,0.0,94,47.0,134,47.0,67.0,-20.0,38,126,30.158730158730158,9,40,22.5,9,9,100.0,33.730158730158735,36.16497383810403,0.07142857142857142,67,33.5,19,9.5,0.6551724137931034,11,5.5,3,1.5,29,14.5,24,12.0
Duke,1,0,1,0.0,55,55.0,65,55.0,65.0,-10.0,21,50,42.0,3,9,33.33333333333333,10,10,100.0,45.0,50.55147058823529,0.2,24,24.0,8,8.0,0.5714285714285714,8,8.0,1,1.0,14,14.0,15,15.0
Ohio State,2,0,2,0.0,152,76.0,164,76.0,82.0,-6.0,57,137,41.605839416058394,17,46,36.95652173913043,21,30,70.0,47.81021897810219,50.59920106524635,0.21897810218978103,65,32.5,28,14.0,1.4736842105263157,13,6.5,12,6.0,19,9.5,31,15.5
Rutgers,2,0,2,0.0,128,64.0,151,64.0,75.5,-11.5,50,120,41.66666666666667,2,8,25.0,26,32,81.25,42.5,47.7326968973747,0.26666666666666666,72,36.0,27,13.5,0.7105263157894737,13,6.5,13,6.5,38,19.0,36,18.0
Northwestern,2,0,2,0.0,111,55.5,143,55.5,71.5,-16.0,44,119,36.97478991596639,8,31,25.806451612903224,15,22,68.18181818181817,40.33613445378151,43.13024557040721,0.18487394957983194,70,35.0,31,15.5,1.1481481481481481,10,5.0,9,4.5,27,13.5,38,19.0
South Florida,1,0,1,0.0,67,67.0,85,67.0,85.0,-18.0,25,64,39.0625,6,18,33.33333333333333,11,16,68.75,43.75,47.15653153153153,0.25,33,33.0,8,8.0,0.6153846153846154,3,3.0,1,1.0,13,13.0,21,21.0
Indiana,2,0,2,0.0,146,73.0,167,73.0,83.5,-10.5,50,121,41.32231404958678,11,47,23.404255319148938,35,43,81.3953488372093,45.867768595041326,52.17267009719839,0.35537190082644626,64,32.0,23,11.5,0.7931034482758621,12,6.0,6,3.0,29,14.5,45,22.5
Wagner,1,0,1,0.0,24,24.0,97,24.0,97.0,-73.0,10,51,19.607843137254903,2,13,15.384615384615385,2,6,33.33333333333333,21.568627450980394,22.371364653243848,0.11764705882352941,31,31.0,3,3.0,0.09090909090909091,5,5.0,2,2.0,33,33.0,14,14.0
James Madison,1,0,1,0.0,64,64.0,80,64.0,80.0,-16.0,24,64,37.5,7,19,36.84210526315789,9,11,81.81818181818183,42.96875,46.48460197559558,0.171875,28,28.0,14,14.0,0.7777777777777778,5,5.0,3,3.0,18,18.0,21,21.0
