"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2014-15","A'Lexus Harrison",8,5,62.5,6,1,16.7,61,31,50.8
"2014-15","Brene Moseley",13,6,46.2,34,18,52.9,161,67,41.6
"2014-15","Brionna Jones",81,48,59.3,44,24,54.5,306,184,60.1
"2014-15","Chloe Pavlech",2,1,50.0,3,2,66.7,36,13,36.1
"2014-15","Kiara Leslie",12,5,41.7,20,8,40.0,123,50,40.7
"2014-15","Kristen Confroy",13,3,23.1,24,7,29.2,129,49,38.0
"2014-15","Laurin Mincy",55,26,47.3,85,41,48.2,357,158,44.3
"2014-15","Lexie Brown",46,16,34.8,97,40,41.2,384,159,41.4
"2014-15","Malina Howard",26,12,46.2,25,14,56.0,184,86,46.7
"2014-15","S. Walker-Kimbrough",89,49,55.1,77,40,51.9,382,196,51.3
"2014-15","Tierney Pfirman",28,18,64.3,22,12,54.5,153,79,51.6
"2014-15","TEAM",375,190,50.7,438,207,47.3,2292,1079,47.1
