assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Lexie Brown,163,9,32,131,358,2.2
Laurin Mincy,125,10,40,85,290,2.32
S. Walker-Kimbrough,79,10,22,57,180,2.28
Brene Moseley,52,11,13,39,117,2.25
Malina Howard,44,9,14,30,102,2.32
Kristen Confroy,42,10,15,27,99,2.36
Brionna Jones,27,7,9,18,63,2.33
Tierney Pfirman,23,9,6,17,52,2.26
Chloe Pavlech,20,9,4,16,44,2.2
Kiara Leslie,18,9,7,11,43,2.39
A'Lexus Harrison,15,7,2,13,32,2.13
Aja Ellison,1,1,0,1,2,2.0
