"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2014-15","Lexie Brown",36,1143.7,336.3,2223,1839,13.4,685,421,31.4,-18.0,384
"2014-15","Laurin Mincy",37,1116.2,363.8,2234,1731,18.0,674,529,15.9,2.1,503
"2014-15","S. Walker-Kimbrough",37,1084.9,395.1,2131,1649,17.8,777,611,16.8,1.0,482
"2014-15","Brionna Jones",37,904.5,575.5,1809,1334,21.0,1099,926,12.0,9.0,475
"2014-15","Malina Howard",37,862.5,617.5,1671,1283,18.0,1237,977,16.8,1.2,388
"2014-15","Tierney Pfirman",35,486.5,993.5,990,781,17.2,1918,1479,17.7,-0.5,209
"2014-15","Kristen Confroy",36,468.2,1011.8,900,681,18.7,2008,1579,17.0,1.7,219
"2014-15","Brene Moseley",36,413.4,1066.5,852,619,22.5,2056,1641,15.6,7.0,233
"2014-15","Kiara Leslie",35,362.8,1117.2,678,561,12.9,2230,1699,19.0,-6.1,117
"2014-15","A'Lexus Harrison",36,331.6,1148.4,638,518,14.5,2270,1742,18.4,-3.9,120
"2014-15","Chloe Pavlech",22,184.4,1295.6,352,262,19.5,2556,1998,17.2,2.3,90
"2014-15","Aja Ellison",18,83.8,1396.2,137,99,18.1,2771,2161,17.5,0.7,38
