scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Brionna Jones,119,10,0,119,238,2.0
S. Walker-Kimbrough,102,10,15,87,219,2.15
Lexie Brown,90,9,60,30,240,2.67
Laurin Mincy,68,9,37,31,173,2.54
Tierney Pfirman,61,10,0,61,122,2.0
Malina Howard,54,9,1,53,109,2.02
Kristen Confroy,29,7,21,8,79,2.72
Brene Moseley,27,10,19,8,73,2.7
Kiara Leslie,25,9,3,22,53,2.12
A'Lexus Harrison,20,9,0,20,40,2.0
Chloe Pavlech,9,5,8,1,26,2.89
Aja Ellison,5,4,0,5,10,2.0
