"source_id","file_id","team","lineup","num_players","start_seconds","end_seconds","duration","pts_for","pts_against","plus_minus"
"2014-15","9555","Maryland","Brionna Jones|Laurin Mincy|Lexie Brown|Malina Howard|S. Walker-Kimbrough",5,0,110,110,5,0,5
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jody CHICKEY|Kaitlyn EISENHARD|Kayla BATES",5,0,147,147,0,9,-9
"2014-15","9555","Maryland","Brionna Jones|Kristen Confroy|Laurin Mincy|Lexie Brown|Malina Howard",5,110,286,176,9,5,4
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jody CHICKEY|Kayla BATES|S. ARTHUR-WILLIAMS",5,147,338,191,5,9,-4
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|Jody CHICKEY|S. ARTHUR-WILLIAMS",5,338,352,14,0,0,0
"2014-15","9555","Maryland","Kiara Leslie|Kristen Confroy|Laurin Mincy|Lexie Brown|Tierney Pfirman",5,286,384,98,4,2,2
"2014-15","9555","Maryland","Kristen Confroy|Laurin Mincy|Lexie Brown|Malina Howard|Tierney Pfirman",5,384,440,56,4,0,4
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|K. BELANGER-FINN|S. ARTHUR-WILLIAMS",5,352,497,145,4,9,-5
"2014-15","9555","Maryland","Brene Moseley|Kristen Confroy|Laurin Mincy|Malina Howard|Tierney Pfirman",5,440,497,57,5,2,3
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|K. BELANGER-FINN|Kaitlyn EISENHARD",5,497,599,102,3,4,-1
"2014-15","9555","Maryland","Brene Moseley|Brionna Jones|Laurin Mincy|Malina Howard|S. Walker-Kimbrough",5,497,637,140,5,3,2
"2014-15","9555","Maryland","Brene Moseley|Lexie Brown|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",5,637,696,59,3,2,1
"2014-15","9555","Maryland","Brene Moseley|Kiara Leslie|Lexie Brown|Malina Howard|Tierney Pfirman",5,696,698,2,0,1,-1
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|Jody CHICKEY|Kaitlyn EISENHARD",5,599,713,114,3,4,-1
"2014-15","9555","Maryland","Aja Ellison|Brene Moseley|Kiara Leslie|Lexie Brown|Malina Howard",5,698,750,52,0,0,0
"2014-15","9555","Mount St. Mary's","Jenn CARNEY|Jessica HARRIS|Jody CHICKEY|Kaitlyn EISENHARD|Katrice DICKSON",5,713,770,57,0,0,0
"2014-15","9555","Mount St. Mary's","Caroline HUMMELL|Jenn CARNEY|Jessica HARRIS|Jody CHICKEY|Katrice DICKSON",5,770,771,1,0,0,0
"2014-15","9555","Maryland","Aja Ellison|Kiara Leslie|Kristen Confroy|Lexie Brown|Malina Howard",5,750,774,24,0,0,0
"2014-15","9555","Maryland","Brionna Jones|Kiara Leslie|Kristen Confroy|Lexie Brown|Malina Howard",5,774,784,10,0,2,-2
"2014-15","9555","Mount St. Mary's","Caroline HUMMELL|Jacqueline BREWER|Jenn CARNEY|Jody CHICKEY|Katrice DICKSON",5,771,860,89,2,6,-4
"2014-15","9555","Maryland","Brionna Jones|Chloe Pavlech|Kiara Leslie|Kristen Confroy|Malina Howard",5,784,906,122,8,0,8
"2014-15","9555","Mount St. Mary's","Caroline HUMMELL|Jacqueline BREWER|Jody CHICKEY|Katrice DICKSON|Kayla BATES",5,860,1105,245,4,12,-8
"2014-15","9555","Maryland","Kiara Leslie|Kristen Confroy|Laurin Mincy|Malina Howard|Tierney Pfirman",5,906,1105,199,10,4,6
"2014-15","9555","Maryland","Aja Ellison|Brene Moseley|Brionna Jones|Laurin Mincy|Lexie Brown",5,1105,1200,95,4,4,0
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|K. BELANGER-FINN|Katrice DICKSON|Stacey KOUTRIS",5,1105,1200,95,4,4,0
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jody CHICKEY|Kaitlyn EISENHARD|Kayla BATES",5,1200,1345,145,2,2,0
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|Jody CHICKEY|Kaitlyn EISENHARD",5,1345,1354,9,0,2,-2
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|Jody CHICKEY|S. ARTHUR-WILLIAMS",5,1354,1401,47,2,4,-2
"2014-15","9555","Maryland","Brionna Jones|Laurin Mincy|Lexie Brown|Malina Howard|S. Walker-Kimbrough",5,1200,1440,240,10,4,6
"2014-15","9555","Maryland","Laurin Mincy|Lexie Brown|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",5,1440,1530,90,4,0,4
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|K. BELANGER-FINN|S. ARTHUR-WILLIAMS",5,1401,1582,181,0,12,-12
"2014-15","9555","Maryland","Kiara Leslie|Kristen Confroy|Lexie Brown|S. Walker-Kimbrough|Tierney Pfirman",5,1530,1613,83,7,3,4
"2014-15","9555","Mount St. Mary's","Jacqueline BREWER|Jenn CARNEY|Jessica HARRIS|Kayla BATES|S. ARTHUR-WILLIAMS",5,1582,1626,44,3,1,2
"2014-15","9555","Mount St. Mary's","Caroline HUMMELL|Jacqueline BREWER|Jenn CARNEY|Katrice DICKSON|S. ARTHUR-WILLIAMS",5,1626,1742,116,4,6,-2
"2014-15","9555","Maryland","Brene Moseley|Chloe Pavlech|Kiara Leslie|Kristen Confroy|Tierney Pfirman",5,1613,1742,129,6,4,2
"2014-15","9555","Mount St. Mary's","Caroline HUMMELL|Jacqueline BREWER|Katrice DICKSON|S. ARTHUR-WILLIAMS",4,1742,1835,93,1,4,-3
"2014-15","9555","Mount St. Mary's","Caroline HUMMELL|Jacqueline BREWER|Jody CHICKEY|Katrice DICKSON|S. ARTHUR-WILLIAMS",5,1835,1918,83,2,0,2
"2014-15","9555","Maryland","Aja Ellison|Brene Moseley|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough",5,1742,1918,176,4,3,1
