assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Lexie Brown,Brionna Jones,43,86,2.0,0,43,34,9,0
Laurin Mincy,Lexie Brown,38,103,2.71,27,11,7,4,0
Lexie Brown,S. Walker-Kimbrough,36,79,2.19,7,29,15,14,0
Lexie Brown,Laurin Mincy,31,77,2.48,15,16,11,5,0
Laurin Mincy,Brionna Jones,29,58,2.0,0,29,21,8,0
S. Walker-Kimbrough,Brionna Jones,18,36,2.0,0,18,15,3,0
Laurin Mincy,S. Walker-Kimbrough,17,37,2.18,3,14,3,11,0
S. Walker-Kimbrough,Lexie Brown,15,38,2.53,8,7,5,2,0
Lexie Brown,Tierney Pfirman,14,28,2.0,0,14,2,12,0
Lexie Brown,Malina Howard,14,29,2.07,1,13,8,5,0
Malina Howard,Lexie Brown,14,37,2.64,9,5,3,2,0
Laurin Mincy,Malina Howard,14,28,2.0,0,14,5,9,0
Laurin Mincy,Tierney Pfirman,12,24,2.0,0,12,2,10,0
S. Walker-Kimbrough,Tierney Pfirman,12,24,2.0,0,12,3,9,0
Malina Howard,Brionna Jones,10,20,2.0,0,10,6,4,0
S. Walker-Kimbrough,Malina Howard,10,20,2.0,0,10,6,4,0
Lexie Brown,Kristen Confroy,8,20,2.5,4,4,3,1,0
Kristen Confroy,Lexie Brown,8,23,2.88,7,1,1,0,0
Brene Moseley,Tierney Pfirman,8,16,2.0,0,8,3,5,0
Brionna Jones,S. Walker-Kimbrough,8,17,2.12,1,7,2,5,0
Kristen Confroy,S. Walker-Kimbrough,8,18,2.25,2,6,3,3,0
S. Walker-Kimbrough,Laurin Mincy,8,20,2.5,4,4,3,1,0
Malina Howard,S. Walker-Kimbrough,7,14,2.0,0,7,2,5,0
Brene Moseley,Kiara Leslie,6,14,2.33,2,4,2,2,0
Kristen Confroy,Kiara Leslie,6,12,2.0,0,6,5,1,0
Laurin Mincy,Kristen Confroy,6,18,3.0,6,0,0,0,0
A'Lexus Harrison,S. Walker-Kimbrough,6,12,2.0,0,6,3,3,0
Lexie Brown,Brene Moseley,6,16,2.67,4,2,2,0,0
Tierney Pfirman,Laurin Mincy,6,16,2.67,4,2,2,0,0
Brene Moseley,S. Walker-Kimbrough,6,14,2.33,2,4,1,3,0
Brene Moseley,Laurin Mincy,6,15,2.5,3,3,1,2,0
Lexie Brown,Kiara Leslie,6,13,2.17,1,5,2,3,0
Brene Moseley,Lexie Brown,6,16,2.67,4,2,2,0,0
Brionna Jones,Malina Howard,6,12,2.0,0,6,4,2,0
Malina Howard,Laurin Mincy,5,13,2.6,3,2,1,1,0
S. Walker-Kimbrough,Kristen Confroy,5,13,2.6,3,2,0,2,0
Brene Moseley,A'Lexus Harrison,5,10,2.0,0,5,0,5,0
Laurin Mincy,Brene Moseley,5,14,2.8,4,1,1,0,0
Tierney Pfirman,S. Walker-Kimbrough,5,10,2.0,0,5,1,4,0
Brene Moseley,Brionna Jones,5,10,2.0,0,5,3,2,0
Kristen Confroy,Brionna Jones,5,10,2.0,0,5,3,2,0
Lexie Brown,A'Lexus Harrison,5,10,2.0,0,5,4,1,0
Brionna Jones,Laurin Mincy,5,15,3.0,5,0,0,0,0
Kiara Leslie,S. Walker-Kimbrough,5,10,2.0,0,5,2,3,0
Kristen Confroy,Tierney Pfirman,4,8,2.0,0,4,0,4,0
Brene Moseley,Malina Howard,4,8,2.0,0,4,3,1,0
Chloe Pavlech,Tierney Pfirman,4,8,2.0,0,4,1,3,0
Tierney Pfirman,Lexie Brown,4,9,2.25,1,3,3,0,0
S. Walker-Kimbrough,Chloe Pavlech,4,12,3.0,4,0,0,0,0
Chloe Pavlech,S. Walker-Kimbrough,4,8,2.0,0,4,0,4,0
S. Walker-Kimbrough,Brene Moseley,4,11,2.75,3,1,0,1,0
Kristen Confroy,Malina Howard,3,6,2.0,0,3,1,2,0
Kristen Confroy,Laurin Mincy,3,8,2.67,2,1,0,1,0
Kristen Confroy,Brene Moseley,3,9,3.0,3,0,0,0,0
Brene Moseley,Kristen Confroy,3,7,2.33,1,2,2,0,0
