"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","foul_type","player_foul_count","team_fouls_in_period","bonus_active","margin_at_foul"
"2024-25","18281",1,510,90,"Coppin St.","Laila Lawrence",31,"personal",1,1,0,1
"2024-25","18281",1,429,171,"Maryland","Christina Dalce",15,"personal",1,1,0,4
"2024-25","18281",1,193,407,"Coppin St.","Angel Jones",11,"personal",1,2,0,-2
"2024-25","18281",2,561,639,"Coppin St.","Cire Worley",12,"personal",1,1,0,-3
"2024-25","18281",2,539,661,"Coppin St.","Laila Lawrence",31,"personal",2,2,0,-2
"2024-25","18281",2,310,890,"Maryland","Bri McDaniel",24,"personal",1,1,0,13
"2024-25","18281",2,254,946,"Maryland","Christina Dalce",15,"personal",2,2,0,15
"2024-25","18281",2,225,975,"Coppin St.","Laila Lawrence",31,"personal",3,3,0,-15
"2024-25","18281",2,208,992,"Maryland","Allie Kubek",14,"personal",1,3,0,17
"2024-25","18281",2,117,1083,"Coppin St.","Arielle-Vadrelle Belinga",34,"personal",1,4,0,-18
"2024-25","18281",2,88,1112,"Coppin St.","Dani McTeer",21,"personal",1,5,1,-18
"2024-25","18281",2,82,1118,"Maryland","Bri McDaniel",24,"personal",2,4,0,20
"2024-25","18281",3,416,1384,"Maryland","Kaylene Smikle",2,"personal",1,1,0,27
"2024-25","18281",3,391,1409,"Coppin St.","Angel Jones",11,"personal",2,1,0,-27
"2024-25","18281",3,347,1453,"Coppin St.","Tiffany Hammond",2,"personal",1,2,0,-29
"2024-25","18281",3,203,1597,"Maryland","Sarah Te-Biasu",1,"personal",1,2,0,30
"2024-25","18281",3,185,1615,"Maryland","Bri McDaniel",24,"personal",3,3,0,29
"2024-25","18281",3,99,1701,"Coppin St.","Charia Roberts",15,"personal",1,3,0,-29
"2024-25","18281",3,97,1703,"Coppin St.","Arielle-Vadrelle Belinga",34,"personal",2,4,0,-29
"2024-25","18281",4,558,1842,"Coppin St.","Khya Jenkins",23,"personal",1,1,0,-31
"2024-25","18281",4,502,1898,"Coppin St.","Laila Lawrence",31,"personal",4,2,0,-33
"2024-25","18281",4,467,1933,"Coppin St.","Charia Roberts",15,"personal",2,3,0,-34
"2024-25","18281",4,445,1955,"Maryland","Christina Dalce",15,"personal",3,1,0,34
"2024-25","18281",4,331,2069,"Maryland","Sarah Te-Biasu",1,"personal",2,2,0,30
"2024-25","18281",4,106,2294,"Coppin St.","Mickelle Lowry",3,"personal",1,4,0,-25
"2024-25","18281",4,98,2302,"Maryland","Bri McDaniel",24,"personal",4,3,0,25
"2024-25","18281",4,93,2307,"Coppin St.","Mickelle Lowry",3,"personal",2,5,1,-24
"2024-25","18282",1,505,95,"Maryland","Sarah Te-Biasu",1,"personal",1,1,0,2
"2024-25","18282",1,443,157,"Duke","Taina Mair",22,"personal",1,1,0,-4
"2024-25","18282",1,317,283,"Maryland","Saylor Poffenbarger",6,"personal",1,2,0,7
"2024-25","18282",1,305,295,"Duke","Ashlon Jackson",3,"personal",1,2,0,-4
"2024-25","18282",1,296,304,"Duke","Reigan Richardson",24,"personal",1,3,0,-4
"2024-25","18282",1,278,322,"Maryland","Bri McDaniel",24,"personal",1,3,0,5
"2024-25","18282",1,270,330,"Maryland","Shyanne Sellers",0,"personal",1,4,0,5
"2024-25","18282",1,227,373,"Duke","Jadyn Donovan",4,"personal",1,4,0,-3
"2024-25","18282",1,167,433,"Duke","Reigan Richardson",24,"personal",2,5,1,-7
"2024-25","18282",2,551,649,"Duke","Jordan Wood",13,"personal",1,1,0,-8
"2024-25","18282",2,528,672,"Duke","Jordan Wood",13,"personal",2,2,0,-8
"2024-25","18282",2,486,714,"Maryland","Christina Dalce",15,"personal",1,1,0,8
"2024-25","18282",2,427,773,"Duke","Taina Mair",22,"personal",2,3,0,-7
"2024-25","18282",2,409,791,"Maryland","Kaylene Smikle",2,"personal",1,2,0,7
"2024-25","18282",2,394,806,"Duke","Jadyn Donovan",4,"personal",2,4,0,-6
"2024-25","18282",2,374,826,"Maryland","Saylor Poffenbarger",6,"personal",2,3,0,4
"2024-25","18282",2,280,920,"Duke","Delaney Thomas",12,"personal",1,5,1,-6
"2024-25","18282",2,196,1004,"Maryland","Shyanne Sellers",0,"personal",2,4,0,6
"2024-25","18282",2,151,1049,"Duke","Emma Koabel",15,"personal",1,6,1,-5
"2024-25","18282",3,528,1272,"Duke","Reigan Richardson",24,"personal",3,1,0,-4
"2024-25","18282",3,367,1433,"Maryland","Christina Dalce",15,"personal",2,1,0,8
"2024-25","18282",3,334,1466,"Duke","Oluchi Okananwa",5,"personal",1,2,0,-8
"2024-25","18282",3,311,1489,"Maryland","Shyanne Sellers",0,"personal",3,2,0,8
"2024-25","18282",3,255,1545,"Maryland","Christina Dalce",15,"personal",3,3,0,7
"2024-25","18282",3,231,1569,"Duke","Ashlon Jackson",3,"personal",2,3,0,-8
"2024-25","18282",3,185,1615,"Maryland","Allie Kubek",14,"personal",1,4,0,11
"2024-25","18282",3,147,1653,"Duke","Oluchi Okananwa",5,"personal",2,4,0,-10
"2024-25","18282",3,61,1739,"Maryland","Bri McDaniel",24,"personal",2,5,1,12
"2024-25","18282",3,0,1800,"Maryland","Kaylene Smikle",2,"personal",2,6,1,14
"2024-25","18282",4,458,1942,"Duke","Reigan Richardson",24,"personal",4,1,0,-13
"2024-25","18282",4,365,2035,"Duke","Jadyn Donovan",4,"personal",3,2,0,-8
"2024-25","18282",4,328,2072,"Duke","Delaney Thomas",12,"personal",2,3,0,-10
"2024-25","18282",4,314,2086,"Maryland","Christina Dalce",15,"personal",4,1,0,11
"2024-25","18282",4,237,2163,"Maryland","Saylor Poffenbarger",6,"personal",3,2,0,13
"2024-25","18282",4,229,2171,"Duke","Jadyn Donovan",4,"personal",4,4,0,-13
"2024-25","18282",4,171,2229,"Maryland","Kaylene Smikle",2,"personal",3,3,0,12
"2024-25","18282",4,126,2274,"Duke","Delaney Thomas",12,"personal",3,5,1,-10
"2024-25","18282",4,51,2349,"Maryland","Christina Dalce",15,"personal",5,4,0,11
"2024-25","18282",4,14,2386,"Duke","Toby Fournier",35,"personal",1,6,1,-8
"2024-25","18283",1,549,51,"Saint Francis","Marissa Shelton",4,"personal",1,1,0,2
"2024-25","18283",1,389,211,"Maryland","Shyanne Sellers",0,"personal",1,1,0,9
"2024-25","18283",1,316,284,"Maryland","Bri McDaniel",24,"personal",1,2,0,13
"2024-25","18283",1,292,308,"Saint Francis","Natalie Johnson",5,"personal",1,2,0,-13
"2024-25","18283",1,223,377,"Saint Francis","Giselle Eke",33,"personal",1,3,0,-15
"2024-25","18283",1,135,465,"Maryland","Mir McLean",10,"personal",1,3,0,25
"2024-25","18283",1,38,562,"Saint Francis","Ineivi Plata",10,"personal",1,4,0,-27
"2024-25","18283",1,12,588,"Maryland","Ava McKennie",5,"personal",1,4,0,29
"2024-25","18283",2,550,650,"Saint Francis","Harris Robinson",11,"personal",1,1,0,-29
"2024-25","18283",2,471,729,"Saint Francis","Marissa Shelton",4,"personal",2,2,0,-28
"2024-25","18283",2,454,746,"Saint Francis","Airah Lavy",20,"personal",1,3,0,-29
"2024-25","18283",2,345,855,"Maryland","Amari DeBerry",42,"personal",1,1,0,38
"2024-25","18283",2,332,868,"Saint Francis","Harris Robinson",11,"personal",2,4,0,-40
"2024-25","18283",2,306,894,"Saint Francis","Airah Lavy",20,"personal",2,5,1,-41
"2024-25","18283",2,33,1167,"Saint Francis","Marina Artero",23,"personal",1,6,1,-57
"2024-25","18283",3,363,1437,"Saint Francis","Ineivi Plata",10,"personal",2,1,0,-62
"2024-25","18283",3,355,1445,"Saint Francis","Marina Artero",23,"personal",2,2,0,-64
"2024-25","18283",3,277,1523,"Saint Francis","Yanessa Boyd",0,"personal",1,3,0,-67
"2024-25","18283",3,28,1772,"Maryland","Ava McKennie",5,"personal",2,1,0,67
"2024-25","18283",3,3,1797,"Saint Francis","Airah Lavy",20,"personal",3,4,0,-67
"2024-25","18283",3,2,1798,"Saint Francis","Yanessa Boyd",0,"personal",2,5,1,-69
"2024-25","18283",4,526,1874,"Saint Francis","Julianna Gibson",12,"personal",1,1,0,-71
"2024-25","18283",4,481,1919,"Maryland","Mir McLean",10,"personal",2,1,0,71
"2024-25","18283",4,449,1951,"Maryland","Bri McDaniel",24,"personal",2,2,0,72
"2024-25","18283",4,418,1982,"Saint Francis","Jade Campbell",3,"personal",1,2,0,-69
"2024-25","18283",4,381,2019,"Saint Francis","Jade Campbell",3,"personal",2,3,0,-71
"2024-25","18283",4,354,2046,"Maryland","Mir McLean",10,"personal",3,3,0,72
"2024-25","18283",4,270,2130,"Maryland","Mir McLean",10,"personal",4,4,0,72
"2024-25","18283",4,229,2171,"Maryland","Allie Kubek",14,"personal",1,5,1,68
"2024-25","18283",4,183,2217,"Saint Francis","Yanessa Boyd",0,"personal",3,4,0,-66
"2024-25","18283",4,132,2268,"Maryland","Sarah Te-Biasu",1,"personal",1,6,1,71
"2024-25","18285",1,571,29,"Mount St. Mary's","Gabrielle Kennerly",15,"personal",1,1,0,0
"2024-25","18285",1,339,261,"Mount St. Mary's","Jo Raflo",4,"personal",1,2,0,0
"2024-25","18285",1,312,288,"Mount St. Mary's","Rosa Revueltas Pareja",6,"personal",1,3,0,-4
"2024-25","18285",1,304,296,"Mount St. Mary's","Rosa Revueltas Pareja",6,"personal",2,4,0,-4
"2024-25","18285",1,275,325,"Maryland","Bri McDaniel",24,"personal",1,1,0,4
"2024-25","18285",1,146,454,"Mount St. Mary's","Jaedyn Jamison",20,"personal",1,5,1,-3
"2024-25","18285",1,66,534,"Mount St. Mary's","Giana Hoddinott",12,"personal",1,6,1,-4
"2024-25","18285",1,59,541,"Maryland","Kaylene Smikle",2,"personal",1,2,0,5
"2024-25","18285",1,43,557,"Maryland","Mir McLean",10,"personal",1,3,0,5
"2024-25","18285",2,438,762,"Mount St. Mary's","Anna LeMaster",10,"personal",1,1,0,-13
"2024-25","18285",2,302,898,"Mount St. Mary's","Anna LeMaster",10,"personal",2,2,0,-19
"2024-25","18285",2,289,911,"Mount St. Mary's","Tessa Engelman",2,"personal",1,3,0,-20
"2024-25","18285",2,250,950,"Maryland","Saylor Poffenbarger",6,"personal",1,1,0,20
"2024-25","18285",2,243,957,"Maryland","Christina Dalce",15,"personal",1,2,0,20
"2024-25","18285",2,215,985,"Maryland","Christina Dalce",15,"personal",2,3,0,20
"2024-25","18285",2,201,999,"Mount St. Mary's","Wesleigh Fergsuon",1,"personal",1,4,0,-17
"2024-25","18285",2,149,1051,"Mount St. Mary's","Madison Ruff",3,"personal",1,5,1,-19
"2024-25","18285",2,58,1142,"Maryland","Saylor Poffenbarger",6,"personal",2,4,0,20
"2024-25","18285",3,422,1378,"Maryland","Saylor Poffenbarger",6,"personal",3,1,0,25
"2024-25","18285",3,417,1383,"Mount St. Mary's","Madison Ruff",3,"personal",2,1,0,-25
"2024-25","18285",3,346,1454,"Maryland","Christina Dalce",15,"personal",3,2,0,26
"2024-25","18285",3,307,1493,"Maryland","Shyanne Sellers",0,"personal",1,3,0,25
"2024-25","18285",3,286,1514,"Mount St. Mary's","Gabrielle Kennerly",15,"personal",2,2,0,-23
"2024-25","18285",3,154,1646,"Mount St. Mary's","Jo Raflo",4,"personal",2,3,0,-22
"2024-25","18285",4,573,1827,"Mount St. Mary's","Anna LeMaster",10,"personal",3,1,0,-25
"2024-25","18285",4,569,1831,"Mount St. Mary's","Jo Raflo",4,"personal",3,2,0,-27
"2024-25","18285",4,493,1907,"Mount St. Mary's","Anna LeMaster",10,"personal",4,3,0,-24
"2024-25","18285",4,468,1932,"Maryland","Mir McLean",10,"personal",2,1,0,26
"2024-25","18285",4,416,1984,"Maryland","Shyanne Sellers",0,"personal",2,2,0,26
"2024-25","18285",4,399,2001,"Mount St. Mary's","Madison Ruff",3,"personal",3,4,0,-26
"2024-25","18285",4,363,2037,"Mount St. Mary's","Rosa Revueltas Pareja",6,"personal",3,5,1,-28
"2024-25","18285",4,237,2163,"Maryland","Sarah Te-Biasu",1,"personal",1,3,0,27
"2024-25","18285",4,227,2173,"Maryland","Sarah Te-Biasu",1,"personal",2,4,0,27
"2024-25","18285",4,178,2222,"Mount St. Mary's","Madison Ruff",3,"personal",4,6,1,-29
"2024-25","18285",4,134,2266,"Maryland","Kaylene Smikle",2,"personal",2,5,1,28
"2024-25","18285",4,45,2355,"Mount St. Mary's","Madison Ruff",3,"personal",5,7,1,-32
"2024-25","18286",1,586,14,"Towson","Semaya Turner",1,"personal",1,1,0,-2
