assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Shyanne Sellers,126,10,15,111,962,7.63
Sarah Te-Biasu,83,9,10,73,668,8.05
Saylor Poffenbarger,57,9,6,51,444,7.79
Kaylene Smikle,55,9,2,53,436,7.93
Bri McDaniel,40,8,0,40,312,7.8
Allie Kubek,35,7,3,32,287,8.2
Mir McLean,31,8,1,30,263,8.48
Christina Dalce,26,7,2,24,161,6.19
Emily Fisher,11,6,2,9,88,8.0
Amari DeBerry,8,5,0,8,56,7.0
Ava McKennie,7,5,0,7,68,9.71
