source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2024,18367,4,301,00,Shyanne Sellers,2,01,Sarah Te-Biasu,3PTR,12,59.0,72.0,01 Sarah Te-Biasu 3PTR GOOD (12 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18367,4,247,02,Kaylene Smikle,4,15,Christina Dalce,LAYUP,4,66.0,74.0,15 Christina Dalce LAYUP GOOD (4 Pt); 02 Kaylene Smikle Assist (4 Asst)
2024,18367,4,201,02,Kaylene Smikle,5,42,Amari DeBerry,JUMPER,4,70.0,76.0,42 Amari DeBerry JUMPER GOOD (4 Pt); 02 Kaylene Smikle Assist (5 Asst)
2024,18367,4,134,00,Shyanne Sellers,3,02,Kaylene Smikle,JUMPER,22,73.0,79.0,02 Kaylene Smikle JUMPER GOOD (22 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18367,4,53,02,Kaylene Smikle,6,01,Sarah Te-Biasu,3PTR,15,74.0,82.0,01 Sarah Te-Biasu 3PTR GOOD (15 Pt); 02 Kaylene Smikle Assist (6 Asst)
2024,18351,1,347,01,Sarah Te-Biasu,1,14,Allie Kubek,3PTR,3,7.0,5.0,14 Allie Kubek 3PTR GOOD (3 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18351,1,294,02,Kaylene Smikle,1,00,Shyanne Sellers,JUMPER,2,9.0,9.0,00 Shyanne Sellers JUMPER GOOD (2 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18351,1,202,00,Shyanne Sellers,1,02,Kaylene Smikle,LAYUP,6,13.0,9.0,02 Kaylene Smikle LAYUP GOOD (6 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18351,1,73,00,Shyanne Sellers,2,01,Sarah Te-Biasu,3PTR,3,18.0,11.0,01 Sarah Te-Biasu 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18351,2,547,02,Kaylene Smikle,2,06,Saylor Poffenbarger,3PTR,4,23.0,14.0,06 Saylor Poffenbarger 3PTR GOOD (4 Pt); 02 Kaylene Smikle Assist (2 Asst)
2024,18351,2,459,24,Bri McDaniel,1,02,Kaylene Smikle,LAYUP,8,26.0,14.0,02 Kaylene Smikle LAYUP GOOD (8 Pt); 24 Bri McDaniel Assist (1 Asst)
2024,18351,2,398,00,Shyanne Sellers,3,24,Bri McDaniel,LAYUP,6,31.0,16.0,24 Bri McDaniel LAYUP GOOD (6 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18351,3,459,24,Bri McDaniel,2,14,Allie Kubek,LAYUP,7,43.0,35.0,14 Allie Kubek LAYUP GOOD (7 Pt); 24 Bri McDaniel Assist (2 Asst)
2024,18351,3,379,06,Saylor Poffenbarger,1,02,Kaylene Smikle,LAYUP,10,45.0,39.0,02 Kaylene Smikle LAYUP GOOD (10 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
