team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,33,25,8,75.75757575757575,2658,80.54545454545455,2327,80.54545454545455,70.51515151515152,10.030303030303031,940,2035,46.19164619164619,207,574,36.062717770034844,571,745,76.64429530201342,51.27764127764127,56.246825799898424,0.36609336609336607,1333,40.39393939393939,481,14.575757575757576,0.8923933209647495,228,6.909090909090909,117,3.5454545454545454,539,16.333333333333332,566,17.151515151515152
Michigan,2,1,1,50.0,175,87.5,156,87.5,78.0,9.5,64,129,49.6124031007752,19,41,46.34146341463415,28,43,65.11627906976744,56.97674418604651,59.15359653866954,0.3333333333333333,68,34.0,43,21.5,1.72,15,7.5,4,2.0,25,12.5,37,18.5
Texas,1,1,0,100.0,89,89.0,51,89.0,51.0,38.0,37,69,53.62318840579711,3,9,33.33333333333333,12,18,66.66666666666666,55.79710144927537,57.8523140925637,0.2608695652173913,35,35.0,20,20.0,1.8181818181818181,12,12.0,3,3.0,11,11.0,19,19.0
Illinois,1,1,0,100.0,66,66.0,65,66.0,65.0,1.0,24,62,38.70967741935484,10,21,47.61904761904761,8,8,100.0,46.774193548387096,50.366300366300365,0.12903225806451613,35,35.0,16,16.0,2.2857142857142856,2,2.0,3,3.0,7,7.0,15,15.0
Ohio St.,2,1,1,50.0,164,82.0,159,82.0,79.5,2.5,59,131,45.038167938931295,10,39,25.64102564102564,36,46,78.26086956521739,48.854961832061065,54.21846072467601,0.3511450381679389,66,33.0,22,11.0,0.88,21,10.5,10,5.0,25,12.5,47,23.5
Southern California,1,1,0,100.0,79,79.0,74,79.0,74.0,5.0,26,64,40.625,5,15,33.33333333333333,22,26,84.61538461538461,44.53125,52.359490986214205,0.40625,47,47.0,13,13.0,0.6842105263157895,6,6.0,8,8.0,19,19.0,20,20.0
Ucla,1,1,0,100.0,82,82.0,67,82.0,67.0,15.0,30,55,54.54545454545454,7,19,36.84210526315789,15,20,75.0,60.909090909090914,64.26332288401254,0.36363636363636365,33,33.0,22,22.0,1.2941176470588236,7,7.0,8,8.0,17,17.0,15,15.0
South Carolina,1,1,0,100.0,71,71.0,67,71.0,67.0,4.0,25,65,38.46153846153847,4,15,26.666666666666668,17,21,80.95238095238095,41.53846153846154,47.817887931034484,0.3230769230769231,47,47.0,13,13.0,0.7222222222222222,0,0.0,7,7.0,18,18.0,18,18.0
Nebraska,1,1,0,100.0,91,91.0,71,91.0,71.0,20.0,34,67,50.74626865671642,12,21,57.14285714285714,11,16,68.75,59.70149253731343,61.453268503511616,0.23880597014925373,42,42.0,21,21.0,1.75,2,2.0,0,0.0,12,12.0,21,21.0
Umbc,1,0,1,0.0,32,32.0,74,32.0,74.0,-42.0,10,43,23.25581395348837,5,19,26.31578947368421,7,14,50.0,29.069767441860467,32.54678600488202,0.32558139534883723,18,18.0,6,6.0,0.24,7,7.0,2,2.0,25,25.0,21,21.0
