"source_id","file_id","date","location","officials","attendance","home_team","home_score","home_record","visiting_team","visiting_score","visiting_record"
2024,18346,"11/4/2024","Chesapeake Employers Insurance Arena, Baltimore, MD","",2306,"Umbc",32,"0-1,0-0 America East","Maryland",74,"1-0,0-0 Big Ten"
2024,18281,"11/7/2024","XFINITY Center, College Park, MD","Kristen Bell,  Maggie Tieman,  Dee Kantner",5040,"Maryland",70,"2-0,0-0 Big Ten","Coppin St.",47,"1-1,0-0 MEAC"
2024,18347,"11/13/2024","JMA Wireless Dome, Syracuse, NY","Krystle Apellaniz,  John Capolino,  Karen Preato",2427,"Syracuse",73,"1-2,0-0 ACC","Maryland",84,"4-0,0-0 Big Ten"
2024,18286,"11/17/2024","XFINITY Center, College Park, MD","Courtney Robinson,  Kalei Enterline,  Brad Maxey",5108,"Maryland",98,"5-0,0-0 Big Ten","Towson",63,"0-4,0-0 CAA"
2024,18283,"11/24/2024","XFINITY Center, College Park, MD","Kara Hunter,  Gerda Gatling,  Bruce Morris",5773,"Maryland",107,"6-0,0-0 Big Ten","Saint Francis",35,"1-6,0-0 NEC"
2024,18282,"11/10/2024","XFINITY Center, College Park, MD","Kenya Kirkland,  Mark Resch,  Cameron Inouye",9042,"Maryland",85,"3-0,0-0 Big Ten","Duke",80,"2-1,0-0 ACC"
2024,18350,"12/7/2024","Mackey Arena, West Lafayette, IN","",6203,"Purdue",69,"5-4,0-1 Big Ten","Maryland",78,"10-0,1-0 Big Ten"
2024,18366,"2/17/2025","XFINITY Center, College Park, MD","Angie Enlund,  Nykesha Thompson,  Kevin Pethtel",7049,"Maryland",85,"20-6,10-5 Big Ten","Michigan",77,"18-8,9-6 Big Ten"
2024,18370,"3/7/2025","Gainbridge Fieldhouse, Indianapolis, IN","Frank Steratore,  Nykesha Thompson,  Kevin Pethtel",7352,"Maryland",71,"23-7,13-5 Big Ten","Michigan",98,"22-9,11-7 Big Ten"
2024,18371,"3/22/2025","XFINITY Center, College Park, MD","Deanna Jackson,  Timothy Daley,  Angelica Suffren",7040,"Maryland",82,"24-7,13-5 Big Ten","Norfolk St.",69,"30-5,14-0 MEAC"
2024,18367,"2/20/2025","Welsh-Ryan Arena, Evanston, IL","Tim Daley,  Melissa Barlow,  Michael McConnell",1726,"Northwestern",79,"9-16,2-12 Big Ten","Maryland",85,"21-6,11-5 Big Ten"
2024,18351,"12/29/2024","XFINITY Center, College Park, MD","Cara Seggie,  Kevin Pethtel,  Michael McConnell",9200,"Maryland",72,"12-0,2-0 Big Ten","Michigan St.",66,"11-2,1-1 Big Ten"
2024,18730,"3/24/2025","XFINITY Center, College Park, MD","Timothy Daley,  Angelica Suffren,  Felicia Grinter",5052,"Maryland",111,"25-7,13-5 Big Ten","Alabama",108,"24-9,10-6 SEC"
2024,18360,"1/29/2025","Rec Hall, State College, PA","Frank Steratore,  Nykesha Thompson,  Jesse Dickerson",2066,"Penn St.",73,"10-12,1-10 Big Ten","Maryland",82,"17-4,7-3 Big Ten"
2024,18356,"1/14/2025","XFINITY Center, College Park, MD","Brad Maxey,  Angelica Suffren,  Tim Daley",5049,"Maryland",99,"16-1,6-1 Big Ten","Minnesota",92,"16-2,4-2 Big Ten"
2024,18357,"1/20/2025","Prudential Center, Newark, NJ","Natasha Camy,  Fatou Cissoko-Stephens,  Maj Forsberg",6147,"Maryland",51,"16-2,6-1 Big Ten","Texas",89,"18-2,4-1 SEC"
2024,18361,"2/2/2025","XFINITY Center, College Park, MD","Kenya Kirkland,  Mark Berger,  Maggie Tieman",8068,"Maryland",65,"17-5,7-4 Big Ten","Illinois",66,"17-5,7-4 Big Ten"
2024,18289,"12/19/2024","XFINITY Center, College Park, MD","Jamie Broderick,  Jesse Dickerson,  Brian Hall",17950,"Maryland",107,"11-0,1-0 Big Ten","William & Mary",57,"3-8,0-0 CAA"
2024,18358,"1/23/2025","Value City Arena, Columbus, OH","Bryan Enterline,  Maggie Tieman,  Gina Cross",7082,"Ohio St.",74,"18-1,7-1 Big Ten","Maryland",66,"16-3,6-2 Big Ten"
2024,18285,"12/3/2024","XFINITY Center, College Park, MD","Kara Hunter,  Mark Berger,  Felicia Grinter",4678,"Maryland",87,"9-0,0-0 Big Ten","Mount St. Mary's",52,"0-6,0-0 MAAC"
2024,18354,"1/8/2025","XFINITY Center, College Park, MD","Natasha Camy,  Michol Murray,  Michael McConnell",14735,"Maryland",74,"14-1,4-1 Big Ten","Southern California",79,"15-1,5-0 Big Ten"
2024,18355,"1/11/2025","Kohl Center, Madison, WI","Angel Kent,  Natasha Brown,  Lisa Jones",4115,"Wisconsin",68,"10-7,1-5 Big Ten","Maryland",83,"15-1,5-1 Big Ten"
2024,18359,"1/26/2025","XFINITY Center, College Park, MD","Angie Enlund,  Tiara Cruse,  Michael McConnell",13648,"Maryland",67,"16-4,6-3 Big Ten","Ucla",82,"20-0,8-0 Big Ten"
2024,18363,"2/6/2025","Matthew Knight Arena, Eugene, OR","In'Fini Robinson,  Kevin Pethel,  Gina Cross",5156,"Oregon",61,"16-7,7-5 Big Ten","Maryland",79,"18-5,8-4 Big Ten"
2024,18368,"2/27/2025","Simon Skjodt Assembly Hall, Bloomington, IN","Maggie Tieman,  Nykesha Thompson,  Kevin Pethtel",10684,"Indiana",60,"17-11,9-8 Big Ten","Maryland",74,"22-6,12-5 Big Ten"
2024,18352,"1/2/2025","XFINITY Center, College Park, MD","Maggie Tieman,  Lisa Jones,  Jesse Dickerson",5434,"Maryland",78,"13-0,3-0 Big Ten","Rutgers",61,"8-6,0-3 Big Ten"
2024,18372,"3/28/2025","Legacy Arena, Birmingham, AL","Nykesha Thompson,  Michael McConnell,  Tiffany Bird",11055,"South Carolina",71,"33-3,15-1 SEC","Maryland",67,"25-8,13-5 Big Ten"
2024,18364,"2/9/2025","Alaska Airlines Arena, Seattle, WA","Kyle Bacon,  Lisa Jones,  Melissa Barlow",4819,"Washington",73,"14-10,5-7 Big Ten","Maryland",81,"19-5,9-4 Big Ten"
2024,18348,"11/30/2024","Alumni Hall, Annapolis, MD","Kristen Csontos,  Kevin Dillard,  Courtney Robinson",1305,"Maryland",66,"7-0,0-0 Big Ten","George Mason",56,"6-1,0-0 Atlantic 10"
2024,18349,"12/1/2024","Alumni Hall, Annapolis, MD","Alyssa Hann,  David Troyan,  Bill Larance",887,"Toledo",70,"4-2,0-0 MAC","Maryland",92,"8-0,0-0 Big Ten"
2024,18365,"2/13/2025","XFINITY Center, College Park, MD","Frank Steratore,  Natasha Camy,  Tim Daley",7029,"Maryland",71,"19-6,9-5 Big Ten","Nebraska",91,"17-8,8-6 Big Ten"
2024,18353,"1/5/2025","Carver-Hawkeye Arena , Iowa City, IA","Bryan Enterline,  Bruce Morris,  Melissa Barlow",14998,"Iowa",66,"12-3,2-2 Big Ten","Maryland",74,"14-0,4-0 Big Ten"
2024,18369,"3/2/2025","XFINITY Center, College Park, MD","Angie Enlund,  Jesse Dickerson,  Felicia Grinter",9335,"Maryland",93,"23-6,13-5 Big Ten","Ohio St.",90,"24-5,13-5 Big Ten"
