scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Kaylene Smikle,107,9,38,69,252,2.36
Allie Kubek,91,8,17,74,199,2.19
Saylor Poffenbarger,60,7,36,24,156,2.6
Shyanne Sellers,55,10,28,27,138,2.51
Christina Dalce,53,10,0,53,106,2.0
Sarah Te-Biasu,42,8,38,4,122,2.9
Mir McLean,20,7,0,20,40,2.0
Amari DeBerry,20,9,0,20,40,2.0
Bri McDaniel,17,7,9,8,43,2.53
Emily Fisher,8,3,1,7,17,2.12
Ava McKennie,6,5,0,6,12,2.0
