"source_id","player_out_number","player_out_name","player_in_number","player_in_name","times_occurred","games","avg_period","avg_clock_seconds"
"2024-25","15","Christina Dalce","14","Allie Kubek",44,23,2.4,265.0
"2024-25","14","Allie Kubek","15","Christina Dalce",38,16,3.0,260.0
"2024-25","02","Kaylene Smikle","10","Mir McLean",29,20,2.3,268.0
"2024-25","10","Mir McLean","15","Christina Dalce",29,19,2.6,407.0
"2024-25","00","Shyanne Sellers","02","Kaylene Smikle",27,22,2.0,261.0
"2024-25","01","Sarah Te-Biasu","00","Shyanne Sellers",27,20,2.2,318.0
"2024-25","14","Allie Kubek","10","Mir McLean",26,19,2.2,250.0
"2024-25","15","Christina Dalce","06","Saylor Poffenbarger",25,14,2.4,332.0
"2024-25","00","Shyanne Sellers","01","Sarah Te-Biasu",24,15,2.5,350.0
"2024-25","14","Allie Kubek","42","Amari DeBerry",20,15,2.1,337.0
"2024-25","06","Saylor Poffenbarger","02","Kaylene Smikle",20,16,2.2,300.0
"2024-25","06","Saylor Poffenbarger","00","Shyanne Sellers",20,14,2.5,294.0
"2024-25","14","Allie Kubek","06","Saylor Poffenbarger",18,14,3.1,335.0
"2024-25","10","Mir McLean","14","Allie Kubek",18,11,2.6,417.0
"2024-25","02","Kaylene Smikle","24","Bri McDaniel",17,13,2.4,327.0
"2024-25","15","Christina Dalce","10","Mir McLean",17,14,2.5,246.0
"2024-25","42","Amari DeBerry","14","Allie Kubek",17,11,2.0,308.0
"2024-25","02","Kaylene Smikle","00","Shyanne Sellers",16,15,2.0,325.0
"2024-25","00","Shyanne Sellers","10","Mir McLean",15,11,2.5,260.0
"2024-25","02","Kaylene Smikle","06","Saylor Poffenbarger",15,14,2.2,254.0
"2024-25","00","Shyanne Sellers","03","Emily Fisher",15,10,2.8,269.0
"2024-25","06","Saylor Poffenbarger","10","Mir McLean",14,12,2.4,289.0
"2024-25","03","Emily Fisher","00","Shyanne Sellers",14,9,3.2,287.0
"2024-25","02","Kaylene Smikle","01","Sarah Te-Biasu",13,10,2.2,217.0
"2024-25","24","Bri McDaniel","02","Kaylene Smikle",13,9,2.2,256.0
"2024-25","42","Amari DeBerry","15","Christina Dalce",12,8,2.7,468.0
"2024-25","15","Christina Dalce","42","Amari DeBerry",12,9,2.6,298.0
"2024-25","10","Mir McLean","06","Saylor Poffenbarger",12,10,2.7,324.0
"2024-25","06","Saylor Poffenbarger","15","Christina Dalce",11,9,2.4,370.0
"2024-25","10","Mir McLean","02","Kaylene Smikle",10,7,2.5,317.0
"2024-25","02","Kaylene Smikle","05","Ava McKennie",10,8,2.5,227.0
"2024-25","05","Ava McKennie","02","Kaylene Smikle",10,9,2.9,517.0
"2024-25","06","Saylor Poffenbarger","14","Allie Kubek",10,8,3.3,423.0
"2024-25","00","Shyanne Sellers","06","Saylor Poffenbarger",10,9,2.4,359.0
"2024-25","24","Bri McDaniel","15","Christina Dalce",10,8,2.5,445.0
"2024-25","02","Kaylene Smikle","14","Allie Kubek",9,8,2.4,249.0
"2024-25","02","Kaylene Smikle","15","Christina Dalce",9,7,2.8,245.0
"2024-25","06","Saylor Poffenbarger","03","Emily Fisher",9,8,3.1,265.0
"2024-25","01","Sarah Te-Biasu","05","Ava McKennie",9,8,2.9,186.0
"2024-25","14","Allie Kubek","02","Kaylene Smikle",9,8,2.6,290.0
"2024-25","01","Sarah Te-Biasu","24","Bri McDaniel",9,6,2.6,275.0
"2024-25","14","Allie Kubek","24","Bri McDaniel",8,7,1.5,359.0
"2024-25","01","Sarah Te-Biasu","02","Kaylene Smikle",8,6,2.1,241.0
"2024-25","15","Christina Dalce","02","Kaylene Smikle",8,8,2.6,288.0
"2024-25","10","Mir McLean","01","Sarah Te-Biasu",8,7,2.4,303.0
"2024-25","15","Christina Dalce","03","Emily Fisher",8,6,3.5,284.0
"2024-25","02","Kaylene Smikle","03","Emily Fisher",8,5,2.0,280.0
"2024-25","01","Sarah Te-Biasu","10","Mir McLean",7,6,2.6,188.0
"2024-25","24","Bri McDaniel","14","Allie Kubek",7,5,2.6,366.0
"2024-25","01","Sarah Te-Biasu","06","Saylor Poffenbarger",7,7,1.9,406.0
"2024-25","15","Christina Dalce","24","Bri McDaniel",7,5,2.0,452.0
"2024-25","00","Shyanne Sellers","05","Ava McKennie",7,4,2.7,125.0
"2024-25","00","Shyanne Sellers","14","Allie Kubek",7,6,2.1,322.0
"2024-25","15","Christina Dalce","01","Sarah Te-Biasu",7,6,2.7,161.0
"2024-25","06","Saylor Poffenbarger","42","Amari DeBerry",6,4,3.3,170.0
"2024-25","01","Sarah Te-Biasu","03","Emily Fisher",6,5,1.8,184.0
"2024-25","10","Mir McLean","24","Bri McDaniel",6,4,3.0,419.0
"2024-25","00","Shyanne Sellers","24","Bri McDaniel",6,5,2.5,334.0
"2024-25","15","Christina Dalce","05","Ava McKennie",6,5,2.0,293.0
"2024-25","06","Saylor Poffenbarger","01","Sarah Te-Biasu",6,6,2.5,410.0
"2024-25","15","Christina Dalce","00","Shyanne Sellers",6,6,3.0,188.0
"2024-25","01","Sarah Te-Biasu","15","Christina Dalce",6,4,3.7,164.0
"2024-25","03","Emily Fisher","06","Saylor Poffenbarger",6,5,2.5,304.0
"2024-25","14","Allie Kubek","00","Shyanne Sellers",5,5,2.0,423.0
"2024-25","24","Bri McDaniel","06","Saylor Poffenbarger",5,5,2.6,532.0
"2024-25","06","Saylor Poffenbarger","05","Ava McKennie",5,5,2.4,196.0
"2024-25","05","Ava McKennie","00","Shyanne Sellers",5,4,3.0,487.0
"2024-25","03","Emily Fisher","15","Christina Dalce",5,5,2.0,426.0
"2024-25","10","Mir McLean","00","Shyanne Sellers",5,4,3.2,285.0
"2024-25","03","Emily Fisher","02","Kaylene Smikle",5,5,3.0,312.0
"2024-25","24","Bri McDaniel","10","Mir McLean",4,3,2.5,206.0
"2024-25","05","Ava McKennie","15","Christina Dalce",4,4,2.8,455.0
"2024-25","05","Ava McKennie","01","Sarah Te-Biasu",4,4,3.2,373.0
"2024-25","24","Bri McDaniel","01","Sarah Te-Biasu",4,4,2.5,192.0
"2024-25","06","Saylor Poffenbarger","24","Bri McDaniel",4,3,2.8,389.0
"2024-25","00","Shyanne Sellers","15","Christina Dalce",4,4,3.8,209.0
"2024-25","42","Amari DeBerry","06","Saylor Poffenbarger",4,3,3.8,52.0
"2024-25","10","Mir McLean","05","Ava McKennie",4,3,2.8,250.0
"2024-25","10","Mir McLean","03","Emily Fisher",3,3,2.3,168.0
"2024-25","03","Emily Fisher","01","Sarah Te-Biasu",3,2,2.0,407.0
"2024-25","24","Bri McDaniel","05","Ava McKennie",3,3,2.3,157.0
"2024-25","24","Bri McDaniel","00","Shyanne Sellers",3,2,3.0,476.0
"2024-25","05","Ava McKennie","06","Saylor Poffenbarger",3,3,1.7,334.0
"2024-25","05","Ava McKennie","42","Amari DeBerry",3,3,3.3,488.0
"2024-25","14","Allie Kubek","05","Ava McKennie",3,3,3.0,231.0
"2024-25","10","Mir McLean","42","Amari DeBerry",3,2,2.3,292.0
