"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2024-25","Allie Kubek",52,28,53.8,17,11,64.7,203,117,57.6
"2024-25","Amari DeBerry",5,2,40.0,3,1,33.3,48,26,54.2
"2024-25","Ava McKennie",1,0,0.0,4,1,25.0,34,11,32.4
"2024-25","Bri McDaniel",26,14,53.8,24,13,54.2,138,70,50.7
"2024-25","Christina Dalce",37,15,40.5,48,22,45.8,224,106,47.3
"2024-25","Kaylene Smikle",67,27,40.3,103,50,48.5,431,193,44.8
"2024-25","Mir McLean",11,7,63.6,14,4,28.6,96,43,44.8
"2024-25","Sarah Te-Biasu",45,25,55.6,61,26,42.6,265,119,44.9
"2024-25","Saylor Poffenbarger",37,16,43.2,68,20,29.4,243,93,38.3
"2024-25","Shyanne Sellers",52,19,36.5,68,40,58.8,327,151,46.2
"2024-25","TEAM",334,153,45.8,413,190,46.0,2035,940,46.2
