"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2024-25","Sarah Te-Biasu",32,1040.5,294.5,2006,1861,5.6,652,466,25.3,-19.7,145
"2024-25","Kaylene Smikle",33,965.1,369.9,1915,1692,9.2,743,635,11.7,-2.4,223
"2024-25","Shyanne Sellers",31,923.3,411.7,1903,1558,14.9,755,769,-1.4,16.3,345
"2024-25","Allie Kubek",33,809.2,525.8,1613,1385,11.3,1045,942,7.8,3.4,228
"2024-25","Saylor Poffenbarger",30,790.3,544.7,1552,1393,8.0,1106,934,12.6,-4.6,159
"2024-25","Christina Dalce",33,712.6,622.4,1395,1269,7.1,1263,1058,13.2,-6.1,126
"2024-25","Mir McLean",33,504.3,830.7,1025,892,10.5,1633,1435,9.5,1.0,133
"2024-25","Bri McDaniel",17,368.3,966.7,775,589,20.2,1883,1738,6.0,14.2,186
"2024-25","Emily Fisher",19,212.4,1122.6,418,406,2.3,2240,1921,11.4,-9.1,12
"2024-25","Ava McKennie",21,181.1,1153.9,380,300,17.7,2278,2027,8.7,9.0,80
"2024-25","Amari DeBerry",22,168.7,1166.3,316,296,4.7,2342,2031,10.7,-5.9,20
