assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Shyanne Sellers,Kaylene Smikle,38,90,2.37,14,24,20,4,0
Shyanne Sellers,Allie Kubek,29,62,2.14,4,25,22,3,0
Shyanne Sellers,Saylor Poffenbarger,21,57,2.71,15,6,5,1,0
Sarah Te-Biasu,Kaylene Smikle,18,44,2.44,8,10,6,4,0
Saylor Poffenbarger,Kaylene Smikle,17,38,2.24,4,13,11,2,0
Sarah Te-Biasu,Allie Kubek,15,36,2.4,6,9,7,2,0
Sarah Te-Biasu,Shyanne Sellers,14,39,2.79,11,3,1,2,0
Sarah Te-Biasu,Saylor Poffenbarger,13,36,2.77,10,3,0,3,0
Saylor Poffenbarger,Allie Kubek,13,28,2.15,2,11,11,0,0
Kaylene Smikle,Christina Dalce,13,26,2.0,0,13,10,3,0
Shyanne Sellers,Christina Dalce,12,24,2.0,0,12,10,2,0
Kaylene Smikle,Allie Kubek,12,28,2.33,4,8,8,0,0
Shyanne Sellers,Sarah Te-Biasu,11,32,2.91,10,1,0,1,0
Saylor Poffenbarger,Sarah Te-Biasu,10,30,3.0,10,0,0,0,0
Allie Kubek,Shyanne Sellers,10,24,2.4,4,6,2,4,0
Bri McDaniel,Allie Kubek,9,19,2.11,1,8,7,1,0
Kaylene Smikle,Sarah Te-Biasu,9,25,2.78,7,2,0,2,0
Kaylene Smikle,Shyanne Sellers,9,23,2.56,5,4,0,4,0
Bri McDaniel,Kaylene Smikle,9,22,2.44,4,5,5,0,0
Bri McDaniel,Shyanne Sellers,7,17,2.43,3,4,1,3,0
Christina Dalce,Allie Kubek,7,14,2.0,0,7,7,0,0
Bri McDaniel,Christina Dalce,7,14,2.0,0,7,7,0,0
Christina Dalce,Saylor Poffenbarger,7,15,2.14,1,6,5,1,0
Kaylene Smikle,Saylor Poffenbarger,7,19,2.71,5,2,2,0,0
Mir McLean,Kaylene Smikle,7,16,2.29,2,5,5,0,0
Allie Kubek,Kaylene Smikle,6,15,2.5,3,3,3,0,0
Sarah Te-Biasu,Mir McLean,6,12,2.0,0,6,3,3,0
Christina Dalce,Kaylene Smikle,6,14,2.33,2,4,3,1,0
Shyanne Sellers,Amari DeBerry,5,10,2.0,0,5,2,3,0
Mir McLean,Amari DeBerry,5,10,2.0,0,5,4,1,0
Bri McDaniel,Saylor Poffenbarger,5,12,2.4,2,3,3,0,0
Sarah Te-Biasu,Emily Fisher,5,11,2.2,1,4,4,0,0
Mir McLean,Bri McDaniel,5,12,2.4,2,3,3,0,0
Saylor Poffenbarger,Shyanne Sellers,5,13,2.6,3,2,0,2,0
Allie Kubek,Saylor Poffenbarger,5,12,2.4,2,3,2,1,0
Allie Kubek,Sarah Te-Biasu,5,15,3.0,5,0,0,0,0
Allie Kubek,Christina Dalce,5,10,2.0,0,5,4,1,0
Saylor Poffenbarger,Mir McLean,4,8,2.0,0,4,4,0,0
Sarah Te-Biasu,Bri McDaniel,4,11,2.75,3,1,0,1,0
Shyanne Sellers,Mir McLean,4,8,2.0,0,4,3,1,0
Mir McLean,Christina Dalce,4,8,2.0,0,4,4,0,0
Mir McLean,Allie Kubek,4,8,2.0,0,4,3,1,0
Sarah Te-Biasu,Christina Dalce,4,8,2.0,0,4,4,0,0
Saylor Poffenbarger,Christina Dalce,4,8,2.0,0,4,4,0,0
Sarah Te-Biasu,Amari DeBerry,4,8,2.0,0,4,0,4,0
