"source_id","period","total_subs","games","avg_subs_per_game","most_common_out","times_out","most_common_in","times_in"
"2024-25",2,50,27,1.85,"Mir McLean",11,"Christina Dalce",15
"2024-25",3,62,31,2.0,"Mir McLean",19,"Christina Dalce",18
"2024-25",4,31,23,1.35,"Mir McLean",6,"Shyanne Sellers",6
