"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points"
2024,18346,"Umbc","J. SANCHEZ",3,"G",34,"1-9",11.1,"0-4",0.0,"3-4",75.0,3,1,5,0,0,5
2024,18346,"Umbc","J. LEWIS",5,"F",24,"4-10",40.0,"2-4",50.0,"0-2",0.0,3,1,3,0,2,10
2024,18346,"Umbc","A. WILLIAMS",10,"F",9,"0-2",0.0,"0-0",0.0,"0-2",0.0,1,0,3,1,0,0
2024,18346,"Umbc","C. YANEZ",15,"G",34,"0-3",0.0,"0-3",0.0,"1-2",50.0,1,2,2,2,0,1
2024,18346,"Umbc","T. DAVIS",21,"F",34,"2-5",40.0,"1-2",50.0,"0-0",0.0,2,0,1,2,0,5
2024,18346,"Umbc","Y. OTT",0,"G",19,"1-4",25.0,"1-2",50.0,"0-0",0.0,0,2,1,0,0,3
2024,18346,"Umbc","T. BELLAMY",1,"G",12,"0-5",0.0,"0-2",0.0,"1-2",50.0,1,0,2,2,0,1
2024,18346,"Umbc","R. DONAHUE",4,"G",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2024,18346,"Umbc","L. THOMPSON",12,"G",6,"1-2",50.0,"1-2",50.0,"0-0",0.0,0,0,0,0,0,3
2024,18346,"Umbc","K. RAMSEY",13,"G",3,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2024,18346,"Umbc","L. LACAMBRA",33,"C",23,"1-3",33.3,"0-0",0.0,"2-2",100.0,2,0,4,0,0,4
2024,18346,"Maryland","S. SELLERS",0,"G",30,"5-11",45.5,"0-1",0.0,"2-3",66.7,7,2,4,1,0,12
2024,18346,"Maryland","S. TE-BIASU",1,"G",26,"4-7",57.1,"0-2",0.0,"0-0",0.0,4,1,0,2,0,8
2024,18346,"Maryland","K. SMIKLE",2,"G",22,"2-6",33.3,"0-1",0.0,"3-3",100.0,3,0,3,2,0,7
2024,18346,"Maryland","A. KUBEK",14,"F",27,"4-8",50.0,"1-4",25.0,"2-4",50.0,8,0,2,0,0,11
2024,18346,"Maryland","C. DALCE",15,"F",21,"5-8",62.5,"0-0",0.0,"3-4",75.0,10,2,3,1,0,13
2024,18346,"Maryland","E. FISHER",3,"G",6,"1-2",50.0,"0-0",0.0,"2-2",100.0,0,0,0,1,0,4
2024,18346,"Maryland","A. MCKENNIE",5,"G",9,"1-2",50.0,"0-0",0.0,"0-0",0.0,1,0,0,1,0,2
2024,18346,"Maryland","S. POFFENBARGER",6,"G",17,"3-7",42.9,"1-4",25.0,"0-0",0.0,7,1,5,1,2,7
2024,18346,"Maryland","M. MCLEAN",10,"G",12,"1-1",100.0,"0-0",0.0,"2-2",100.0,4,0,4,0,0,4
2024,18346,"Maryland","B. MCDANIEL",24,"G",20,"2-4",50.0,"0-1",0.0,"0-1",0.0,2,2,1,0,0,4
2024,18346,"Maryland","A. DEBERRY",42,"F",10,"1-1",100.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,2
2024,18281,"Maryland","S. SELLERS",0,"G",26,"2-9",22.2,"0-1",0.0,"2-2",100.0,2,5,1,2,0,6
2024,18281,"Maryland","S. TE-BIASU",1,"G",26,"4-8",50.0,"4-7",57.1,"0-0",0.0,2,3,2,0,0,12
2024,18281,"Maryland","K. SMIKLE",2,"G",21,"7-12",58.3,"4-6",66.7,"2-2",100.0,3,1,1,2,0,20
2024,18281,"Maryland","A. KUBEK",14,"F",17,"1-3",33.3,"0-1",0.0,"0-0",0.0,4,1,1,0,0,2
2024,18281,"Maryland","C. DALCE",15,"F",19,"2-3",66.7,"0-0",0.0,"0-1",0.0,4,0,1,1,1,4
2024,18281,"Maryland","E. FISHER",3,"G",4,"0-1",0.0,"0-0",0.0,"0-0",0.0,1,0,1,0,0,0
2024,18281,"Maryland","A. MCKENNIE",5,"G",12,"0-2",0.0,"0-0",0.0,"0-0",0.0,2,1,0,3,0,0
2024,18281,"Maryland","S. POFFENBARGER",6,"G",22,"2-8",25.0,"2-8",25.0,"0-0",0.0,10,2,2,0,1,6
2024,18281,"Maryland","M. MCLEAN",10,"G",22,"0-2",0.0,"0-0",0.0,"7-8",87.5,6,2,0,1,0,7
2024,18281,"Maryland","B. MCDANIEL",24,"G",18,"3-6",50.0,"0-2",0.0,"1-2",50.0,0,0,1,1,0,7
2024,18281,"Maryland","A. DEBERRY",42,"F",13,"3-5",60.0,"0-0",0.0,"0-0",0.0,0,1,3,0,0,6
2024,18281,"Coppin St.","T. HAMMOND",2,"G",27,"2-7",28.6,"2-7",28.6,"0-0",0.0,2,1,1,1,0,6
2024,18281,"Coppin St.","T. GRAY",5,"G",32,"1-6",16.7,"0-2",0.0,"0-0",0.0,3,1,3,1,0,2
2024,18281,"Coppin St.","A. JONES",11,"G",39,"3-12",25.0,"1-3",33.3,"2-2",100.0,4,3,2,3,0,9
2024,18281,"Coppin St.","D. MCTEER",21,"F",10,"1-2",50.0,"0-0",0.0,"1-2",50.0,4,0,1,0,0,3
2024,18281,"Coppin St.","L. LAWRENCE",31,"F",31,"6-13",46.2,"1-3",33.3,"3-5",60.0,10,2,7,3,1,16
2024,18281,"Coppin St.","K. MOORE",0,"G",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2024,18281,"Coppin St.","M. LOWRY",3,"G",12,"2-3",66.7,"1-2",50.0,"0-0",0.0,0,0,0,1,0,5
2024,18281,"Coppin St.","C. WORLEY",12,"G",6,"0-2",0.0,"0-2",0.0,"0-0",0.0,0,1,0,0,0,0
2024,18281,"Coppin St.","C. ROBERTS",15,"F",9,"2-3",66.7,"0-0",0.0,"0-0",0.0,2,0,0,0,0,4
