"source_id","file_id","period","clock_seconds","num_players","players_out","players_in","score_diff"
"2024-25","18282",3,311,2,"Shyanne Sellers, Mir McLean","Kaylene Smikle, Christina Dalce",0
"2024-25","18282",4,600,2,"Sarah Te-Biasu, Mir McLean","Shyanne Sellers, Christina Dalce",0
"2024-25","18282",4,365,2,"Kaylene Smikle, Allie Kubek","Sarah Te-Biasu, Saylor Poffenbarger",0
"2024-25","18282",4,171,2,"Kaylene Smikle, Mir McLean","Christina Dalce, Bri McDaniel",0
"2024-25","18283",1,423,2,"Kaylene Smikle, Allie Kubek","Saylor Poffenbarger, Bri McDaniel",0
"2024-25","18285",1,146,2,"Sarah Te-Biasu, Christina Dalce","Shyanne Sellers, Allie Kubek",0
"2024-25","18285",4,517,2,"Saylor Poffenbarger, Christina Dalce","Mir McLean, Amari DeBerry",0
"2024-25","18286",1,560,2,"Shyanne Sellers, Kaylene Smikle","Saylor Poffenbarger, Bri McDaniel",0
"2024-25","18286",4,478,2,"Kaylene Smikle, Mir McLean","Ava McKennie, Bri McDaniel",0
"2024-25","18289",1,350,2,"Kaylene Smikle, Christina Dalce","Allie Kubek, Bri McDaniel",0
"2024-25","18289",1,266,2,"Sarah Te-Biasu, Saylor Poffenbarger","Mir McLean, Christina Dalce",0
"2024-25","18289",1,84,2,"Mir McLean, Christina Dalce","Sarah Te-Biasu, Saylor Poffenbarger",0
"2024-25","18289",2,600,2,"Allie Kubek, Bri McDaniel","Shyanne Sellers, Christina Dalce",0
"2024-25","18289",3,137,2,"Shyanne Sellers, Kaylene Smikle","Sarah Te-Biasu, Bri McDaniel",0
"2024-25","18346",1,329,2,"Sarah Te-Biasu, Kaylene Smikle","Mir McLean, Bri McDaniel",0
"2024-25","18346",1,283,2,"Saylor Poffenbarger, Mir McLean","Kaylene Smikle, Allie Kubek",0
"2024-25","18346",2,600,2,"Shyanne Sellers, Amari DeBerry","Saylor Poffenbarger, Christina Dalce",0
"2024-25","18346",3,337,2,"Kaylene Smikle, Saylor Poffenbarger","Allie Kubek, Bri McDaniel",0
"2024-25","18347",1,334,2,"Kaylene Smikle, Saylor Poffenbarger","Mir McLean, Bri McDaniel",0
"2024-25","18347",1,229,2,"Kaylene Smikle, Allie Kubek","Shyanne Sellers, Amari DeBerry",0
"2024-25","18347",1,94,2,"Sarah Te-Biasu, Amari DeBerry","Kaylene Smikle, Allie Kubek",0
"2024-25","18347",2,600,2,"Mir McLean, Bri McDaniel","Sarah Te-Biasu, Christina Dalce",0
"2024-25","18347",2,503,2,"Sarah Te-Biasu, Kaylene Smikle","Saylor Poffenbarger, Bri McDaniel",0
"2024-25","18348",3,519,2,"Christina Dalce, Shyanne Sellers","Saylor Poffenbarger, Bri McDaniel",0
"2024-25","18349",1,331,2,"Kaylene Smikle, Allie Kubek","Mir McLean, Bri McDaniel",0
"2024-25","18349",1,217,2,"Sarah Te-Biasu, Allie Kubek","Shyanne Sellers, Amari DeBerry",0
"2024-25","18349",2,600,2,"Saylor Poffenbarger, Mir McLean","Christina Dalce, Bri McDaniel",0
"2024-25","18349",2,223,2,"Kaylene Smikle, Ava McKennie","Sarah Te-Biasu, Allie Kubek",0
"2024-25","18349",3,184,2,"Saylor Poffenbarger, Christina Dalce","Kaylene Smikle, Amari DeBerry",0
"2024-25","18349",4,284,2,"Kaylene Smikle, Saylor Poffenbarger","Mir McLean, Bri McDaniel",0
"2024-25","18350",1,344,2,"Saylor Poffenbarger, Allie Kubek","Kaylene Smikle, Mir McLean",0
"2024-25","18350",2,600,2,"Sarah Te-Biasu, Saylor Poffenbarger","Shyanne Sellers, Christina Dalce",0
"2024-25","18350",3,600,2,"Sarah Te-Biasu, Mir McLean","Saylor Poffenbarger, Allie Kubek",0
"2024-25","18350",4,397,2,"Sarah Te-Biasu, Allie Kubek","Christina Dalce, Bri McDaniel",0
"2024-25","18350",4,255,2,"Mir McLean, Kaylene Smikle","Saylor Poffenbarger, Sarah Te-Biasu",0
"2024-25","18351",1,461,2,"Shyanne Sellers, Christina Dalce","Allie Kubek, Bri McDaniel",0
"2024-25","18351",1,331,2,"Bri McDaniel, Sarah Te-Biasu","Kaylene Smikle, Shyanne Sellers",0
"2024-25","18351",1,253,2,"Saylor Poffenbarger, Mir McLean","Sarah Te-Biasu, Christina Dalce",0
"2024-25","18351",1,179,2,"Kaylene Smikle, Christina Dalce","Saylor Poffenbarger, Mir McLean",0
"2024-25","18351",2,487,2,"Sarah Te-Biasu, Christina Dalce","Shyanne Sellers, Allie Kubek",0
"2024-25","18351",3,600,2,"Ava McKennie, Mir McLean","Kaylene Smikle, Christina Dalce",0
"2024-25","18351",3,488,2,"Sarah Te-Biasu, Christina Dalce","Allie Kubek, Bri McDaniel",0
"2024-25","18351",4,26,2,"Bri McDaniel, Christina Dalce","Allie Kubek, Sarah Te-Biasu",0
"2024-25","18351",4,21,2,"Allie Kubek, Sarah Te-Biasu","Christina Dalce, Bri McDaniel",0
"2024-25","18352",2,489,2,"Shyanne Sellers, Christina Dalce","Saylor Poffenbarger, Bri McDaniel",0
"2024-25","18352",4,420,2,"Shyanne Sellers, Kaylene Smikle","Sarah Te-Biasu, Saylor Poffenbarger",0
"2024-25","18353",1,260,2,"Sarah Te-Biasu, Allie Kubek","Christina Dalce, Bri McDaniel",0
"2024-25","18353",3,600,2,"Mir McLean, Bri McDaniel","Shyanne Sellers, Saylor Poffenbarger",0
"2024-25","18353",4,600,2,"Shyanne Sellers, Bri McDaniel","Sarah Te-Biasu, Kaylene Smikle",0
"2024-25","18354",1,378,2,"Kaylene Smikle, Saylor Poffenbarger","Sarah Te-Biasu, Allie Kubek",0
"2024-25","18354",2,600,2,"Shyanne Sellers, Mir McLean","Sarah Te-Biasu, Saylor Poffenbarger",0
"2024-25","18354",2,501,2,"Sarah Te-Biasu, Kaylene Smikle","Shyanne Sellers, Allie Kubek",0
"2024-25","18354",3,600,2,"Ava McKennie, Mir McLean","Christina Dalce, Bri McDaniel",0
"2024-25","18355",2,600,2,"Ava McKennie, Mir McLean","Shyanne Sellers, Allie Kubek",0
"2024-25","18356",2,600,2,"Christina Dalce, Bri McDaniel","Kaylene Smikle, Saylor Poffenbarger",0
"2024-25","18356",2,327,2,"Saylor Poffenbarger, Christina Dalce","Mir McLean, Allie Kubek",0
"2024-25","18356",4,19,2,"Sarah Te-Biasu, Allie Kubek","Mir McLean, Christina Dalce",0
"2024-25","18357",1,444,2,"Saylor Poffenbarger, Christina Dalce","Mir McLean, Allie Kubek",0
"2024-25","18357",1,266,2,"Sarah Te-Biasu, Allie Kubek","Saylor Poffenbarger, Christina Dalce",0
"2024-25","18357",4,600,2,"Saylor Poffenbarger, Allie Kubek","Kaylene Smikle, Amari DeBerry",0
"2024-25","18358",3,600,2,"Ava McKennie, Mir McLean","Kaylene Smikle, Christina Dalce",0
"2024-25","18359",2,540,2,"Amari DeBerry, Allie Kubek","Christina Dalce, Amari DeBerry",0
"2024-25","18359",4,146,2,"Saylor Poffenbarger, Christina Dalce","Emily Fisher, Amari DeBerry",0
"2024-25","18360",1,146,2,"Sarah Te-Biasu, Saylor Poffenbarger","Shyanne Sellers, Ava McKennie",0
"2024-25","18360",2,256,2,"Kaylene Smikle, Amari DeBerry","Shyanne Sellers, Allie Kubek",0
"2024-25","18360",3,600,2,"Ava McKennie, Allie Kubek","Shyanne Sellers, Saylor Poffenbarger",0
"2024-25","18360",3,305,2,"Kaylene Smikle, Christina Dalce","Saylor Poffenbarger, Mir McLean",0
"2024-25","18360",3,158,2,"Allie Kubek, Ava McKennie","Christina Dalce, Kaylene Smikle",0
"2024-25","18360",3,40,2,"Shyanne Sellers, Saylor Poffenbarger","Mir McLean, Allie Kubek",0
"2024-25","18360",4,600,2,"Mir McLean, Allie Kubek","Shyanne Sellers, Saylor Poffenbarger",0
"2024-25","18360",4,38,2,"Shyanne Sellers, Kaylene Smikle","Ava McKennie, Allie Kubek",0
"2024-25","18360",4,35,2,"Ava McKennie, Allie Kubek","Shyanne Sellers, Kaylene Smikle",0
"2024-25","18360",4,16,2,"Shyanne Sellers, Kaylene Smikle","Ava McKennie, Allie Kubek",0
"2024-25","18361",1,268,2,"Christina Dalce, Amari DeBerry","Sarah Te-Biasu, Allie Kubek",0
"2024-25","18361",2,438,2,"Saylor Poffenbarger, Christina Dalce","Shyanne Sellers, Emily Fisher",0
"2024-25","18361",2,259,2,"Kaylene Smikle, Allie Kubek","Saylor Poffenbarger, Mir McLean",0
"2024-25","18361",3,303,2,"Allie Kubek, Kaylene Smikle","Christina Dalce, Sarah Te-Biasu",0
"2024-25","18363",1,329,2,"Kaylene Smikle, Allie Kubek","Emily Fisher, Christina Dalce",0
"2024-25","18363",1,247,2,"Shyanne Sellers, Christina Dalce","Kaylene Smikle, Allie Kubek",0
"2024-25","18363",2,429,2,"Mir McLean, Christina Dalce","Sarah Te-Biasu, Kaylene Smikle",0
"2024-25","18363",3,198,2,"Kaylene Smikle, Allie Kubek","Shyanne Sellers, Christina Dalce",0
"2024-25","18363",3,119,2,"Shyanne Sellers, Christina Dalce","Kaylene Smikle, Allie Kubek",0
"2024-25","18364",1,375,2,"Kaylene Smikle, Allie Kubek","Emily Fisher, Christina Dalce",0
"2024-25","18364",2,600,2,"Emily Fisher, Allie Kubek","Sarah Te-Biasu, Christina Dalce",0
"2024-25","18364",2,230,2,"Shyanne Sellers, Mir McLean","Kaylene Smikle, Saylor Poffenbarger",0
"2024-25","18364",4,600,2,"Shyanne Sellers, Mir McLean","Saylor Poffenbarger, Allie Kubek",0
"2024-25","18364",4,20,2,"Shyanne Sellers, Allie Kubek","Emily Fisher, Christina Dalce",0
"2024-25","18364",4,19,2,"Emily Fisher, Christina Dalce","Shyanne Sellers, Allie Kubek",0
"2024-25","18365",2,319,2,"Shyanne Sellers, Christina Dalce","Mir McLean, Allie Kubek",0
"2024-25","18365",2,236,2,"Sarah Te-Biasu, Mir McLean","Shyanne Sellers, Christina Dalce",0
"2024-25","18365",4,390,2,"Sarah Te-Biasu, Kaylene Smikle","Ava McKennie, Saylor Poffenbarger",0
"2024-25","18366",2,138,2,"Ava McKennie, Mir McLean","Allie Kubek, Ava McKennie",0
"2024-25","18366",3,600,2,"Ava McKennie, Allie Kubek","Mir McLean, Christina Dalce",0
"2024-25","18366",4,600,2,"Kaylene Smikle, Allie Kubek","Mir McLean, Christina Dalce",0
"2024-25","18367",2,348,2,"Shyanne Sellers, Mir McLean","Emily Fisher, Allie Kubek",0
"2024-25","18368",1,331,2,"Sarah Te-Biasu, Allie Kubek","Shyanne Sellers, Amari DeBerry",0
"2024-25","18368",1,106,2,"Mir McLean, Amari DeBerry","Kaylene Smikle, Allie Kubek",0
"2024-25","18368",2,120,2,"Emily Fisher, Amari DeBerry","Shyanne Sellers, Christina Dalce",0
"2024-25","18368",3,166,2,"Christina Dalce, Amari DeBerry","Shyanne Sellers, Allie Kubek",0
"2024-25","18368",3,7,2,"Shyanne Sellers, Allie Kubek","Mir McLean, Amari DeBerry",0
"2024-25","18368",4,600,2,"Kaylene Smikle, Amari DeBerry","Shyanne Sellers, Allie Kubek",0
"2024-25","18369",1,200,2,"Allie Kubek, Christina Dalce","Shyanne Sellers, Amari DeBerry",0
"2024-25","18370",1,314,2,"Shyanne Sellers, Allie Kubek","Saylor Poffenbarger, Amari DeBerry",0
"2024-25","18370",1,212,2,"Saylor Poffenbarger, Amari DeBerry","Kaylene Smikle, Allie Kubek",0
"2024-25","18370",2,600,2,"Shyanne Sellers, Mir McLean","Emily Fisher, Christina Dalce",0
"2024-25","18370",2,409,2,"Emily Fisher, Allie Kubek","Shyanne Sellers, Mir McLean",0
"2024-25","18370",3,600,2,"Ava McKennie, Saylor Poffenbarger","Shyanne Sellers, Kaylene Smikle",0
"2024-25","18370",3,395,2,"Shyanne Sellers, Allie Kubek","Ava McKennie, Saylor Poffenbarger",0
"2024-25","18370",3,249,2,"Saylor Poffenbarger, Mir McLean","Shyanne Sellers, Kaylene Smikle",0
"2024-25","18371",1,288,2,"Shyanne Sellers, Allie Kubek","Kaylene Smikle, Saylor Poffenbarger",0
"2024-25","18372",1,70,2,"Sarah Te-Biasu, Allie Kubek","Shyanne Sellers, Amari DeBerry",0
"2024-25","18372",2,600,2,"Saylor Poffenbarger, Amari DeBerry","Sarah Te-Biasu, Christina Dalce",0
"2024-25","18372",2,356,2,"Shyanne Sellers, Allie Kubek","Mir McLean, Amari DeBerry",0
"2024-25","18372",2,298,2,"Saylor Poffenbarger, Amari DeBerry","Shyanne Sellers, Allie Kubek",0
"2024-25","18372",2,182,2,"Kaylene Smikle, Allie Kubek","Saylor Poffenbarger, Amari DeBerry",0
"2024-25","18372",2,125,2,"Saylor Poffenbarger, Mir McLean","Kaylene Smikle, Saylor Poffenbarger",0
"2024-25","18372",3,600,2,"Saylor Poffenbarger, Mir McLean","Kaylene Smikle, Allie Kubek",0
"2024-25","18372",3,195,2,"Allie Kubek, Christina Dalce","Shyanne Sellers, Saylor Poffenbarger",0
"2024-25","18372",4,25,2,"Sarah Te-Biasu, Saylor Poffenbarger","Mir McLean, Amari DeBerry",0
"2024-25","18372",4,21,2,"Mir McLean, Amari DeBerry","Sarah Te-Biasu, Saylor Poffenbarger",0
"2024-25","18730",1,354,2,"Kaylene Smikle, Allie Kubek","Saylor Poffenbarger, Mir McLean",0
"2024-25","18730",1,284,2,"Shyanne Sellers, Christina Dalce","Kaylene Smikle, Allie Kubek",0
"2024-25","18730",2,600,2,"Saylor Poffenbarger, Mir McLean","Kaylene Smikle, Christina Dalce",0
"2024-25","18730",3,600,2,"Saylor Poffenbarger, Mir McLean","Shyanne Sellers, Christina Dalce",0
"2024-25","18730",3,0,2,"Amari DeBerry, Saylor Poffenbarger","Saylor Poffenbarger, Amari DeBerry",0
