"source_id","file_id","period","time_remaining","team","play_type","play_action","narrative","player_name","player_number","home_team_score","visiting_team_score","play_id","seconds_elapsed","home_score_running","visiting_score_running","margin","points","assist_by","blocked_by"
2020,12076,1,586,"Maryland","3PTR","MISS","11 Katie Benzan 3PTR MISS","Katie Benzan",11.0,"","","0+F8F14A25",14,0,0,0,0,"",""
2020,12076,1,583,"Maryland","OFF","REBOUND","01 Diamond Miller OFF. REBOUND (1 Reb, 1 Off)","Diamond Miller",1.0,"","","1+1C86B857",17,0,0,0,0,"",""
2020,12076,1,582,"Davidson","FOUL","FOUL","14 Cassidy Gould FOUL (1 PF)","Cassidy Gould",14.0,"","","2+FB416CD8",18,0,0,0,0,"",""
2020,12076,1,582,"Maryland","FT","GOOD","01 Diamond Miller FT GOOD (1 Pt)","Diamond Miller",1.0,0.0,1.0,"3+6DE561F6",18,0,1,-1,1,"",""
2020,12076,1,582,"Maryland","FT","GOOD","01 Diamond Miller FT GOOD (2 Pt)","Diamond Miller",1.0,0.0,2.0,"4+BCF2C9F8",18,0,2,-2,1,"",""
2020,12076,1,573,"Davidson","3PTR","MISS","14 Cassidy Gould 3PTR MISS; 10 Angel Reese BLOCK (1 Blk)","Cassidy Gould",14.0,"","","5+40D6C14A",27,0,2,-2,0,"","Angel Reese"
2020,12076,1,568,"Davidson","OFF","REBOUND","14 Cassidy Gould OFF. REBOUND (1 Reb, 1 Off)","Cassidy Gould",14.0,"","","7+6A5F9E92",32,0,2,-2,0,"",""
2020,12076,1,559,"Maryland","FOUL","FOUL","11 Katie Benzan FOUL (1 PF)","Katie Benzan",11.0,"","","8+5A6FC4B7",41,0,2,-2,0,"",""
2020,12076,1,551,"Davidson","TURNOVER","TURNOVER","14 Cassidy Gould TURNOVER (1 TO)","Cassidy Gould",14.0,"","","9+B5835302",49,0,2,-2,0,"",""
2020,12076,1,541,"Maryland","LAYUP","GOOD","10 Angel Reese LAYUP GOOD (2 Pt)","Angel Reese",10.0,0.0,4.0,"10+1A9EF0C2",59,0,4,-4,2,"",""
2020,12076,1,534,"Davidson","3PTR","MISS","02 Chloe Welch 3PTR MISS","Chloe Welch",2.0,"","","11+1427E7C2",66,0,4,-4,0,"",""
2020,12076,1,531,"Davidson","OFF","REBOUND","21 Peyton Carter OFF. REBOUND (1 Reb, 1 Off)","Peyton Carter",21.0,"","","12+2D6EDC21",69,0,4,-4,0,"",""
2020,12076,1,530,"Davidson","LAYUP","GOOD","21 Peyton Carter LAYUP GOOD (2 Pt)","Peyton Carter",21.0,2.0,4.0,"13+7EBAEA51",70,2,4,-2,2,"",""
2020,12076,1,484,"Maryland","LAYUP","MISS","15 Ashley Owusu LAYUP MISS","Ashley Owusu",15.0,"","","14+99AB379A",116,2,4,-2,0,"",""
