assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Ashley Owusu,Katie Benzan,41,119,2.9,37,4,3,1,0
Ashley Owusu,Chloe Bibby,40,98,2.45,18,22,14,8,0
Ashley Owusu,Diamond Miller,30,72,2.4,12,18,12,6,0
Ashley Owusu,Mimi Collins,23,48,2.09,2,21,7,14,0
Katie Benzan,Chloe Bibby,22,56,2.55,12,10,6,4,0
Diamond Miller,Mimi Collins,22,48,2.18,4,18,10,8,0
Diamond Miller,Chloe Bibby,20,51,2.55,11,9,6,3,0
Katie Benzan,Ashley Owusu,19,40,2.11,2,17,9,8,0
Chloe Bibby,Mimi Collins,16,33,2.06,1,15,6,9,0
Katie Benzan,Mimi Collins,15,35,2.33,5,10,6,4,0
Katie Benzan,Diamond Miller,15,35,2.33,5,10,5,5,0
Faith Masonius,Diamond Miller,14,30,2.14,2,12,9,3,0
Ashley Owusu,Faith Masonius,13,27,2.08,1,12,9,3,0
Katie Benzan,Faith Masonius,12,24,2.0,0,12,6,6,0
Mimi Collins,Ashley Owusu,12,25,2.08,1,11,7,4,0
Faith Masonius,Ashley Owusu,10,21,2.1,1,9,6,3,0
Chloe Bibby,Diamond Miller,10,21,2.1,1,9,6,3,0
Diamond Miller,Ashley Owusu,10,22,2.2,2,8,5,3,0
Diamond Miller,Katie Benzan,10,29,2.9,9,1,0,1,0
Faith Masonius,Mimi Collins,9,19,2.11,1,8,4,4,0
Chloe Bibby,Katie Benzan,9,26,2.89,8,1,1,0,0
Channise Lewis,Mimi Collins,8,17,2.12,1,7,5,2,0
Faith Masonius,Katie Benzan,8,22,2.75,6,2,2,0,0
Faith Masonius,Chloe Bibby,8,17,2.12,1,7,5,2,0
Mimi Collins,Diamond Miller,8,19,2.38,3,5,3,2,0
Channise Lewis,Chloe Bibby,7,20,2.86,6,1,1,0,0
Ashley Owusu,Alaysia Styles,7,14,2.0,0,7,4,3,0
Faith Masonius,Alaysia Styles,7,14,2.0,0,7,5,2,0
Mimi Collins,Faith Masonius,6,12,2.0,0,6,6,0,0
Diamond Miller,Angel Reese,6,12,2.0,0,6,6,0,0
Ashley Owusu,Angel Reese,6,13,2.17,1,5,5,0,0
Channise Lewis,Katie Benzan,6,18,3.0,6,0,0,0,0
Mimi Collins,Katie Benzan,6,18,3.0,6,0,0,0,0
Diamond Miller,Faith Masonius,6,14,2.33,2,4,2,2,0
Chloe Bibby,Alaysia Styles,6,12,2.0,0,6,4,2,0
Angel Reese,Alaysia Styles,6,12,2.0,0,6,5,1,0
Chloe Bibby,Ashley Owusu,5,11,2.2,1,4,2,2,0
Channise Lewis,Faith Masonius,4,8,2.0,0,4,2,2,0
Channise Lewis,Diamond Miller,4,12,3.0,4,0,0,0,0
Chloe Bibby,Faith Masonius,4,8,2.0,0,4,4,0,0
Mimi Collins,Chloe Bibby,4,10,2.5,2,2,1,1,0
Ashley Owusu,Taisiya Kozlova,4,9,2.25,1,3,3,0,0
Faith Masonius,Angel Reese,4,8,2.0,0,4,4,0,0
Chloe Bibby,Angel Reese,3,6,2.0,0,3,3,0,0
Katie Benzan,Angel Reese,3,6,2.0,0,3,3,0,0
Diamond Miller,Taisiya Kozlova,3,9,3.0,3,0,0,0,0
Alaysia Styles,Diamond Miller,3,8,2.67,2,1,0,1,0
Diamond Miller,Alaysia Styles,3,6,2.0,0,3,3,0,0
Zoe Young,Alaysia Styles,3,6,2.0,0,3,2,1,0
Zoe Young,Taisiya Kozlova,3,7,2.33,1,2,2,0,0
Angel Reese,Faith Masonius,3,6,2.0,0,3,3,0,0
Chloe Bibby,Channise Lewis,2,5,2.5,1,1,1,0,0
Angel Reese,Chloe Bibby,2,5,2.5,1,1,1,0,0
Katie Benzan,Channise Lewis,2,5,2.5,1,1,1,0,0
Angel Reese,Katie Benzan,2,6,3.0,2,0,0,0,0
Angel Reese,Diamond Miller,2,4,2.0,0,2,1,1,0
Diamond Miller,Channise Lewis,2,6,3.0,2,0,0,0,0
Channise Lewis,Ashley Owusu,2,5,2.5,1,1,0,1,0
Katie Benzan,Alaysia Styles,2,4,2.0,0,2,2,0,0
Alaysia Styles,Katie Benzan,2,6,3.0,2,0,0,0,0
Katie Benzan,Taisiya Kozlova,2,6,3.0,2,0,0,0,0
Taisiya Kozlova,Diamond Miller,2,5,2.5,1,1,1,0,0
Zoe Young,Angel Reese,2,4,2.0,0,2,0,2,0
Zoe Young,Faith Masonius,2,4,2.0,0,2,1,1,0
Zoe Young,Ashley Owusu,2,5,2.5,1,1,0,1,0
Taisiya Kozlova,Angel Reese,1,2,2.0,0,1,0,1,0
Angel Reese,Channise Lewis,1,3,3.0,1,0,0,0,0
Ashley Owusu,Channise Lewis,1,3,3.0,1,0,0,0,0
Faith Masonius,Channise Lewis,1,3,3.0,1,0,0,0,0
Faith Masonius,Taisiya Kozlova,1,3,3.0,1,0,0,0,0
Mimi Collins,Channise Lewis,1,2,2.0,0,1,0,1,0
Alaysia Styles,Ashley Owusu,1,2,2.0,0,1,1,0,0
Faith Masonius,Zoe Young,1,2,2.0,0,1,1,0,0
Taisiya Kozlova,Mimi Collins,1,2,2.0,0,1,0,1,0
Katie Benzan,Zoe Young,1,3,3.0,1,0,0,0,0
Alaysia Styles,Chloe Bibby,1,3,3.0,1,0,0,0,0
