scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Chloe Bibby,105,9,53,52,263,2.5
Mimi Collins,94,7,14,80,202,2.15
Diamond Miller,88,9,30,58,206,2.34
Katie Benzan,85,9,77,8,247,2.91
Ashley Owusu,62,9,9,53,133,2.15
Faith Masonius,50,8,3,47,103,2.06
Alaysia Styles,34,7,0,34,68,2.0
Angel Reese,26,8,1,25,53,2.04
Taisiya Kozlova,14,6,8,6,36,2.57
Channise Lewis,10,7,7,3,27,2.7
Zoe Young,5,5,3,2,13,2.6
