"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2020-21","Alaysia Styles",18,12,66.7,6,2,33.3,75,45,60.0
"2020-21","Angel Reese",17,8,47.1,23,10,43.5,107,50,46.7
"2020-21","Ashley Owusu",82,32,39.0,81,40,49.4,391,196,50.1
"2020-21","Channise Lewis",4,2,50.0,3,2,66.7,32,17,53.1
"2020-21","Chloe Bibby",49,20,40.8,66,23,34.8,284,128,45.1
"2020-21","Diamond Miller",61,25,41.0,70,41,58.6,341,172,50.4
"2020-21","Faith Masonius",32,16,50.0,15,9,60.0,144,79,54.9
"2020-21","Katie Benzan",48,26,54.2,53,25,47.2,238,119,50.0
"2020-21","Mimi Collins",51,26,51.0,37,19,51.4,222,117,52.7
"2020-21","Taisiya Kozlova",3,0,0.0,1,0,0.0,37,16,43.2
"2020-21","TEAM",365,167,45.8,355,171,48.2,1893,946,50.0
