"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2020-21","Ashley Owusu",28,863.0,297.0,1972,1517,21.1,660,483,23.8,-2.7,455
"2020-21","Katie Benzan",28,861.6,298.4,1994,1459,24.8,638,541,13.0,11.8,535
"2020-21","Chloe Bibby",28,830.6,329.4,1956,1467,23.5,676,533,17.4,6.2,489
"2020-21","Diamond Miller",28,772.3,387.7,1808,1311,25.7,824,689,13.9,11.8,497
"2020-21","Mimi Collins",28,684.9,475.1,1553,1157,23.1,1079,843,19.9,3.3,396
"2020-21","Faith Masonius",28,593.5,566.5,1354,993,24.3,1278,1007,19.1,5.2,361
"2020-21","Alaysia Styles",20,318.0,842.0,657,518,17.5,1975,1482,23.4,-5.9,139
"2020-21","Angel Reese",15,228.7,931.3,519,398,21.2,2113,1602,21.9,-0.8,121
"2020-21","Taisiya Kozlova",20,193.2,966.8,390,340,10.4,2242,1660,24.1,-13.7,50
"2020-21","Channise Lewis",9,160.7,999.3,390,325,16.2,2242,1675,22.7,-6.5,65
"2020-21","Zoe Young",15,98.3,1061.7,191,176,6.1,2441,1824,23.2,-17.1,15
