assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Ashley Owusu,166,10,73,93,405,2.44
Katie Benzan,93,10,28,65,214,2.3
Diamond Miller,83,10,34,49,200,2.41
Faith Masonius,63,10,13,50,139,2.21
Chloe Bibby,55,8,12,43,122,2.22
Mimi Collins,37,6,12,25,86,2.32
Channise Lewis,31,6,18,13,80,2.58
Angel Reese,17,7,4,13,38,2.24
Zoe Young,14,7,4,10,32,2.29
Alaysia Styles,10,7,6,4,26,2.6
Taisiya Kozlova,4,3,1,3,9,2.25
