"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2025-26","Yarden Garzon",33,1063.6,281.4,2169,1696,17.8,546,405,20.0,-2.3,473
"2025-26","Saylor Poffenbarger",31,927.3,417.7,1860,1536,14.0,855,565,27.8,-13.8,324
"2025-26","Oluchi Okananwa",33,886.8,458.2,1868,1424,20.0,847,677,14.8,5.2,444
"2025-26","Addi Mack",31,837.9,507.1,1690,1387,14.5,1025,714,24.5,-10.1,303
"2025-26","Kyndal Walker",32,721.6,623.4,1407,1109,16.5,1308,992,20.3,-3.8,298
"2025-26","Isimenme Ozzy-Momodu",31,567.5,777.5,1136,851,20.1,1579,1250,16.9,3.2,285
"2025-26","Mir McLean",32,463.4,881.6,928,718,18.1,1787,1383,18.3,-0.2,210
"2025-26","Marya Boiko",29,373.1,972.0,745,516,24.6,1970,1585,15.8,8.7,229
"2025-26","Rainey Welson",25,315.5,1029.5,600,500,12.7,2115,1601,20.0,-7.3,100
"2025-26","Breanna Williams",24,247.2,1097.8,461,353,17.5,2254,1748,18.4,-1.0,108
"2025-26","Kaylene Smikle",7,122.7,1222.3,301,182,38.8,2414,1919,16.2,22.6,119
"2025-26","Lea Bartelme",4,79.7,1265.3,197,102,47.7,2518,1999,16.4,31.3,95
"2025-26","Ava McKennie",7,71.5,1273.5,134,88,25.7,2581,2013,17.8,7.9,46
"2025-26","Nicole Fritea",12,53.7,1291.3,95,52,32.0,2620,2049,17.7,14.3,43
