"source_id","file_id","team","period","points","fgm","fga","tpm","tpa","ftm","fta","offensive_rebounds","defensive_rebounds","rebounds","assists","turnovers","steals","blocks","personal_fouls","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench"
"2025-26","18869","Maryland",1,21,6,17,2,7,7,7,3,7,10,5,4,3,0,2,8,8,9,2,2
"2025-26","18869","Maryland",2,18,6,17,2,4,4,4,3,6,9,2,3,5,0,1,4,2,2,3,0
"2025-26","18869","Maryland",3,21,7,13,4,8,3,3,0,5,5,5,4,3,1,5,4,10,8,0,0
"2025-26","18869","Maryland",4,14,3,15,1,5,7,9,7,5,12,1,2,0,0,3,4,0,2,2,2
"2025-26","18869","Kentucky",1,12,5,15,0,3,2,2,3,8,11,1,7,2,1,4,10,2,2,0,2
"2025-26","18869","Kentucky",2,16,6,15,4,11,0,0,2,8,10,6,7,1,3,4,4,3,2,0,5
"2025-26","18869","Kentucky",3,17,6,11,3,5,2,4,1,6,7,5,6,2,0,2,4,10,0,0,3
"2025-26","18869","Kentucky",4,21,8,17,3,9,2,2,4,6,10,4,0,0,2,7,8,3,2,8,5
"2025-26","18870","Hofstra",1,6,3,8,0,3,0,0,0,0,0,1,9,4,0,6,4,4,2,0,4
"2025-26","18870","Hofstra",2,13,5,14,3,7,0,0,3,5,8,3,6,1,0,2,4,0,0,0,7
"2025-26","18870","Hofstra",3,9,4,11,1,3,0,2,2,2,4,1,6,1,0,5,6,2,0,2,5
"2025-26","18870","Hofstra",4,10,2,10,0,4,6,6,0,5,5,2,3,0,0,7,4,0,0,0,8
"2025-26","18870","Maryland",1,29,9,12,3,5,8,10,4,5,9,7,5,6,1,0,10,11,5,9,12
"2025-26","18870","Maryland",2,24,10,17,4,8,0,0,2,6,8,6,2,2,1,3,12,15,2,4,11
"2025-26","18870","Maryland",3,23,7,13,1,4,8,10,5,6,11,5,3,4,1,1,12,10,12,2,10
"2025-26","18870","Maryland",4,19,6,13,1,3,6,12,4,8,12,4,0,2,0,4,8,5,6,5,17
"2025-26","18928","Maryland",1,18,8,16,2,6,0,0,3,4,7,6,5,4,1,1,10,11,0,2,6
"2025-26","18928","Maryland",2,20,6,10,4,5,4,4,0,11,11,4,5,4,2,3,4,4,7,0,6
"2025-26","18928","Maryland",3,30,10,18,3,6,7,11,6,9,15,8,3,6,0,5,14,12,4,11,18
"2025-26","18928","Maryland",4,12,3,9,1,4,5,6,1,5,6,2,5,4,0,2,4,8,3,2,5
"2025-26","18928","Loyola Maryland",1,11,4,8,3,4,0,0,0,4,4,4,8,1,0,0,2,3,3,0,3
"2025-26","18928","Loyola Maryland",2,4,2,16,0,4,0,0,3,4,7,0,5,0,0,3,4,0,0,0,0
"2025-26","18928","Loyola Maryland",3,6,1,11,0,6,4,6,2,4,6,1,7,2,1,8,2,3,0,0,3
"2025-26","18928","Loyola Maryland",4,5,2,10,1,5,0,0,3,5,8,1,9,2,0,5,2,0,0,0,5
"2025-26","18929","Maryland",1,21,10,17,1,7,0,0,3,5,8,6,3,3,0,3,16,7,4,4,7
"2025-26","18929","Maryland",2,19,7,17,1,8,4,4,5,3,8,3,4,6,0,3,8,8,2,4,8
"2025-26","18929","Maryland",3,27,10,17,5,8,2,6,6,9,15,9,5,1,0,5,10,6,3,7,1
"2025-26","18929","Maryland",4,20,5,8,1,3,9,10,0,9,9,5,6,1,2,6,8,2,8,0,13
"2025-26","18929","Umbc",1,14,5,12,2,5,2,2,2,4,6,3,6,1,2,4,4,3,2,5,8
"2025-26","18929","Umbc",2,14,5,8,2,3,2,2,0,5,5,2,9,2,0,6,4,2,3,0,10
"2025-26","18929","Umbc",3,10,3,14,0,1,4,4,1,3,4,0,3,3,2,4,4,4,0,2,4
"2025-26","18929","Umbc",4,16,6,16,1,4,3,3,1,3,4,2,3,3,0,7,10,4,2,0,9
"2025-26","18930","Maryland",1,16,6,13,1,4,3,4,3,8,11,3,9,4,1,8,8,7,5,2,10
"2025-26","18930","Maryland",2,15,4,18,0,8,7,9,9,3,12,2,4,2,0,8,8,4,0,3,5
"2025-26","18930","Maryland",3,20,6,16,1,4,7,9,6,2,8,2,2,2,1,1,8,11,2,3,4
"2025-26","18930","Maryland",4,34,14,19,3,5,3,3,4,10,14,6,2,3,0,6,22,6,14,7,17
"2025-26","18930","Georgetown",1,13,2,15,0,6,9,10,5,4,9,1,5,3,0,5,2,4,0,3,9
"2025-26","18930","Georgetown",2,23,6,10,4,6,7,8,1,5,6,3,4,0,1,8,4,10,3,0,3
"2025-26","18930","Georgetown",3,21,9,14,3,6,0,1,3,6,9,3,5,1,1,7,10,0,3,2,5
"2025-26","18930","Georgetown",4,9,2,11,1,4,4,9,2,1,3,1,4,2,0,4,2,0,0,3,1
"2025-26","18931","Maryland",1,23,10,21,1,5,2,5,7,9,16,5,4,3,3,3,16,6,2,7,4
"2025-26","18931","Maryland",2,28,11,15,3,3,3,3,2,9,11,7,6,2,3,4,16,3,3,0,18
"2025-26","18931","Maryland",3,17,7,21,2,5,1,2,8,7,15,4,6,2,0,4,6,2,5,6,13
"2025-26","18931","Maryland",4,20,5,12,1,2,9,10,4,6,10,3,6,4,1,7,6,5,5,6,15
