"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2025.0,18931.0,"Maryland",88,"33-69","47.8%","7-15","46.7%","15-20","75.0%",52,19,11,7,22,18
2025.0,18931.0,"Towson",70,"28-66","42.4%","6-22","27.3%","8-9","88.9%",24,10,10,6,18,15
2025.0,18930.0,"Maryland",85,"30-66","45.5%","5-21","23.8%","20-25","80.0%",45,13,11,2,17,23
2025.0,18930.0,"Georgetown",66,"19-50","38.0%","8-22","36.4%","20-28","71.4%",27,8,6,2,18,24
2025.0,18929.0,"Maryland",87,"32-59","54.2%","8-26","30.8%","15-20","75.0%",40,23,11,2,18,17
2025.0,18929.0,"Umbc",54,"19-50","38.0%","5-13","38.5%","11-11","100.0%",19,7,9,4,21,21
2025.0,18928.0,"Maryland",80,"27-53","50.9%","10-21","47.6%","16-21","76.2%",39,20,18,3,18,11
2025.0,18928.0,"Loyola Maryland",26,"9-45","20.0%","4-19","21.1%","4-6","66.7%",25,6,5,1,29,16
2025.0,18932.0,"Maryland",84,"29-61","47.5%","9-21","42.9%","17-18","94.4%",39,16,10,1,16,13
2025.0,18932.0,"Princeton",68,"25-60","41.7%","9-22","40.9%","9-14","64.3%",28,13,11,3,15,17
2025.0,19716.0,"Maryland",95,"37-63","58.7%","6-17","35.3%","15-22","68.2%",43,16,15,6,18,13
2025.0,19716.0,"Bethune-Cookman",49,"18-54","33.3%","6-19","31.6%","7-10","70.0%",24,8,5,1,26,18
2025.0,18933.0,"Maryland",84,"32-71","45.1%","2-17","11.8%","18-21","85.7%",46,13,10,5,20,16
2025.0,18933.0,"George Mason",62,"25-58","43.1%","6-18","33.3%","6-8","75.0%",28,9,10,3,21,21
2025.0,18869.0,"Maryland",74,"22-62","35.5%","9-24","37.5%","21-23","91.3%",36,13,11,1,13,11
2025.0,18869.0,"Kentucky",66,"25-58","43.1%","10-28","35.7%","6-8","75.0%",38,16,5,6,20,17
2025.0,18870.0,"Hofstra",38,"14-43","32.6%","4-17","23.5%","6-8","75.0%",17,7,6,0,24,20
2025.0,18870.0,"Maryland",95,"32-55","58.2%","9-20","45.0%","22-32","68.8%",40,22,14,3,10,8
2025.0,18934.0,"Maryland",92,"36-64","56.3%","6-18","33.3%","14-22","63.6%",46,25,11,7,17,8
2025.0,18934.0,"Mount St. Mary's",44,"18-61","29.5%","5-24","20.8%","3-5","60.0%",30,4,11,3,22,22
2025.0,19740.0,"Minnesota",99,"28-77","36.4%","12-30","40.0%","31-40","77.5%",53,21,10,5,19,18
2025.0,19740.0,"Maryland",100,"38-86","44.2%","9-25","36.0%","15-20","75.0%",50,20,10,4,18,29
2025.0,18935.0,"Maryland",91,"32-67","47.8%","5-14","35.7%","22-27","81.5%",46,19,14,7,9,11
2025.0,18935.0,"Delaware St.",21,"7-38","18.4%","1-5","20.0%","6-12","50.0%",21,2,4,4,30,27
2025.0,18936.0,"Maryland",98,"39-79","49.4%","8-24","33.3%","12-19","63.2%",57,23,14,7,9,10
2025.0,18936.0,"Central Conn. St.",30,"12-63","19.0%","3-22","13.6%","3-4","75.0%",37,5,4,3,26,16
2025.0,19741.0,"Maryland",97,"31-64","48.4%","8-27","29.6%","27-33","81.8%",51,13,14,2,20,17
2025.0,19741.0,"Wisconsin",59,"20-66","30.3%","5-28","17.9%","14-17","82.4%",28,8,7,4,23,26
2025.0,19742.0,"Illinois",73,"24-63","38.1%","5-14","35.7%","20-23","87.0%",30,11,7,5,12,18
2025.0,19742.0,"Maryland",70,"25-59","42.4%","1-12","8.3%","19-25","76.0%",39,12,3,1,18,22
2025.0,19743.0,"Maryland",82,"30-63","47.6%","6-20","30.0%","16-19","84.2%",32,19,7,1,11,17
2025.0,19743.0,"Indiana",67,"23-49","46.9%","9-21","42.9%","12-15","80.0%",26,12,1,0,21,19
2025.0,19744.0,"Rutgers",41,"11-55","20.0%","3-16","18.8%","16-22","72.7%",31,10,6,5,20,18
2025.0,19744.0,"Maryland",88,"29-60","48.3%","16-25","64.0%","14-19","73.7%",49,23,9,5,18,22
2025.0,19745.0,"Maryland",76,"28-68","41.2%","9-27","33.3%","11-16","68.8%",39,18,5,3,17,11
