"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2025-26","Addi Mack",41,18,43.9,73,35,47.9,295,124,42.0
"2025-26","Breanna Williams",5,2,40.0,9,3,33.3,72,35,48.6
"2025-26","Isimenme Ozzy-Momodu",49,28,57.1,23,14,60.9,190,109,57.4
"2025-26","Kaylene Smikle",9,1,11.1,14,8,57.1,63,28,44.4
"2025-26","Kyndal Walker",27,12,44.4,45,15,33.3,185,68,36.8
"2025-26","Marya Boiko",7,5,71.4,11,6,54.5,81,35,43.2
"2025-26","Mir McLean",18,11,61.1,6,4,66.7,92,59,64.1
"2025-26","Oluchi Okananwa",89,41,46.1,82,34,41.5,423,219,51.8
"2025-26","Rainey Welson",9,3,33.3,20,5,25.0,96,35,36.5
"2025-26","Saylor Poffenbarger",28,11,39.3,85,29,34.1,275,106,38.5
"2025-26","Yarden Garzon",45,16,35.6,98,40,40.8,365,148,40.5
"2025-26","TEAM",330,149,45.2,470,194,41.3,2178,989,45.4
