"source_id","lineup","games","stints","seconds","minutes","pts_for","pts_against","plus_minus","net_per_40"
"2019-20","Ashley Owusu|Blair Watson|Kaila Charles|Stephanie Jones|Taylor Mikesell",28,59,7225,120.4,305,180,125,41.5
"2019-20","Ashley Owusu|Blair Watson|Kaila Charles|Shakira Austin|Taylor Mikesell",25,52,6983,116.4,232,173,59,20.3
"2019-20","Blair Watson|Kaila Charles|Shakira Austin|Stephanie Jones|Taylor Mikesell",22,48,6752,112.5,201,137,64,22.7
"2019-20","Ashley Owusu|Blair Watson|Shakira Austin|Stephanie Jones|Taylor Mikesell",18,30,3438,57.3,136,56,80,55.8
"2019-20","Blair Watson|Diamond Miller|Kaila Charles|Stephanie Jones|Taylor Mikesell",16,25,2748,45.8,83,87,-4,-3.5
"2019-20","Ashley Owusu|Diamond Miller|Kaila Charles|Stephanie Jones|Taylor Mikesell",17,25,2565,42.8,89,56,33,30.9
"2019-20","Ashley Owusu|Diamond Miller|Kaila Charles|Shakira Austin|Taylor Mikesell",19,26,2523,42.0,84,57,27,25.7
"2019-20","Ashley Owusu|Blair Watson|Diamond Miller|Kaila Charles|Shakira Austin",17,23,2232,37.2,69,48,21,22.6
"2019-20","Ashley Owusu|Diamond Miller|Faith Masonius|Sara Vujacic|Shakira Austin",11,14,2018,33.6,53,47,6,7.1
"2019-20","Ashley Owusu|Blair Watson|Kaila Charles|Shakira Austin|Stephanie Jones",10,11,1606,26.8,58,35,23,34.4
"2019-20","Ashley Owusu|Blair Watson|Diamond Miller|Kaila Charles|Stephanie Jones",12,16,1554,25.9,56,38,18,27.8
"2019-20","Ashley Owusu|Blair Watson|Diamond Miller|Shakira Austin|Stephanie Jones",11,16,1518,25.3,58,26,32,50.6
"2019-20","Ashley Owusu|Diamond Miller|Faith Masonius|Sara Vujacic|Stephanie Jones",8,11,1432,23.9,64,46,18,30.2
"2019-20","Ashley Owusu|Kaila Charles|Shakira Austin|Stephanie Jones|Taylor Mikesell",9,14,1404,23.4,39,26,13,22.2
"2019-20","Blair Watson|Diamond Miller|Kaila Charles|Shakira Austin|Taylor Mikesell",13,16,1391,23.2,46,28,18,31.1
"2019-20","Blair Watson|Diamond Miller|Shakira Austin|Stephanie Jones|Taylor Mikesell",13,15,1390,23.2,54,21,33,57.0
"2019-20","Blair Watson|Diamond Miller|Faith Masonius|Kaila Charles|Taylor Mikesell",8,10,1371,22.9,43,42,1,1.8
"2019-20","Diamond Miller|Kaila Charles|Shakira Austin|Stephanie Jones|Taylor Mikesell",9,10,1258,21.0,38,26,12,22.9
"2019-20","Blair Watson|Faith Masonius|Kaila Charles|Stephanie Jones|Taylor Mikesell",9,10,1098,18.3,34,29,5,10.9
"2019-20","Ashley Owusu|Blair Watson|Faith Masonius|Kaila Charles|Taylor Mikesell",8,9,1068,17.8,23,21,2,4.5
"2019-20","Ashley Owusu|Diamond Miller|Shakira Austin|Stephanie Jones|Taylor Mikesell",8,11,972,16.2,30,24,6,14.8
"2019-20","Ashley Owusu|Diamond Miller|Faith Masonius|Kaila Charles|Sara Vujacic",7,7,939,15.7,28,25,3,7.7
"2019-20","Blair Watson|Diamond Miller|Faith Masonius|Shakira Austin|Taylor Mikesell",8,9,904,15.1,28,11,17,45.1
"2019-20","Diamond Miller|Faith Masonius|Sara Vujacic|Stephanie Jones|Taylor Mikesell",8,8,871,14.5,28,23,5,13.8
"2019-20","Blair Watson|Faith Masonius|Kaila Charles|Shakira Austin|Taylor Mikesell",5,7,834,13.9,31,18,13,37.4
"2019-20","Ashley Owusu|Blair Watson|Diamond Miller|Faith Masonius|Stephanie Jones",8,10,830,13.8,28,18,10,28.9
"2019-20","Blair Watson|Kaila Charles|Sara Vujacic|Stephanie Jones|Taylor Mikesell",4,6,806,13.4,28,25,3,8.9
"2019-20","Ashley Owusu|Blair Watson|Diamond Miller|Faith Masonius|Kaila Charles",8,8,764,12.7,27,34,-7,-22.0
"2019-20","Ashley Owusu|Blair Watson|Faith Masonius|Stephanie Jones|Taylor Mikesell",8,9,759,12.7,23,19,4,12.6
"2019-20","Ashley Owusu|Diamond Miller|Kaila Charles|Shakira Austin|Stephanie Jones",9,9,708,11.8,23,23,0,0.0
