"source_id","file_id","date","location","officials","attendance","home_team","home_score","home_record","visiting_team","visiting_score","visiting_record"
2019,11720,"1/12/2020","Crisler Center, Ann Arbor, MI","Nykesha Thompson,  Kevin Pethtel,  Cameron Inouye",2608,"Michigan",49,"11-5,2-3 Big Ten","Maryland",77,"12-4,3-2 Big Ten"
2019,11448,"11/30/2019","Daytona Beach, Fla. - Ocean Center","Dawn Marsh,  Missy Brooks,  Molly Caldwell",133,"Maryland",90,"7-1","Belmont",26,"3-4"
2019,11716,"12/28/2019","XFINITY Center, College Park, MD","Tiara Cruse,  Bryan Enterline,  Beverly Roberts",6203,"Maryland",70,"10-2,1-0 Big Ten","Michigan",55,"9-3,0-1 Big Ten"
2019,11444,"11/17/2019","XFINITY Center, College Park, MD","Stephanie  Barksdale,  Mark Berger,  Michael McConnell",4435,"Maryland",99,"3-1,0-0 Big Ten","Delaware",55,"0-3,0-0 CAA"
2019,11445,"11/20/2019","XFINITY Center, College Park, MD","Denise Brooks,  Mark Zentz,  Tina Napier",3614,"Maryland",88,"4-1,0-0 Big Ten","George Washington",54,"2-3,0-0 Atlantic 10"
2019,11717,"12/31/2019","Welsh-Ryan Arena, Evanston, IL","Mark Resch,  Felicia Grinter,  Mark Zentz",1003,"Northwestern",81,"12-1,2-0 Big Ten","Maryland",58,"10-3,1-1 Big Ten"
2019,11449,"12/5/2019","Reynolds Coliseum, Raleigh, NC","Mark Resch,  Joseph Vaszily,  Dee Kantner",4033,"NC State",66,"9-0,0-0 ACC","Maryland",59,"7-2,0-0 Big Ten"
2019,11721,"1/16/2020","XFINITY Center, College Park, MD","Michael McConnell,  Barb Smith,  Felicia Grinter",3839,"Maryland",87,"13-4,4-2 Big Ten","Nebraska",69,"13-4,3-3 Big Ten"
2019,12072,"3/8/2020","","Gina Cross,  Felicia Grinter,  Mark Zentz",4687,"Maryland",82,"28-4,16-2 Big Ten","Ohio St.",65,"21-12,11-7 Big Ten"
2019,11442,"11/10/2019","XFINITY Center, College Park, MD","Tiara Cruse,  Gina Cross,  Tina Napier",7447,"Maryland",54,"1-1,0-0 Big Ten","South Carolina",63,"2-0,0-0 SEC"
2019,11726,"2/3/2020","XFINITY Center, College Park, MD","Tiara Cruse,  Brian Garland,  Brian Hall",4798,"Maryland",94,"18-4,9-2 Big Ten","Michigan St.",53,"11-11,4-7 Big Ten"
2019,11730,"2/16/2020","Bryce Jordan Center, PA","Talisa Green,  Barb  Smith,  Tim Daley",2835,"Penn St.",69,"7-19,1-14 Big Ten","Maryland",106,"22-4,13-2 Big Ten"
2019,11731,"2/19/2020","Kohl Center, Madison, WI","Angelica Suffren,  Doug Knight,  Felicia Grinter",3878,"Wisconsin",56,"11-16,3-13 Big Ten","Maryland",85,"23-4,14-2 Big Ten"
2019,11727,"2/6/2020","Simon Skjodt Assembly Hall, Bloomington, IN","Bruce Morris,  Bryan Enterline,  Felicia Grinter",3274,"Indiana",69,"18-6,8-4 Big Ten","Maryland",79,"19-4,10-2 Big Ten"
2019,11443,"11/13/2019","JMU Convocation Center, Harrisonburg, VA","Talisa Green,  Billy Smith,  Tiara Cruse",2628,"James Madison",68,"2-1,0-0 CAA","Maryland",70,"2-1,0-0 Big Ten"
2019,11728,"2/9/2020","XFINITY Center, College Park, MD","Jeff Cross,  Angie Enlund,  Cameron Inouye",9239,"Maryland",79,"20-4,11-2 Big Ten","Rutgers",50,"17-6,7-5 Big Ten"
2019,11732,"2/25/2020","XFINITY Center, College Park, MD","Brian Garland,  Cameron Inouye,  Dee Kantner",5105,"Maryland",88,"24-4,15-2 Big Ten","Purdue",45,"17-12,8-9 Big Ten"
2019,11724,"1/26/2020","XFINITY Center, College Park, MD","Nykesha Wyncote,  Tim Daley,  Micheal McConnell",8276,"Maryland",70,"16-4,7-2 Big Ten","Northwestern",61,"17-3,7-2 Big Ten"
2019,11725,"1/30/2020","Value City Arena, Columbus, OH","Mark Zentz,  Tina Napier,  Beverly Roberts",5380,"Ohio St.",65,"11-9,4-5 Big Ten","Maryland",85,"17-4,8-2 Big Ten"
2019,11733,"3/1/2020","Williams Arena, Minneapolis, MN","Felicia Grinter,  Tina Napier,  Beverly Roberts",6013,"Minnesota",44,"15-14,5-13 Big Ten","Maryland",99,"25-4,16-2 Big Ten"
2019,11729,"2/13/2020","XFINITY Center, College Park, MD","Tiffany Bird,  Nykesha Thompson,  Michael McConnell",5446,"Maryland",93,"21-4,12-2 Big Ten","Iowa",59,"20-5,11-3 Big Ten"
2019,11441,"11/5/2019","XFINITY Center","Kelsey Reynolds,  Carmen Portorreal,  Brian Garland",8368,"Maryland",119,"1-0,0-0 Big Ten","Wagner",56,"0-1,0-0 NEC"
2019,11734,"3/6/2020","","Bruce Morris,  Barb Smith,  Laura Morris",5713,"Maryland",74,"26-4,16-2 Big Ten","Purdue",62,"18-14,8-10 Big Ten"
2019,11722,"1/20/2020","XFINITY Center, College Park, MD","Brian Hall,  Gina Cross,  Mark Zentz",4583,"Maryland",76,"14-4,5-2 Big Ten","Indiana",62,"14-5,4-3 Big Ten"
2019,11718,"1/6/2020","XFINITY Center, College Park, MD","Denise Brooks,  Maj Forsberg,  Michael McConnell",4427,"Maryland",72,"11-3,2-1 Big Ten","Ohio St.",62,"8-6,1-2 Big Ten"
2019,12071,"3/7/2020","","Julie Krommenhoek,  Kevin Pethtel,  Michael McConnell",7213,"Maryland",66,"27-4,16-2 Big Ten","Indiana",51,"24-8,13-5 Big Ten"
2019,11446,"11/24/2019","XFINITY Center, College Park, MD","Karlena Tobin,  Maggie Tieman,  Mark Resch",4445,"Maryland",107,"5-1,0-0 Big Ten","Quinnipiac",52,"1-3,0-0 MAAC"
2019,11450,"12/8/2019","XFINITY Center, College Park, MD","Starr Jefferson,  Frank Steratore,  Bruce Morris",4148,"Maryland",105,"8-2,0-0 Big Ten","Loyola Maryland",45,"1-8,0-0 Patriot"
2019,11451,"12/18/2019","GSU Sports Arena, Atlanta, GA","Katie Lukanich,  Amy Bonner,  Felicia Grinter",1501,"Georgia St.",41,"1-8,0-0 Sun Belt","Maryland",114,"9-2,0-0 Big Ten"
2019,11447,"11/29/2019","Daytona Beach, Fla. - Ocean Center","Billy Smith,  Missy Brooks,  LaSonia Baker",312,"Clemson",44,"2-5","Maryland",63,"6-1"
2019,11719,"1/9/2020","Carver-Hawkeye Arena, Iowa City, IA","Julie Krommenhoek,  Jesse Dickerson,  Mark Zentz",6689,"Iowa",66,"12-3,3-1 Big Ten","Maryland",61,"11-4,2-2 Big Ten"
"2019","11723","1/23/2020","State Farm Center, Champaign, IL","Mark Resch,  Julie Krommenhoek,  Bryan Enterline",1088,"Illinois",60,"10-9,1-7 Big Ten","Maryland",79,"15-4,6-2 Big Ten"
