"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2019-20","Ashley Owusu",44,12,27.3,74,38,51.4,323,144,44.6
"2019-20","Blair Watson",28,9,32.1,64,28,43.8,229,90,39.3
"2019-20","Diamond Miller",32,13,40.6,47,17,36.2,215,88,40.9
"2019-20","Faith Masonius",9,4,44.4,26,14,53.8,107,45,42.1
"2019-20","Kaila Charles",84,43,51.2,89,43,48.3,380,190,50.0
"2019-20","Sara Vujacic",13,5,38.5,8,4,50.0,70,36,51.4
"2019-20","Shakira Austin",68,47,69.1,62,27,43.5,277,141,50.9
"2019-20","Stephanie Jones",73,40,54.8,29,20,69.0,263,158,60.1
"2019-20","Taylor Mikesell",48,27,56.2,98,33,33.7,306,124,40.5
"2019-20","TEAM",399,200,50.1,497,224,45.1,2170,1016,46.8
